Stožeri	stožer	Ncmpn
civilne	civilan	Agpfsgy
zaštite	zaštita	Ncfsg
imaju	imati	Vmr3p
pristup	pristup	Ncmsan
bazi	baza	Ncfsl
podataka	podatak	Ncmpg
operativnih	operativan	Agpfpgy
snaga	snaga	Ncfpg
s	sa	Sg
područja	područje	Ncnsg
njihove	njihov	Ps3fsg
nadležnosti	nadležnost	Ncfsg
.	.	Z

2.	2.	Mdo
Operativne	operativan	Agpfsgy
snage	snaga	Ncfsg
vatrogastva	vatrogastvo	Ncnsg

Članak	članak	Ncmsn
4.	4.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Baza	baza	Ncfsn
podataka	podatak	Ncmpg
u	u	Sl
segmentu	segment	Ncmsl
operativnih	operativan	Agpfpgy
snaga	snaga	Ncfpg
vatrogastva	vatrogastvo	Ncnsg
podijeljena	podijeliti	Appfsny
je	biti	Var3s
u	u	Sa
tri	tri	Mlc
entiteta	entitet	Ncmsg
:	:	Z

–	–	Z
javne	javan	Agpfsgy
vatrogasne	vatrogasan	Agpfsgy
postrojbe	postrojba	Ncfsg

–	–	Sg
postrojbe	postrojba	Ncfsg
dobrovoljnih	dobrovoljan	Agpnpgy
vatrogasnih	vatrogasan	Agpnpgy
društava	društvo	Ncnpg

–	–	Z
državne	državni	Agpfsgy
vatrogasne	vatrogasan	Agpfsgy
intervencijske	intervencijski	Agpfsgy
postrojbe	postrojba	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Baza	baza	Ncfsn
podataka	podatak	Ncmpg
u	u	Sl
entitetu	entitet	Ncmsl
javnih	javan	Agpfpgy
vatrogasnih	vatrogasan	Agpfpgy
postrojbi	postrojba	Ncfpg
sadrži	sadržati	Vmr3s
sljedeće	sljedeći	Agpmpay
podatke	podatak	Ncmpa
:	:	Z
naziv	naziv	Ncmsn
,	,	Z
osnivač	osnivač	Ncmsn
,	,	Z
adresa	adresa	Ncfsn
postaje	postajati	Vmr3s
/	/	Z
a	a	Cc
s	sa	Si
GPS	g	Agpfpiy
koordinatama	koordinata	Ncfpi
,	,	Z
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
zapovjednika	zapovjednik	Ncmsg
i	i	Cc
zamjenika	zamjenik	Ncmpg
zapovjednika	zapovjednik	Ncmsg
s	sa	Si
kontakt	kontakt	Ncmsan
podacima	podatak	Ncmpi
,	,	Z
kontakt	kontakt	Ncmsn
podaci	podatak	Ncmpn
operativno	operativno	Rgp
komunikacijskog	komunikacijski	Agpmsgy
centra	centar	Ncmsg
,	,	Z
ukupan	ukupan	Agpmsnn
broj	broj	Ncmsn
djelatnika	djelatnik	Ncmpg
,	,	Z
broj	broj	Ncmsn
operativnih	operativan	Agpmpgy
vatrogasaca	vatrogasac	Ncmpg
,	,	Z
broj	broj	Ncmsan
vozila	vozilo	Ncnsg
,	,	Z
broj	broj	Ncmsan
plovila	plovilo	Ncnsg
i	i	Cc
potražnih	potražni	Agpmpgy
pasa	pas	Ncmpg
s	sa	Si
pripadajućim	pripadajući	Agpmpiy
certifikatima	certifikat	Ncmpi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Baza	baza	Ncfsn
podataka	podatak	Ncmpg
u	u	Sl
entitetu	entitet	Ncmsl
postrojbi	postrojba	Ncfsl
dobrovoljnih	dobrovoljan	Agpnpgy
vatrogasnih	vatrogasan	Agpnpgy
društava	društvo	Ncnpg
sadrži	sadržati	Vmr3s
sljedeće	sljedeći	Agpmpay
podatke	podatak	Ncmpa
:	:	Z
naziv	naziv	Ncmsn
,	,	Z
osnivač	osnivač	Ncmsn
,	,	Z
kategorija	kategorija	Ncfsn
društva	društvo	Ncnsg
,	,	Z
adresa	adresa	Ncfsn
postaje	postajati	Vmr3s
/	/	Z
a	a	Cc
s	sa	Si
GPS	g	Agpfpiy
koordinatama	koordinata	Ncfpi
,	,	Z
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
zapovjednika	zapovjednik	Ncmsg
i	i	Cc
zamjenika	zamjenik	Ncmpg
zapovjednika	zapovjednik	Ncmsg
s	sa	Si
kontakt	kontakt	Ncmsan
podacima	podatak	Ncmpi
,	,	Z
kontakt	kontakt	Ncmsn
podaci	podatak	Ncmpn
operativno	operativno	Rgp
komunikacijskog	komunikacijski	Agpmsgy
centra	centar	Ncmsg
,	,	Z
broj	broj	Ncmsn
članova	član	Ncmpg
,	,	Z
broj	broj	Ncmsn
operativnih	operativan	Agpmpgy
vatrogasaca	vatrogasac	Ncmpg
