izračunat	izračunati	Vmn
kao	kao	Cs
geometrijski	geometrijski	Agpmsny
prosjek	prosjek	Ncmsn
,	,	Z

3.	3.	Mdo
prinos	prinos	Ncmsn
UCITS	UCIT	Npmsg
fonda	fond	Ncmsg
mora	morati	Vmr3s
uvijek	uvijek	Rgp
sadržavati	sadržavati	Vmn
točno	točno	Rgp
navedeno	navesti	Appnsny
vremensko	vremenski	Agpnsny
razdoblje	razdoblje	Ncnsn
na	na	Sa
koje	koji	Pi-nsa
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
(	(	Z
datum	datum	Ncmsn
početka	početak	Ncmsg
i	i	Cc
kraja	kraj	Ncmsg
razdoblja	razdoblje	Ncnsg
)	)	Z
,	,	Z

4.	4.	Mdo
uz	uz	Sa
prikaz	prikaz	Ncmsan
prinosa	prinos	Ncmsg
,	,	Z
promidžbena	promidžbeni	Agpfsny
informacija	informacija	Ncfsn
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
i	i	Cc
podatke	podatak	Ncmpa
o	o	Sl
rizicima	rizik	Ncmpl
ulaganja	ulaganje	Ncnsg
u	u	Sa
UCITS	ucits	Agpmsayn
fond	fond	Ncmsan
,	,	Z

5.	5.	Mdo
navesti	navesti	Vmn
naknade	naknada	Ncfpa
i	i	Cc
troškove	trošak	Ncmpa
UCITS	UCITS	Sg
fonda	fond	Ncmsg
koji	koji	Pi-mpn
su	biti	Var3p
uzeti	uzeti	Vmn
u	u	Sa
obzir	obzir	Ncmsan
prilikom	prilikom	Sg
izračuna	izračun	Ncmsg
prinosa	prinos	Ncmsg
.	.	Z

MJESEČNI	mjesečan	Agpmsny
IZVJEŠTAJ	izvještaj	Ncmsn
ZA	za	Sa
ULAGATELJE	ulagatelj	Ncmpa

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Mjesečni	mjesečan	Agpmsny
izvještaj	izvještaj	Ncmsn
za	za	Sa
ulagatelje	ulagatelj	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
212.	212.	Mdo

Zakona	zakon	Ncmsg
mora	morati	Vmr3s
minimalno	minimalno	Rgp
sadržavati	sadržavati	Vmn
sljedeće	sljedeći	Agpmpay
podatke	podatak	Ncmpa
:	:	Z

1.	1.	Mdo
osnovne	osnovan	Agpfpay
informacije	informacija	Ncfpa
o	o	Sl
UCITS	UCIT	Npmsl
fondu	fond	Ncmsl
,	,	Z

2.	2.	Mdo
ulagateljske	ulagateljski	Agpmpay
ciljeve	cilj	Ncmpa
i	i	Cc
strategiju	strategija	Ncfsa
ulaganja	ulaganje	Ncnsg
UCITS	ucit	Agpmsgn
fonda	fond	Ncmsg
,	,	Z

3.	3.	Mdo
strukturu	struktura	Ncfsa
ulaganja	ulaganje	Ncnsg
UCITS	UCITS	Npmsn
fonda	fond	Ncmsg
,	,	Z

4.	4.	Mdo
naknade	naknada	Ncfsg
UCITS	UCITS	Sg
fonda	fond	Ncmsg
,	,	Z

5.	5.	Mdo
neto	neto	Agpfsny
vrijednost	vrijednost	Ncfsn
imovine	imovina	Ncfsg
i	i	Cc
cijenu	cijena	Ncfsa
udjela	udjel	Ncmsg
UCITS	UCITS	Npmsn
fonda	fond	Ncmsg
,	,	Z

6.	6.	Mdo
podatke	podatak	Ncmpa
o	o	Sl
prinosu	prinos	Ncmsl
UCITS	UCIT	Npmsl
fonda	fond	Ncmsg
,	,	Z

7.	7.	Mdo
grafički	grafički	Agpmsayn
prikaz	prikaz	Ncmsan
kretanja	kretanje	Ncnsg
cijene	cijena	Ncfsg
udjela	udjel	Ncmsg
UCITS	UCITS	Npmsn
fonda	fond	Ncmsg
,	,	Z

8.	8.	Mdo
naziv	naziv	Ncmsn
depozitara	depozitar	Ncmsg
UCITS	UCIT	Npmsg
fonda	fond	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Mjesečni	mjesečan	Agpmsny
izvještaj	izvještaj	Ncmsn
za	za	Sa
ulagatelje	ulagatelj	Ncmpa
na	na	Sl
mrežnoj	mrežni	Agpfsly
stranici	stranica	Ncfsl
društva	društvo	Ncnsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
mora	morati	Vmr3s
biti	biti	Van
dostupan	dostupan	Agpmsnn
dvije	dva	Mlcf-a
godine	godina	Ncfsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
.	.	Z

Članak	članak	Ncmsn
8.	8.	Mdo

Osnovne	osnovan	Agpfpay
informacije	informacija	Ncfpa
o	o	Sl
UCITS	UCIT	Npmsl
fondu	fond	Ncmsl
iz	iz	Sg
članka	članak	Ncmsg
7.	7.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
trebaju	trebati	Vmr3p
minimalno	minimalno	Rgp
sadržavati	sadržavati	Vmn
sljedeće	sljedeći	Agpnsay
:	:	Z

1.	1.	Mdo
naziv	naziv	Ncmsn
društva	društvo	Ncnsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
,	,	Z

2.	2.	Mdo
naziv	naziv	Ncmsn
UCITS	ucit	Agpmsgn
fonda	fond	Ncmsg
,	,	Z

3.	3.	Mdo
vrstu	vrsta	Ncfsa
UCITS	uciti	Agpfsgy
fonda	fond	Ncmsg
,	,	Z

4.	4.	Mdo
iznos	iznos	Ncmsn
minimalne	minimalan	Agpfsgy
uplate	uplata	Ncfsg
u	u	Sa
UCITS	ucits	Agpmsayn
fond	fond	Ncmsan
,	,	Z

5.	5.	Mdo
datum	datum	Ncmsan
početka	početak	Ncmsg
rada	rad	Ncmsg
UCITS	ucii	Agpmsgy
fonda	fond	Ncmsg
,	,	Z

6.	6.	Mdo
početnu	početan	Agpfsay
vrijednost	vrijednost	Ncfsa
udjela	udjel	Ncmsg
UCITS	UCITS	Sg
fonda	fond	Ncmsg
,	,	Z

7.	7.	Mdo
valutu	valuta	Ncfsa
UCITS	uciti	Agpfsgy
fonda	fond	Ncmsg
,	,	Z

8.	8.	Mdo
trajanje	trajanje	Ncnsa
UCITS	UCIT	Npmsg
fonda	fond	Ncmsg
u	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
je	biti	Var3s
