pravne	pravni	Agpfsgy
pomoći	pomoć	Ncfsg
;	;	Z
izvršavanje	izvršavanje	Ncnsa
kaznenih	kazneni	Agpmpgy
i	i	Cc
prekršajnih	prekršajni	Agpfpgy
sankcija	sankcija	Ncfpg
,	,	Z
pomilovanja	pomilovanje	Ncnsg
i	i	Cc
uvjetne	uvjetan	Agpmpay
otpuste	otpust	Ncmpa
;	;	Z
upravne	upravan	Agpmpay
i	i	Cc
stručne	stručan	Agpmpay
probacijske	probacijski	Agpmpay
poslove	posao	Ncmpa
pri	pri	Sl
odlučivanju	odlučivanje	Ncnsl
o	o	Sl
kaznenom	kazneni	Agpmsly
progonu	progon	Ncmsl
te	te	Cc
izboru	izbor	Ncmsl
vrste	vrsta	Ncfsg
i	i	Cc
mjere	mjera	Ncfsg
kaznenopravnih	kaznenopravni	Agpfpgy
sankcija	sankcija	Ncfpg
,	,	Z
izvršavanje	izvršavanje	Ncnsn
kaznenopravnih	kaznenopravni	Agpfpgy
sankcija	sankcija	Ncfpg
izrečenih	izreći	Appfpgy
punoljetnim	punoljetan	Agpmpiy
počiniteljima	počinitelj	Ncmpi
kaznenih	kazneni	Agpnpgy
djela	djelo	Ncnpg
,	,	Z
a	a	Cc
koje	koji	Pi-fpn
se	sebe	Px--sa
izvršavaju	izvršavati	Vmr3p
na	na	Sl
slobodi	sloboda	Ncfsl
;	;	Z
poslove	posao	Ncmpa
razvoja	razvoj	Ncmsg
i	i	Cc
koordinacije	koordinacija	Ncfsg
sustava	sustav	Ncmsg
podrške	podrška	Ncfsg
žrtvama	žrtva	Ncfpd
i	i	Cc
svjedocima	svjedok	Ncmpd
te	te	Cc
informatizaciju	informatizacija	Ncfsa
pravosuđa	pravosuđe	Ncnsg
.	.	Z
«	«	Z
.	.	Z

U	u	Sl
stavku	stavak	Ncmsl
2.	2.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
i	i	Cc
tijelima	tijelo	Ncnpl
za	za	Sa
vođenje	vođenje	Ncnsa
prekršajnog	prekršajni	Agpmsgy
postupka	postupak	Ncmsg
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
te	te	Cc
u	u	Sl
kaznenim	kazneni	Agpnply
tijelima	tijelo	Ncnpl
«	«	Z
.	.	Z

U	u	Sl
stavku	stavak	Ncmsl
4.	4.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
Europskim	europski	Agpmsiy
sudom	sud	Ncmsi
za	za	Sa
ljudska	ljudski	Agpnpay
prava	pravo	Ncnpa
u	u	Sl
Strasbourgu	Strasbourg	Npmsl
,	,	Z
Međunarodnim	međunarodni	Agpmsiy
sudom	sud	Ncmsi
pravde	pravda	Ncfsg
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
Međunarodnim	međunarodni	Agpmsiy
sudom	sud	Ncmsi
«	«	Z
,	,	Z
a	a	Cc
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
manjina	manjina	Ncfpg
«	«	Z
briše	brisati	Vmr3s
se	sebe	Px--sa
točka	točka	Ncfsn
i	i	Cc
dodaju	dodati	Vmr3p
riječi	riječ	Ncfpa
:	:	Z
»	»	Z
koji	koji	Pi-mpn
nisu	biti	Var3p
u	u	Sl
djelokrugu	djelokrug	Ncmsl
drugog	drugi	Agpnsgy
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
.	.	Z
«	«	Z
.	.	Z

Stavak	stavak	Ncmsn
5.	5.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	i	Agpnsny
Ministarstvo	ministarstvo	Ncnsn
sudjeluje	sudjelovati	Vmr3s
s	sa	Si
ministarstvom	ministarstvo	Ncnsi
nadležnim	nadležan	Agpmsiy
za	za	Sa
upravljanje	upravljanje	Ncnsa
državnom	državni	Agpfsiy
imovinom	imovina	Ncfsi
u	u	Sl
poslovima	posao	Ncmpl
upravljanja	upravljanje	Ncnsg
i	i	Cc
raspolaganja	raspolaganje	Ncnsg
dionicama	dionica	Ncfpl
i	i	Cc
poslovnim	poslovan	Agpmply
udjelima	udjel	Ncmpl
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
koji	koji	Pi-mpn
čine	činiti	Vmr3p
državnu	državni	Agpfsay
imovinu	imovina	Ncfsa
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
te	te	Cc
u	u	Sl
pogledu	pogled	Ncmsl
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
koja	koji	Pi-npn
se	sebe	Px--sa
pretežno	pretežno	Rgp
bave	baviti	Vmr3p
djelatnostima	djelatnost	Ncfpi
iz	iz	Sg
područja	područje	Ncnsg
propisane	propisati	Agpfsgy
nadležnosti	nadležnost	Ncfsg
ovoga	ovaj	Pd-nsg
Ministarstva	ministarstvo	Ncnsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
8.	8.	Mdo

U	u	Sl
članku	članak	Ncmsl
10.	10.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
za	za	Sa
međunarodnu	međunarodni	Agpfsay
komisiju	komisija	Ncfsa
za	za	Sa
građanska	građanski	Agpnpay
stanja	stanje	Ncnpa
(	(	Z
CIEC	CIEC	Npmsn
)	)	Z
,	,	Z
«	«	Z
brišu	brisati	Vmr3p
se	sebe	Px--sa
.	.	Z

Stavak	stavak	Ncmsn
4.	4.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	i	Agpnsny
Ministarstvo	ministarstvo	Ncnsn
sudjeluje	sudjelovati	Vmr3s
s	sa	Si
ministarstvom	ministarstvo	Ncnsi
nadležnim	nadležan	Agpmsiy
za	za	Sa
upravljanje	upravljanje	Ncnsa
državnom	državni	Agpfsiy
imovinom	imovina	Ncfsi
u	u	Sl
poslovima	posao	Ncmpl
upravljanja	upravljanje	Ncnsg
i	i	Cc
raspolaganja	raspolaganje	Ncnsg
dionicama	dionica	Ncfpl
i	i	Cc
poslovnim	poslovan	Agpmply
udjelima	udjel	Ncmpl
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
koji	koji	Pi-mpn
čine	činiti	Vmr3p
državnu	državni	Agpfsay
imovinu	imovina	Ncfsa
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
te	te	Cc
u	u	Sl
pogledu	pogled	Ncmsl
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
koja	koji	Pi-npn
se	sebe	Px--sa
pretežno	pretežno	Rgp
bave	baviti	Vmr3p
djelatnostima	djelatnost	Ncfpi
iz	iz	Sg
područja	područje	Ncnsg
propisane	propisati	Agpfsgy
nadležnosti	nadležnost	Ncfsg
ovoga	ovaj	Pd-nsg
Ministarstva	ministarstvo	Ncnsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

U	u	Sl
članku	članak	Ncmsl
11.	11.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
zarez	zarez	Ncmsan
i	i	Cc
riječi	riječ	Ncfpa
:	:	Z
»	»	Z
,	,	Z
inspekcijske	inspekcijski	Agpmpay
poslove	posao	Ncmpa
prostornoga	prostoran	Agpnsgy
uređenja	uređenje	Ncnsg
«	«	Z
brišu	brisati	Vmr3p
se	sebe	Px--sa
.	.	Z

U	u	Sl
stavku	stavak	Ncmsl
3.	3.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
građevina	građevina	Ncfsn
«	«	Z
umjesto	umjesto	Sg
točke	točka	Ncfsg
sa	sa	Si
zarezom	zarez	Ncmsi
stavlja	stavljati	Vmr3s
se	sebe	Px--sa
zarez	zarez	Ncmsn
i	i	Cc
dodaju	dodati	Vmr3p
riječi	riječ	Ncfpa
:	:	Z
»	»	Z
energetsku	energetski	Agpfsay
učinkovitost	učinkovitost	Ncfsa
u	u	Sl
zgradarstvu	zgradarstvo	Ncnsl
;	;	Z
«	«	Z
.	.	Z

Stavak	stavak	Ncmsn
5.	5.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	i	Agpnsny
Ministarstvo	ministarstvo	Ncnsn
sudjeluje	sudjelovati	Vmr3s
s	sa	Si
ministarstvom	ministarstvo	Ncnsi
nadležnim	nadležan	Agpmsiy
za	za	Sa
upravljanje	upravljanje	Ncnsa
državnom	državni	Agpfsiy
imovinom	imovina	Ncfsi
u	u	Sl
poslovima	posao	Ncmpl
upravljanja	upravljanje	Ncnsg
i	i	Cc
raspolaganja	raspolaganje	Ncnsg
dionicama	dionica	Ncfpl
i	i	Cc
poslovnim	poslovan	Agpmply
udjelima	udjel	Ncmpl
