ljuskasto-vermikulitnih	ljuskasto-vermikulitan	Agpmpgy
(	(	Z
EV	EV	Npmsn
)	)	Z
proizvoda	proizvod	Ncmpg
oblikovana	oblikovati	Appfsny
na	na	Sl
mjestu	mjesto	Ncnsl
primjene	primjena	Ncfsg
--	--	Z
1.	1.	Mdo
dio	dio	Ncmsn
:	:	Z
Specifikacija	specifikacija	Ncfsn
za	za	Sa
vezane	vezan	Agpmpay
i	i	Cc
nevezane	nevezan	Agpmpay
proizvode	proizvod	Ncmpa
prije	prije	Sg
ugradnje	ugradnja	Ncfsg
EN	EN	Npmsn
15600	15600	Mdc
-	-	Z
1:2010	1:2010	Mdc
Thermal	Thermal	Xf
insulation	insulation	Xf
products	products	Xf
for	for	Xf
building	building	Xf
equipment	equipment	Xf
and	and	Xf
industrial	industrial	Xf
installations	installations	Xf
--	--	Z
In-situ	In-sit	Npmsl
thermal	thermal	Xf
insulation	insulation	Xf
formed	formed	Xf
from	from	Xf
exfoliated	exfoliated	Xf
vermiculite	vermiculite	Xf
(	(	Z
EV	EV	Npmsn
)	)	Z
products	products	Ncmsan
--	--	Z
Part	Part	Npmsn
1	1	Mdc
:	:	Z
Specification	Specification	Xf
for	for	Xf
bonded	bonded	Xf
and	and	Xf
loose-fill	loose-fill	Xf
products	products	Xf
before	before	Xf
installation	installation	Xf
1.4.2011.	1.4.2011.	Mdo
1.4.2012.	1.4.2012.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
15650:2010	15650:2010	Mdc
Ventilacija	ventilacija	Ncfsn
u	u	Sl
zgradama	zgrada	Ncfpl
--	--	Z
Protupožarne	protupožarni	Agpfpny
zaklopke	zaklopka	Ncfpn
EN	EN	Xf
15650:2010	15650:2010	Xf
Ventilation	Ventilation	Xf
for	for	Xf
buildings	buildings	Xf
--	--	Z
Fire	Fire	Xf
dampers	dampers	Xf
1.9.2011.	1.9.2011.	Mdo
1.9.2012.	1.9.2012.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
15651	15651	Mdc
-	-	Z
1:2012	1:2012	Mdc
Brtvila	brtvilo	Ncnpg
za	za	Sa
nekonstrukcijsku	nekonstrukcijski	Agpfsay
uporabu	uporaba	Ncfsa
za	za	Sa
spojeve	spoj	Ncmpa
u	u	Sl
zgradama	zgrada	Ncfpl
i	i	Cc
pješačkim	pješački	Agpfply
stazama	staza	Ncfpl
--	--	Z
1.	1.	Mdo
dio	dio	Ncmsan
:	:	Z
Brtvila	brtvilo	Ncnpg
za	za	Sa
elemente	element	Ncmpa
pročelja	pročelje	Ncnsg
EN	EN	Npmsn
15651	15651	Mdc
-	-	Z
1:2012	1:2012	Mdc
Sealants	Sealants	Xf
for	for	Xf
non-structural	non-structural	Xf
use	use	Xf
in	in	Xf
joints	joints	Xf
in	in	Xf
buildings	buildings	Xf
and	and	Xf
pedestrian	pedestrian	Xf
walkways	walkways	Xf
--	--	Z
Part	Part	Npmsn
1	1	Mdc
:	:	Z
Sealants	Sealants	Xf
for	for	Xf
facade	facade	Xf
elements	elements	Xf
1.7.2013.	1.7.2013.	Mdo
1.7.2014.	1.7.2014.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
15651	15651	Mdc
-	-	Z
2:2012	2:2012	Mdc
Brtvila	brtvilo	Ncnpg
za	za	Sa
nekonstrukcijsku	nekonstrukcijski	Agpfsay
uporabu	uporaba	Ncfsa
za	za	Sa
spojeve	spoj	Ncmpa
u	u	Sl
zgradama	zgrada	Ncfpl
i	i	Cc
pješačkim	pješački	Agpfply
stazama	staza	Ncfpl
--	--	Z
2.	2.	Mdo
dio	dio	Ncmsan
:	:	Z
Brtvila	brtvilo	Ncnpg
za	za	Sa
staklene	staklen	Agpfpay
stijene	stijena	Ncfpa
EN	EN	Npmsn
15651	15651	Mdc
-	-	Z
2:2012	2:2012	Mdc
Sealants	Sealants	Xf
for	for	Xf
non-structural	non-structural	Xf
use	use	Xf
in	in	Xf
joints	joints	Xf
in	in	Xf
buildings	buildings	Xf
and	and	Xf
pedestrian	pedestrian	Xf
walkways	walkways	Xf
--	--	Z
Part	Part	Npmsn
