doorsets	doorseti	Agpnsny
,	,	Z
industrial	industrial	Ncmsan
,	,	Z
commercial	commercial	Ncmsan
,	,	Z
garage	garage	Xf
doors	doors	Xf
and	and	Xf
openable	openable	Agpmsny
windows	windows	Ncmsn
--	--	Z
Product	product	Agpmsny
standard	standard	Ncmsn
,	,	Z
performance	performanca	Ncfpa
characteristics	characteristics	Ncfpg
--	--	Z
Fire	Fire	Npmsn
resisting	resisting	Xf
and	and	Xf
/	/	Z
or	or	Ncmsan
smoke	smok	Agpfsgy
control	control	Agpfsgy
characteristics	characteristica	Ncfsg
1.11.2016.	1.11.2016.	Mdo
1.11.2019.	1.11.2019.	Mdo

NAPOMENA	napomena	Ncfsn
:	:	Z
Norma	norma	Ncfsn
EN	E	Npmsg
16034:2014	16034:201	Npmsg
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
samo	samo	Rgp
zajedno	zajedno	Rgp
s	sa	Si
normom	norma	Ncfsi
EN	EN	Npmsn
13241	13241	Mdc
-	-	Z
1:2003	1:2003	Mdc
+	+	Z
A2	A2	X
:	:	Z
2016	2016	Mdc
ili	ili	Cc
s	sa	Si
normom	norma	Ncfsi
EN	EN	Npmsn
14351	14351	Mdc
-	-	Z
1:2006	1:2006	Mdc
+	+	Z
A2	A2	X
:	:	Z
2016	2016	Mdc
HRN	HRN	Npmsn
EN	EN	Npmsn
16069:2015	16069:2015	Mdc
Toplinsko-izolacijski	toplinsko-izolacijski	Agpmpny
proizvodi	proizvod	Ncmpn
za	za	Sa
zgrade	zgrada	Ncfpa
--	--	Z
Tvornički	tvornički	Agpmpny
izrađeni	izraditi	Appmpny
proizvodi	proizvod	Ncmpn
od	od	Sg
polietilenske	polietilenski	Agpfsgy
pjene	pjena	Ncfsg
(	(	Z
PEF	PEF	Npmsn
)	)	Z
--	--	Z
Specifikacija	specifikacija	Ncfsn
EN	EN	Npmsn
16069:2012	16069:2012	Mdc
+	+	Z
A1	A1	X
:	:	Z
2015	2015	Mdc
Thermal	Thermal	Xf
insulation	insulation	Xf
products	products	Xf
for	for	Xf
buildings	buildings	Xf
--	--	Z
Factory	Factory	Xf
made	made	Xf
products	products	Xf
of	of	Xf
polyethylene	polyethylen	Agpfsgy
foam	foaa	Ncfsg
(	(	Z
PEF	PEF	Npmsn
)	)	Z
--	--	Z
Specification	Specification	Npmsn
HRN	HRN	Npmsn
EN	EN	Npmsn
16069:2012	16069:2012	Mdc
(	(	Z
EN	EN	Npmsn
16069:2012	16069:2012	Mdc
)	)	Z
10.7.2015.	10.7.2015.	Mdo
10.7.2016.	10.7.2016.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
16153:2015	16153:2015	Mdc
Prozirne	proziran	Agpfsgy
ravne	ravan	Agpfsgy
višeslojne	višeslojan	Agpfsgy
polikarbonatne	polikarbonatni	Agpfsgy
(	(	Z
PC	PC	Npmsn
)	)	Z
trake	traka	Ncfsg
za	za	Sa
unutrašnju	unutrašnji	Agpfsay
i	i	Cc
vanjsku	vanjski	Agpfsay
upotrebu	upotreba	Ncfsa
na	na	Sl
krovovima	krov	Ncmpl
,	,	Z
zidovima	zid	Ncmpl
i	i	Cc
stropovima	strop	Ncmpi
--	--	Z
Zahtjevi	zahtjev	Ncmpn
i	i	Cc
metode	metoda	Ncfpn
ispitivanja	ispitivanje	Ncnsg
EN	EN	Npmsn
16153:2013	16153:2013	Mdc
+	+	Z
A1	A1	X
:	:	Z
2015	2015	Mdc
Light	Light	Xf
transmitting	transmitting	Xf
flat	flat	Xf
multiwall	multiwall	Xf
polycarbonate	polycarbonate	Xf
(	(	Z
PC	PC	Npmsn
)	)	Z
sheets	sheets	Xf
for	for	Xf
internal	internal	Xf
and	and	Xf
external	external	Xf
use	use	Xf
in	in	Xf
roofs	roofs	Xf
,	,	Z
walls	walls	Xf
and	and	Xf
ceilings	ceilings	Xf
--	--	Z
Requirements	requirements	Agpmsny
and	and	Agpmsny
test	test	Ncmsn
methods	methoda	Ncfsg
HRN	HRN	Npmsn
EN	EN	Npmsn
16153:2013	16153:2013	Mdc
(	(	Z
EN	EN	Npmsn
16153:2013	16153:2013	Mdc
)	)	Z
10.7.2015.	10.7.2015.	Mdo
10.7.2016.	10.7.2016.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
50575:2014	50575:2014	Mdc
