se	sebe	Px--sa
traži	tražiti	Vmr3s
ovlaštenje	ovlaštenje	Ncnsn
;	;	Z

BROJ	broj	Ncmsn
SATI	sat	Ncmpg
:	:	Z
TEORIJA	teorija	Ncfsn
=	=	Z
6	6	Mdc

b	b	Npmsn
)	)	Z
Plovidbeni	plovidben	Agpmpny
propisi	propis	Ncmpn
–	–	Z
usmeni	usmen	Agpmsayn
ispit	ispit	Ncmsan

–	–	Z
Općenito	preopćenito	Rgp
o	o	Sl
plovidbenim	plovidben	Agpmply
propisima	propis	Ncmpl
;	;	Z

–	i	Agpfpay
Isprave	isprava	Ncfpa
i	i	Cc
knjige	knjiga	Ncfpa
plovila	plovilo	Ncnsg
;	;	Z

–	–	Sg
Osobne	osoban	Agpfsgy
isprave	isprava	Ncfsg
brodarca	brodarac	Ncmsg
;	;	Z

–	–	Z
Zdravstvena	zdravstven	Agpfsny
sposobnost	sposobnost	Ncfsn
brodarca	brodarac	Ncmsg
;	;	Z

–	–	Z
Lučke	lučki	Agpfsgy
kapetanije	kapetanija	Ncfsg
,	,	Z
nadležnost	nadležnost	Ncfsn
;	;	Z

–		Agcfpny
Oznake	oznaka	Ncfpn
za	za	Sa
identifikaciju	identifikacija	Ncfsa
plovila	plovilo	Ncnpg
;	;	Z

–	–	Sa
Sposobnost	sposobnost	Ncfsa
plovila	plovilo	Ncnsg
za	za	Sa
plovidbu	plovidba	Ncfsa
–	–	Z
pregledi	pregled	Ncmpn
plovila	plovilo	Ncnpg
;	;	Z

–	i	Agpnsgy
Pravila	pravilo	Ncnsg
plovidbe	plovidba	Ncfsg
:	:	Z
protusmjer	protusmjer	Ncmsn
,	,	Z
pretjecanje	pretjecanje	Ncnsa
,	,	Z
okret	okret	Ncmsn
,	,	Z
mostovi	most	Ncmpn
,	,	Z
skele	skela	Ncfpn
i	i	Cc
dr.	dr.	Y
;	;	Z

–		Agpnpgy
Pravila	pravilo	Ncnpg
o	o	Sl
stajanju	stajanje	Ncnsl
plovila	plovilo	Ncnsg
na	na	Sl
vezovima	vez	Ncmpl
i	i	Cc
zimovniku	zimovnik	Ncmsl
;	;	Z

–	i	Agpfpny
Dužnosti	dužnost	Ncfpn
posade	posada	Ncfsg
plovila	plovilo	Ncnsg
;	;	Z

–	–	Z
Postupci	postupak	Ncmpn
kod	kod	Sg
sudara	sudar	Ncmsg
,	,	Z
nasukavanja	nasukavanje	Ncnsg
i	i	Cc
drugih	drugi	Mlofpg
havarija	havarija	Ncfpg
;	;	Z

BROJ	broj	Ncmsn
SATI	sat	Ncmpg
:	:	Z
TEORIJA	teorija	Ncfsn
=	=	Z
4	4	Mdc

c	C	Npmsn
)	)	Z
Pretovar	pretovar	Ncmsan
i	i	Cc
prijevoz	prijevoz	Ncmsan
tereta	teret	Ncmsg
–	–	Z
usmeni	usmen	Agpmsayn
ispit	ispit	Ncmsan

–	–	Z
Općenito	preopćenito	Rgp
o	o	Sl
brodskom	brodski	Agpmsly
teretu	teret	Ncmsl
;	;	Z

–	–	Pd-fsg
Vrste	vrsta	Ncfsg
brodskog	brodski	Agpmsgy
tereta	teret	Ncmsg
;	;	Z

–	i	Agpnsgy
Skladišta	skladište	Ncnsg
plovila	plovilo	Ncnsg
;	;	Z

–	i	Agpnpay
Pristanišna	pristanišni	Agpnpay
skladišta	skladište	Ncnpa
;	;	Z

–	–	Sa
Specijalna	specijalan	Agpnpay
pristanišna	pristanišni	Agpnpay
skladišta	skladište	Ncnpa
;	;	Z

–	–	Pd-mpn
Pretovarni	pretovarni	Agpmpny
uređaji	uređaj	Ncmpn
na	na	Sl
plovilu	plovilo	Ncnsl
;	;	Z

–	–	Z
Pristanišni	pristanišni	Agpmpny
pretovarni	pretovarni	Agpmpny
uređaji	uređaj	Ncmpn
;	;	Z

–	–	Z
Način	način	Ncmsn
utovara	utovar	Ncmsg
i	i	Cc
slaganja	slaganje	Ncnsg
tereta	teret	Ncmsg
na	na	Sl
plovilu	plovilo	Ncnsl
;	;	Z

–	–	Agpmsny
Utovar	utovar	Ncmsn
,	,	Z
istovar	istovar	Ncmsn
i	i	Cc
slaganje	slaganje	Ncnsa
posebno	posebno	Rgp
pakiranih	pakirati	Agpmpgy
tereta	teret	Ncmpg
;	;	Z

–		Agcnsay
Postavljanje	postavljanje	Ncnsa
plovila	plovilo	Ncnsg
za	za	Sa
utovar	utovar	Ncmsan
–	–	Z
istovar	istovar	Ncmsan
;	;	Z

–	i	Agpnsny
Određivanje	određivanje	Ncnsn
količine	količina	Ncfsg
tereta	teret	Ncmsg
na	na	Sl
plovilu	plovilo	Ncnsl
;	;	Z

–	–	Sa
Stabilitet	stabilitet	Ncmsan
plovila	plovilo	Ncnsg
;	;	Z

–	–	Agpmsny
Raspored	raspored	Ncmsn
tereta	teret	Ncmsg
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
čvrstoću	čvrstoća	Ncfsa
i	i	Cc
stabilitet	stabilitet	Ncmsan
plovila	plovilo	Ncnsg
;	;	Z

–	–	Agpmpny
Uređaji	uređaj	Ncmpn
i	i	Cc
oprema	oprema	Ncfsn
plovila	plovilo	Ncnsg
:	:	Z
za	za	Sa
sidrenje	sidrenje	Ncnsa
,	,	Z
privez	privez	Ncmsan
,	,	Z
vuču	vuča	Ncfsa
i	i	Cc
potisak	potisak	Ncmsan
,	,	Z
navigaciju	navigacija	Ncfsa
i	i	Cc
kormilarenje	kormilarenje	Ncnsa
,	,	Z
signalizaciju	signalizacija	Ncfsa
i	i	Cc
vezu	veza	Ncfsa
,	,	Z
spašavanje	spašavanje	Ncnsa
i	i	Cc
osiguranje	osiguranje	Ncnsa
od	od	Sg
potonuća	potonuće	Ncnsg
,	,	Z
gašenje	gašenje	Ncnsn
požara	požar	Ncmsg
,	,	Z
utovar	utovar	Ncmsn
i	i	Cc
smještaj	smještaj	Ncmsan
tereta	teret	Ncmsg
,	,	Z
održavanje	održavanje	Ncnsn
instalacija	instalacija	Ncfpg
i	i	Cc
uređaja	uređaj	Ncmpg
za	za	Sa
opću	opći	Agpfsay
namjenu	namjena	Ncfsa
;	;	Z

BROJ	broj	Ncmsn
SATI	sat	Ncmpg
:	:	Z
TEORIJA	teorija	Ncfsn
=	=	Z
4	4	Mdc

3.	3.	Mdo
Zvanje	zvanje	Ncnsn
ZAPOVJEDNIK	zapovjednik	Ncmsn
–	–	Z
A	a	Cc

a	a	Cc
)	)	Z
