boje	boja	Ncfpa
,	,	Z
dimenzija	dimenzija	Ncfsn
85	85	Mdc
mm	mm	Y
×	×	Z
54	54	Mdc
mm	mm	Y
(	(	Z
dimenzija	dimenzija	Ncfsn
horizontalnog	horizontalan	Agpmsgy
ruba	rub	Ncmsg
je	biti	Var3s
85	85	Mdc
mm	mm	Y
)	)	Z
.	.	Z

Rubovi	rub	Ncmpn
svjedodžbe	svjedodžba	Ncfsg
su	biti	Var3p
zaobljeni	zaobliti	Appmpny
.	.	Z

Na	na	Sl
prednjoj	prednji	Agpfsly
strani	strana	Ncfsl
i	i	Cc
na	na	Sl
poleđini	poleđina	Ncfsl
svjedodžbe	svjedodžba	Ncfsg
horizontalne	horizontalan	Agpfsgy
i	i	Cc
vertikalne	vertikalan	Agpmpay
rubove	rub	Ncmpa
nalazi	nalaziti	Vmr3s
se	sebe	Px--sa
hrvatski	hrvatski	Agpmsny
pleter	pleter	Ncmsn
.	.	Z

Na	na	Sl
prednjoj	prednji	Agpfsly
strani	strana	Ncfsl
svjedodžbe	svjedodžba	Ncfsg
(	(	Z
strana	strana	Ncfsn
koja	koji	Pi-fsn
sadrži	sadržati	Vmr3s
grb	grb	Ncmsan
RH	RH	Npmsn
)	)	Z
nalazi	nalaziti	Vmr3s
se	sebe	Px--sa
:	:	Z

–	–	Agpmpny
natpisi	natpis	Ncmpn
»	»	Z
Svjedodžba	svjedodžba	Ncfsn
o	o	Sl
stručnoj	stručan	Agpfsly
osposobljenosti	osposobljenost	Ncfsl
«	«	Z
,	,	Z
»	»	Z
Republika	republika	Ncfsn
Hrvatska	Hrvatska	Npfsn
«	«	Z
,	,	Z
»	»	Z
Lučka	lučki	Agpfsny
kapetanija	kapetanija	Ncfsn
«	«	Z
na	na	Sl
hrvatskom	hrvatski	Agpmsly
i	i	Cc
njemačkom	njemački	Agpmsly
jeziku	jezik	Ncmsl
,	,	Z

–	–	Agpmsny
naziv	naziv	Ncmsn
Lučke	lučki	Agpfsgy
kapetanije	kapetanija	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
izdala	izdati	Vmp-sf
Svjedodžbu	svjedodžba	Ncfsa

–	–	Z
slika	slika	Ncfsn
imatelja	imatelj	Ncmpg
Svjedodžbe	svjedodžba	Ncfsg

–	–	Agpmsny
serijski	serijski	Agpmsny
broj	broj	Ncmsn
iskaznice	iskaznica	Ncfsg
koji	koji	Pi-msn
se	sebe	Px--sa
sastoji	sastojati	Vmr3s
od	od	Sg
:	:	Z

a	a	Cc
)	)	Z
oznake	oznaka	Ncfpn
lučke	lučki	Agpfsgy
kapetanije	kapetanija	Ncfsg
:	:	Z

Lučka	lučki	Agpfsny
kapetanija	kapetanija	Ncfsn
Sisak	Sisak	Npmsn
–	–	Z
SK	SK	Npmsn

Lučka	lučki	Agpfsny
kapetanija	kapetanija	Ncfsn
Osijek	osijek	Ncmsn
–	–	Z
OS	os	Ncfsn

Lučka	lučki	Agpfsny
kapetanija	kapetanija	Ncfsn
Slavonski	slavonski	Agpmsny
Brod	brod	Ncmsn
–	–	Z
SB	SB	Npmsn

Lučka	lučki	Agpfsny
kapetanija	kapetanija	Ncfsn
Vukovar	Vukovar	Npmsn
–	–	Z
VU	V	Npmsl

b	b	I
)	)	Z
oznake	oznaka	Ncfsg
zvanja	zvanje	Ncnsg
:	:	Z

oznake	oznaka	Ncfpn
zvanja	zvanje	Ncnsg
A	a	Cc
–	–	Z
Zapovjednik	zapovjednik	Ncmsn
A	a	Cc

oznake	oznaka	Ncfpn
zvanja	zvanje	Ncnsg
B	b	Y
–	–	Z
Zapovjednik	zapovjednik	Ncmsn
B	b	X

oznake	oznaka	Ncfpn
zvanja	zvanje	Ncnsg
C	C	Npmsn
–	–	Z
Zapovjednik	zapovjednik	Ncmsn
C	C	Npmsn

oznake	oznaka	Ncfpn
zvanja	zvanje	Ncnsg
D	d	Agpmsny
–	–	Agpmsny
kormilar	kormilar	Ncmsn

oznake	oznaka	Ncfpn
zvanja	zvanje	Ncnsg
F	f	Agpmsny
–	–	Agpmsny
mornar	mornar	Ncmsn

oznake	oznaka	Ncfpn
zvanja	zvanje	Ncnsg
G	g	Y
–	–	Z
strojar	strojar	Ncmsn
unutarnje	unutarnji	Agpfsgy
plovidbe	plovidba	Ncfsg

c	C	Npmsn
)	)	Z
rednog	redni	Agpmsgy
broja	broj	Ncmsg
iskaznice	iskaznica	Ncfsg
izdane	izdati	Appfpny
u	u	Sl
istoj	isti	Agpfsly
kapetaniji	kapetanija	Ncfsl
)	)	Z

–	–	Z
1.	1.	Mdo
ime	ime	Ncnsa
imatelja	imatelj	Ncmsg
Svjedodžbe	svjedodžba	Ncfsg

–	–	Z
2.	2.	Mdo
prezime	prezime	Ncnsa
imatelja	imatelj	Ncmsg
Svjedodžbe	svjedodžba	Ncfsg

–	–	Z
3.	3.	Mdo
datum	datum	Ncmsan
,	,	Z
mjesto	mjesto	Ncnsa
i	i	Cc
država	država	Ncfpg
rođenja	rođenje	Ncnsg
imatelja	imatelj	Ncmpg
Svjedodžbe	svjedodžba	Ncfsg

–	–	Z
4.	4.	Mdo
datum	datum	Ncmsan
izdavanja	izdavanje	Ncnsg
Svjedodžbe	svjedodžba	Ncfsg

–	–	Z
5.	5.	Mdo
potpis	potpis	Ncmsan
imatelja	imatelj	Ncmsg
Svjedodžbe	svjedodžba	Ncfsg

–	–	Z
6.	6.	Mdo
naziv	naziv	Ncmsn
zvanja	zvanje	Ncnsg

–	–	Z
7.	7.	Mdo
datum	datum	Ncmsan
isteka	istek	Ncmsg
važenja	važenje	Ncnsg
Svjedodžbe	svjedodžba	Ncfsg

–	–	Ncmsn
8.	8.	Mdo
napomene	napomena	Ncfsg
,	,	Z
ograničenja	ograničenje	Ncnsg
,	,	Z
dionice	dionica	Ncfpa
plovnog	plovan	Agpmsgy
puta	put	Ncmsg

Na	na	Sl
poleđini	poleđina	Ncfsl
Svjedodžbe	svjedodžba	Ncfsg
nalazi	nalaziti	Vmr3s
se	sebe	Px--sa
legenda	legenda	Ncfsn
–	–	Z
objašnjenje	objašnjenje	Ncnsn
koji	koji	Pi-mpn
podaci	podatak	Ncmpn
se	sebe	Px--sa
upisuju	upisivati	Vmr3p
pod	pod	Sa
točke	točka	Ncfpa
od	od	Sg
1	1	Mdc
–	–	Z
8	8	Mdc
na	na	Sl
prednjoj	prednji	Agpfsly
strani	strana	Ncfsl
Svjedodžbe	svjedodžba	Ncfsg
i	i	Cc
to	to	Qo
kako	kako	Cs
slijedi	slijediti	Vmr3s
:	:	Z

–	–	Ncmsn
1.	1.	Mdo
riječ	riječ	Ncfsn
:	:	Z
»	»	Z
Ime	ime	Ncnsn
«	«	Z
na	na	Sl
hrvatskom	hrvatski	Agpmsly
i	i	Cc
njemačkom	njemački	Agpmsly
jeziku	jezik	Ncmsl

–	–	Ncmsn
2.	2.	Mdo
riječ	riječ	Ncfsn
:	:	Z
»	»	Z
Prezime	prezime	Ncnsn
«	«	Z
na	na	Sl
hrvatskom	hrvatski	Agpmsly
i	i	Cc
njemačkom	njemački	Agpmsly
jeziku	jezik	Ncmsl

–	–	Ncmsn
3.	3.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
Datum	datum	Ncmsn
,	,	Z
mjesto	mjesto	Ncnsa
i	i	Cc
država	država	Ncfsn
rođenja	rođenje	Ncnsg
«	«	Z
na	na	Sl
hrvatskom	hrvatski	Agpmsly
i	i	Cc
njemačkom	njemački	Agpmsly
jeziku	jezik	Ncmsl

–	–	Ncmsn
4.	4.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
Datum	datum	Ncmsn
izdavanja	izdavanje	Ncnsg
«	«	Z
na	na	Sl
hrvatskom	hrvatski	Agpmsly
i	i	Cc
njemačkom	njemački	Agpmsly
jeziku	jezik	Ncmsl

–	–	Ncmsn
5.	5.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
Potpis	potpis	Ncmsn
imatelja	imatelj	Ncmpg
«	«	Z
na	na	Sl
hrvatskom	hrvatski	Agpmsly
i	i	Cc
njemačkom	njemački	Agpmsly
jeziku	jezik	Ncmsl

–	–	Ncmsn
6.	6.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
zvanje	zvanje	Ncnsn
i	i	Cc
ovlasti	ovlast	Ncfsl
«	«	Z
na	na	Sl
hrvatskom	hrvatski	Agpmsly
i	i	Cc
njemačkom	njemački	Agpmsly
jeziku	jezik	Ncmsl
,	,	Z
te	te	Cc
se	sebe	Px--sa
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
upisuju	upisivati	Vmr3p
naziv	naziv	Ncmsan
zvanja	zvanje	Ncnsg
i	i	Cc
ovlasti	ovlast	Ncfsg
propisane	propisati	Appfsgy
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
a	a	Cc
sukladno	sukladno	Rgp
stečenom	steći	Agpnsly
zvanju	zvanje	Ncnsl
upisanom	upisati	Ncfsi
na	na	Sl
prednjoj	prednji	Agpfsly
strani	strana	Ncfsl
Svjedodžbe	svjedodžba	Ncfsg

–	–	Ncmsn
7.	7.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
Datum	datum	Ncmsn
isteka	istek	Ncmsg
važenja	važenje	Ncnsg
«	«	Z
na	na	Sl
hrvatskom	hrvatski	Agpmsly
i	i	Cc
njemačkom	njemački	Agpmsly
jeziku	jezik	Ncmsl

–	–	Ncmsn
8.	8.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
Napomene	napomena	Ncfpn
,	,	Z
ograničenja	ograničenje	Ncnsg
,	,	Z
dionice	dionica	Ncfpa
plovnog	plovan	Agpmsgy
puta	put	Ncmsg
«	«	Z
na	na	Sl
hrvatskom	hrvatski	Agpmsly
i	i	Cc
njemačkom	njemački	Agpmsly
jeziku	jezik	Ncmsl
.	.	Z

B	B	Npmsn
)	)	Z
SADRŽAJ	sadržaj	Ncmsan
SVJEDODŽBE	svjedodžba	Ncfsg
O	o	Sl
DOPUNSKOJ	dopunski	Agpfsly
OSPOSOBLJENOSTI	osposobljenost	Ncfsl

Obrazac	obrazac	Ncmsn
je	biti	Var3s
isti	isti	Agpmsny
kao	kao	Cs
pod	pod	Ncmsn
A	a	X
)	)	Z
ovoga	ovaj	Pd-msg
Priloga	prilog	Ncmsg
uz	uz	Sa
sljedeće	sljedeći	Agpfpay
izmjene	izmjena	Ncfpa
:	:	Z

1.	1.	Mdo
Kod	kod	Sg
Svjedodžbe	svjedodžba	Ncfsg
o	o	Sl
dopunskoj	dopunski	Agpfsly
osposobljenosti	osposobljenost	Ncfsl
za	za	Sa
rukovanje	rukovanje	Ncnsa
brodskom	brodski	Agpfsiy
radio-telefonskom	radio-telefonski	Agpfsiy
stanicom	stanica	Ncfsi
obrazac	obrazac	Ncmsn
je	biti	Var3s
bijele	bijel	Agpfsgy
boje	boja	Ncfsg
i	i	Cc
pod	pod	Si
točkom	točka	Ncfsi
6.	6.	Mdo
na	na	Sl
prednjoj	prednji	Agpfsly
strani	strana	Ncfsl
Svjedodžbe	svjedodžba	Ncfsg
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
»	»	Z
RADIOTELEFONIJA	radiotelefonija	Ncfsn
«	«	Z
.	.	Z

2.	2.	Mdo
Kod	kod	Sg
Svjedodžbe	svjedodžba	Ncfsg
o	o	Sl
dopunskoj	dopunski	Agpfsly
osposobljenosti	osposobljenost	Ncfsl
za	za	Sa
upravljanje	upravljanje	Ncnsa
brodom	brod	Ncmsi
uz	uz	Sa
pomoć	pomoć	Ncfsa
radara	radar	Ncmsg
obrazac	obrazac	Ncmsan
je	biti	Var3s
svijetlozelene	svijetlozelen	Agpfpay
boje	boja	Ncfpa
i	i	Cc
pod	pod	Si
točkom	točka	Ncfsi
6.	6.	Mdo
na	na	Sl
prednjoj	prednji	Agpfsly
