odgovorni	odgovoran	Agpmpny
,	,	Z
ili	ili	Cc
kao	kao	Cs
posljedica	posljedica	Ncfsn
kršenja	kršenje	Ncnsg
prava	pravo	Ncnsg
treće	treći	Mlofsg
strane	strana	Ncfsg
.	.	Z

Članak	članak	Ncmsn
18.	18.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Obrasci	obrazac	Ncmpn
koje	koji	Pi-mpa
je	biti	Var3s
potrebno	potreban	Agpnsny
popuniti	popuniti	Vmn
i	i	Cc
priložiti	priložiti	Vmn
izvješćima	izvješće	Ncnpi
o	o	Sl
radu	rad	Ncmsl
i	i	Cc
ostvarivanju	ostvarivanje	Ncnsl
programa	program	Ncmsg
odnosno	odnosno	Rgp
financijskim	financijski	Agpnply
izvješćima	izvješće	Ncnpl
mogu	moći	Vmr3p
se	sebe	Px--sa
preuzeti	preuzeti	Vmn
sa	sa	Sg
službene	služben	Agpfsgy
internetske	internetski	Agpfsgy
stranice	stranica	Ncfsg
Savjeta	savjet	Ncmsg
:	:	Z
www	www	I
.	.	Z
savjet	savjet	Ncmsan
.	.	Z
nacionalne-manjine	nacionalne-manjine	Qr
.	.	Z
info	info	Xf
a	a	Cc
u	u	Sl
slučaju	slučaj	Ncmsl
elektroničkog	elektronički	Agpmsgy
načina	način	Ncmsg
dostavljanja	dostavljanje	Ncnsg
izvještaja	izvještaj	Ncmsg
internetom	internet	Ncmsi
obrasci	obrazac	Ncmpn
se	sebe	Px--sa
ispunjavaju	ispunjavati	Vmr3p
putem	put	Sg
aplikacije	aplikacija	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Obrazac	obrazac	Ncmsn
financijskog	financijski	Agpnsgy
izvješća	izvješće	Ncnsg
FG1	fg1	Ncfpg
koji	koji	Pi-mpn
su	biti	Var3p
uz	uz	Sa
izvješće	izvješće	Ncnsa
dužne	dužan	Agpfsgy
priložiti	priložiti	Vmn
sve	sav	Agpfpay
udruge	udruga	Ncfpa
i	i	Cc
ustanove	ustanova	Ncfsg
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
sljedeće	sljedeći	Agpmpay
priloge	prilog	Ncmpa
:	:	Z

1.	1.	Mdo
zbirni	zbirni	Agpmsayn
pregled	pregled	Ncmsan
prometa	promet	Ncmsg
po	po	Sl
računu	račun	Ncmsl
iz	iz	Sg
banke	banka	Ncfsg
za	za	Sa
izvještajno	izvještajni	Agpnsay
razdoblje	razdoblje	Ncnsa

2.	2.	Mdo
presliku	preslika	Ncfsa
knjige	knjiga	Ncfsg
blagajne	blagajna	Ncfsg
otvorene	otvoren	Agpfsgy
posebno	poseban	Agpnsny
za	za	Sa
sredstva	sredstvo	Ncnpa
Savjeta	savjet	Ncmpg
s	sa	Si
uplatnicama	uplatnica	Ncfpi
i	i	Cc
