nužnim	nužan	Agpmsiy
za	za	Sa
uklanjanje	uklanjanje	Ncnsa
prijetnji	prijetnja	Ncfpg
ili	ili	Cc
njihovo	njihov	Ps3nsa
smanjivanje	smanjivanje	Ncnsa
na	na	Sa
prihvatljivu	prihvatljiv	Agpfsay
razinu	razina	Ncfsa
,	,	Z
te	te	Cc
da	da	Cs
postigne	postići	Vmr3s
dogovor	dogovor	Ncmsan
o	o	Sl
izmijenjenim	izmijeniti	Agpmply
zahtjevima	zahtjev	Ncmpl
neovisnosti	neovisnost	Ncfsg
koje	koji	Pi-fpa
treba	trebati	Vmr3s
primijeniti	primijeniti	Vmn
.	.	Z

291.22	291.2i	Agpnsny
Revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
će	htjeti	Var3s
komunicirati	komunicirati	Vmn
(	(	Z
na	na	Sa
primjer	primjer	Ncmsan
,	,	Z
kroz	kroz	Sa
pismo	pismo	Ncnsa
o	o	Sl
preuzimanju	preuzimanje	Ncnsl
angažmana	angažman	Ncmsg
)	)	Z
s	sa	Si
namjeravanim	namjeravati	Agpmpiy
korisnicima	korisnik	Ncmpi
o	o	Sl
zahtjevima	zahtjev	Ncmpl
neovisnosti	neovisnost	Ncfsg
koje	koji	Pi-nsn
treba	trebati	Vmr3s
primijeniti	primijeniti	Vmn
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
obavljanjem	obavljanje	Ncnsi
angažmana	angažman	Ncmsg
s	sa	Si
izražavanjem	izražavanje	Ncnsi
uvjerenja	uvjerenje	Ncnsg
.	.	Z

Ako	ako	Cs
su	biti	Var3p
namjeravani	namjeravati	Appmpny
korisnici	korisnik	Ncmpn
skupina	skupina	Ncfsn
korisnika	korisnik	Ncmpg
(	(	Z
na	na	Sa
primjer	primjer	Ncmsan
,	,	Z
vjerovnici	vjerovnik	Ncmpn
u	u	Sl
sporazumu	sporazum	Ncmsl
o	o	Sl
sindiciranom	sindiciran	Agpmsly
kreditu	kredit	Ncmsl
)	)	Z
koji	koji	Pi-mpn
nisu	biti	Var3p
posebno	posebno	Rgp
prepoznatljivi	prepoznatljiv	Agpmpny
poimence	poimence	Rgp
u	u	Sa
vrijeme	vrijeme	Ncnsa
dok	dok	Cs
se	sebe	Px--sa
ustanovljuju	ustanovljivati	Vmr3p
uvjeti	uvjet	Ncmpn
angažmana	angažman	Ncmpg
,	,	Z
takve	takav	Pd-fpn
će	htjeti	Var3s
se	sebe	Px--sa
korisnike	korisnik	Ncmpa
kasnije	kasno	Rgc
upoznati	upoznati	Appmpny
sa	sa	Si
zahtjevima	zahtjev	Ncmpi
neovisnosti	neovisnost	Ncfsg
koje	koji	Pi-fpn
su	biti	Var3p
dogovorili	dogovoriti	Vmp-pm
predstavnici	predstavnik	Ncmpn
(	(	Z
na	na	Sa
primjer	primjer	Ncmsan
,	,	Z
tako	tako	Cs
što	što	Cs
će	htjeti	Var3p
predstavnici	predstavnik	Ncmpn
omogućiti	omogućiti	Vmn
dostupnost	dostupnost	Ncfsa
pisma	pismo	Ncnsg
o	o	Sl
preuzimanju	preuzimanje	Ncnsl
angažmana	angažman	Ncmsg
svim	sav	Agpmpdy
korisnicima	korisnik	Ncmpd
)	)	Z
.	.	Z

291.23	291.23	Mds
Ako	ako	Cs
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
za	za	Sa
istog	isti	Agpmsgy
klijenta	klijent	Ncmsg
ujedno	ujedno	Rgp
izdaje	izdavati	Vmr3s
neko	neki	Agpnsay
izvješće	izvješće	Ncnsa
s	sa	Si
izražavanjem	izražavanje	Ncnsi
uvjerenja	uvjerenje	Ncnsg
koje	koji	Pi-nsn
ne	ne	Qz
uključuje	uključivati	Vmr3s
ograničenje	ograničenje	Ncnsa
uporabe	uporaba	Ncfsg
i	i	Cc
distribucije	distribucija	Ncfsg
,	,	Z
odredbe	odredba	Ncfpa
točaka	točka	Ncfpg
291.25	291.25	Mdc
–	–	Z
291.27	291.27	Mdc
ne	ne	Qz
mijenjaju	mijenjati	Vmr3p
zahtjev	zahtjev	Ncmsan
da	da	Cs
se	sebe	Px--sa
primijene	primijeniti	Vmr3p
odredbe	odredba	Ncfpn
točaka	točka	Ncfpg
291.1	291.1	Mdc
–	–	Z
291.157	291.157	Mdc
na	na	Sa
taj	taj	Pd-msan
angažman	angažman	Ncmsan
s	sa	Si
izražavanjem	izražavanje	Ncnsi
uvjerenja	uvjerenje	Ncnsg
.	.	Z

Ako	ako	Cs
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
za	za	Sa
istog	isti	Agpmsgy
klijenta	klijent	Ncmsg
također	također	Rgp
izdaje	izdavati	Vmr3s
revizijsko	revizijski	Agpnsny
izvješće	izvješće	Ncnsn
,	,	Z
neovisno	neovisan	Agpnsny
o	o	Sl
tome	taj	Pd-nsl
uključuje	uključivati	Vmr3s
li	li	Qq
ono	onaj	Pd-nsn
ograničenja	ograničenje	Ncnsg
uporabe	uporaba	Ncfsg
i	i	Cc
distribucije	distribucija	Ncfpa
ili	ili	Cc
ih	oni	Pp3-pa
ne	ne	Qz
uključuje	uključivati	Vmr3s
,	,	Z
na	na	Sa
taj	taj	Pd-msan
revizijski	revizijski	Agpmsayn
angažman	angažman	Ncmsan
primijenit	primijeniti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
odredbe	odredba	Ncfpn
Odjeljka	odjeljak	Ncmsg
290.	290.	Mdo

291.24	291.24	Mds
Izmjene	izmjena	Ncfsg
zahtjeva	zahtjev	Ncmpg
Odjeljka	odjeljak	Ncmsg
291	291	Mdc
koje	koji	Pi-fpn
su	biti	Var3p
dopuštene	dopustiti	Appfpny
u	u	Sl
prethodno	prethodno	Rgp
navedenim	naveden	Agpfply
okolnostima	okolnost	Ncfpl
opisane	opisati	Appfpny
su	biti	Var3p
u	u	Sl
točkama	točka	Ncfpl
291.25	291.25	Mdc
–	–	Z
291.27.	291.27.	Mds

U	u	Sl
svim	sav	Agpmply
ostalim	ostali	Agpmply
aspektima	aspekt	Ncmpl
,	,	Z
zahtijeva	zahtijevati	Vmr3s
se	sebe	Px--sa
postupanje	postupanje	Ncnsn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
Odjeljka	odjeljak	Ncmsg
291.	291.	Mdo

291.25	291.25	Mds
Kada	kada	Cs
su	biti	Var3p
ispunjeni	ispuniti	Appmpny
uvjeti	uvjet	Ncmpn
iz	iz	Sg
točaka	točka	Ncfpg
291.21	291.21	Mdc
i	i	Cc
291.22	291.22	Mds
,	,	Z
relevantne	relevantan	Agpfpny
odredbe	odredba	Ncfpn
iz	iz	Sg
točaka	točka	Ncfpg
291.104	291.104	Mdc
–	–	Z
291.132	291.132	Mdc
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
na	na	Sa
sve	sav	Agpmpay
članove	član	Ncmpa
angažiranog	angažirati	Agpmsgy
tima	tim	Ncmsg
i	i	Cc
članove	član	Ncmpa
njihove	njihov	Sa
