aktivnosti	aktivnost	Ncfpa
koje	koji	Pi-fpa
treba	trebati	Vmr3s
poduzeti	poduzeti	Vmn
temeljem	temelj	Sg
rezultata	rezultat	Ncmpg
usluge	usluga	Ncfsg
.	.	Z

To	taj	Pd-nsn
smanjuje	smanjivati	Vmr3s
rizik	rizik	Ncmsan
da	da	Cs
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
nesvjesno	nesvjesno	Rgp
stvori	stvoriti	Vmr3s
neku	neki	Pi-fsa
značajnu	značajan	Agpfsay
prosudbu	prosudba	Ncfsa
ili	ili	Cc
odluku	odluka	Ncfsa
u	u	Sa
ime	ime	Ncnsa
menadžmenta	menadžment	Ncmsg
.	.	Z

Taj	taj	Pd-msn
se	sebe	Px--sa
rizik	rizik	Ncmsn
dodatno	dodatno	Rgp
smanjuje	smanjivati	Vmr3s
kada	kada	Cs
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
pruža	pružati	Vmr3s
klijentu	klijent	Ncmsd
mogućnost	mogućnost	Ncfsa
stvaranja	stvaranje	Ncnsg
prosudbi	prosudba	Ncfpg
i	i	Cc
odluka	odluka	Ncfpg
temeljenih	temeljiti	Appfpgy
na	na	Sl
objektivnim	objektivan	Agpmply
i	i	Cc
transparentnim	transparentan	Agpfply
analizama	analiza	Ncfpl
i	i	Cc
prezentacijama	prezentacija	Ncfpl
problema	problem	Ncmpg
.	.	Z

Ostala	ostali	Agpnpny
razmatranja	razmatranje	Ncnpn

291.146	291.146	Mdc
Prijetnje	prijetnja	Ncfsg
neovisnosti	neovisnost	Ncfsg
mogle	moći	Vmp-pf
bi	biti	Vaa3s
nastati	nastati	Vmn
kada	kada	Cs
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
pruža	pružati	Vmr3s
uslugu	usluga	Ncfsa
bez	bez	Sg
izražavanja	izražavanje	Ncnsg
uvjerenja	uvjerenje	Ncnsg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
informacijama	informacija	Ncfpi
iz	iz	Sg
predmeta	predmet	Ncmsg
ispitivanja	ispitivanje	Ncnsg
u	u	Sl
angažmanu	angažman	Ncmsl
s	sa	Si
izražavanjem	izražavanje	Ncnsi
uvjerenja	uvjerenje	Ncnsg
.	.	Z

U	u	Sl
takvim	takav	Pd-mpl
slučajevima	slučaj	Ncmpl
,	,	Z
obavit	obaviti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
ocjenjivanje	ocjenjivanje	Ncnsn
važnosti	važnost	Ncfsg
povezanosti	povezanost	Ncfsg
revizorskog	revizorski	Agpnsgy
društva	društvo	Ncnsg
s	sa	Si
informacijama	informacija	Ncfpi
iz	iz	Sg
predmeta	predmet	Ncmsg
ispitivanja	ispitivanje	Ncnsg
u	u	Sl
angažmanu	angažman	Ncmsl
s	sa	Si
izražavanjem	izražavanje	Ncnsi
uvjerenja	uvjerenje	Ncnsg
i	i	Cc
utvrdit	utvrditi	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
može	moći	Vmr3s
li	li	Cs
se	sebe	Px--sa
primjenom	primjena	Ncfsi
zaštite	zaštititi	Vmr3p
smanjiti	smanjiti	Vmn
na	na	Sa
prihvatljivu	prihvatljiv	Agpfsay
razinu	razina	Ncfsa
bilo	bilo	Qo
koja	koji	Pi-fsn
prijetnja	prijetnja	Ncfsn
temeljem	temelj	Ncmsi
samoprovjere	samoprovjera	Ncfsg
.	.	Z

291.147	291.14i	Agpfsny
Prijetnja	prijetnja	Ncfsn
temeljem	temelj	Ncmsi
samoprovjere	samoprovjera	Ncfsg
mogla	moći	Vmp-sf
bi	biti	Vaa3s
nastati	nastati	Vmn
ako	ako	Cs
je	biti	Var3s
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
uključeno	uključen	Agpnsny
u	u	Sa
pripremanje	pripremanje	Ncnsa
informacija	informacija	Ncfpg
iz	iz	Sg
predmeta	predmet	Ncmpg
ispitivanja	ispitivanje	Ncnsg
koje	koji	Pi-fpn
su	biti	Var3p
kasnije	kasan	Agcfpny
informacije	informacija	Ncfpn
iz	iz	Sg
predmeta	predmet	Ncmsg
ispitivanja	ispitivanje	Ncnsg
u	u	Sl
angažmanu	angažman	Ncmsl
s	sa	Si
izražavanjem	izražavanje	Ncnsi
uvjerenja	uvjerenje	Ncnsg
.	.	Z

Na	na	Sa
primjer	primjer	Ncmsan
,	,	Z
prijetnja	prijetnja	Ncfsn
temeljem	temelj	Agpfsgy
samoprovjere	samoprovjera	Ncfsg
nastala	nastati	Vmp-sf
bi	biti	Vaa3s
ako	ako	Cs
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
razvija	razvijati	Vmr3s
i	i	Cc
priprema	pripremati	Vmr3s
prospektivne	prospektivan	Agpfpay
financijske	financijski	Agpfpay
informacije	informacija	Ncfpa
i	i	Cc
kasnije	kasno	Rgc
izražava	izražavati	Vmr3s
uvjerenje	uvjerenje	Ncnsa
o	o	Sl
tim	taj	Pd-fpl
informacijama	informacija	Ncfpl
.	.	Z

Prema	prema	Sl
tome	taj	Pd-nsl
,	,	Z
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
će	htjeti	Var3s
ocijeniti	ocijeniti	Vmn
važnost	važnost	Ncfsa
svake	svaki	Pi-fsg
prijetnje	prijetnja	Ncfsg
temeljem	temelj	Sg
samoprovjere	samoprovjera	Ncfsg
nastale	nastao	Agpfsgy
pružanjem	pružanje	Ncnsi
takvih	takav	Pd-fpg
usluga	usluga	Ncfpg
i	i	Cc
primijeniti	primijeniti	Vmn
zaštite	zaštititi	Vmr3p
kada	kada	Cs
je	biti	Var3s
to	taj	Pd-nsn
nužno	nužan	Agpnsny
za	za	Sa
uklanjanje	uklanjanje	Ncnsa
prijetnje	prijetnja	Ncfsg
ili	ili	Cc
njezino	njezin	Ps3nsa
smanjivanje	smanjivanje	Ncnsa
na	na	Sa
prihvatljivu	prihvatljiv	Agpfsay
razinu	razina	Ncfsa
.	.	Z

291.148	291.148	Mdc
Kada	kada	Cs
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
obavlja	obavljati	Vmr3s
vrednovanje	vrednovanje	Ncnsa
koje	koji	Pi-nsa
čini	činiti	Vmr3s
dio	dio	Ncmsan
informacija	informacija	Ncfpg
iz	iz	Sg
predmeta	predmet	Ncmsg
