udaljenosti	udaljenost	Ncfpa
zaustavnog	zaustavni	Agpmsgy
puta	put	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Upravitelj	upravitelj	Ncmsn
infrastrukture	infrastruktura	Ncfsg
dužan	dužan	Agpmsnn
je	biti	Var3s
propisati	propisati	Vmn
u	u	Sl
Poslovnom	poslovan	Agpmsly
redu	red	Ncmsl
kolodvora	kolodvor	Ncmsg
detaljniji	detaljan	Agcmsayn
postupak	postupak	Ncmsan
kod	kod	Sg
zaustavljanja	zaustavljanje	Ncnsg
vlaka	vlak	Ncmsg
ispred	ispred	Sg
ulaznog	ulazan	Agpmsgy
signala	signal	Ncmsg
odnosno	odnosno	Rgp
ispred	ispred	Sg
ulazne	ulazan	Agpfsgy
skretnice	skretnica	Ncfsg
.	.	Z

Pripreme	priprema	Ncfpn
za	za	Sa
primitak	primitak	Ncmsan
vlaka	vlak	Ncmsg

Članak	članak	Ncmsn
117.	117.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Prije	prije	Sg
dolaska	dolazak	Ncmsg
vlaka	vlak	Ncmsg
prometnik	prometnik	Ncmsn
vlakova	vlak	Ncmpg
daje	davati	Vmr3s
zapovijed	zapovijed	Ncfsa
za	za	Sa
pripremu	priprema	Ncfsa
kolosijeka	kolosijek	Ncmsg
na	na	Sa
koji	koji	Pi-msan
će	htjeti	Var3s
vlak	vlak	Ncmsn
ući	ući	Vmn
da	da	Cs
pravodobno	pravodoban	Agpnsny
bude	biti	Var3s
slobodan	slobodan	Agpmsnn
i	i	Cc
da	da	Cs
se	sebe	Px--sa
vlak	vlak	Ncmsn
ne	ne	Qz
zaustavlja	zaustavljati	Vmr3s
ili	ili	Cc
smanjuje	smanjivati	Vmr3s
brzinu	brzina	Ncfsa
ispred	ispred	Sg
ulaznog	ulazan	Agpmsgy
signala	signal	Ncmsg
odnosno	odnosno	Rgp
predsignala	predsignal	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Svakom	svaki	Pi-msd
redovnom	redovan	Agpfsiy
i	i	Cc
izvanrednom	izvanredan	Agpmsly
vlaku	vlak	Ncmsl
,	,	Z
osim	osim	Cs
vlaku	vlak	Ncmsl
po	po	Sl
izvanrednom	izvanredan	Agpmsly
zahtjevu	zahtjev	Ncmsl
podnositelja	podnositelj	Ncmpg
(	(	Z
ad	a	Ncmsl
hoc	hoc	Ncmsn
)	)	Z
,	,	Z
upravitelj	upravitelj	Ncmsn
infrastrukture	infrastruktura	Ncfsg
dužan	dužan	Agpmsnn
je	biti	Var3s
unaprijed	unaprijed	Rgp
odrediti	odrediti	Vmn
redovni	redovan	Agpmsayn
ulazni	ulazan	Agpmsayn
kolosijek	kolosijek	Ncmsan
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Promjenu	promjena	Ncfsa
redovnog	redovan	Agpmsgy
ulaznog	ulazan	Agpmsgy
kolosijeka	kolosijek	Ncmsg
prometnik	prometnik	Ncmsn
vlakova	vlak	Ncmpg
priopćuje	priopćivati	Vmr3s
izvršnim	izvršan	Agpmply
radnicima	radnik	Ncmpl
koji	koji	Pi-mpn
postavljaju	postavljati	Vmr3p
skretnice	skretnica	Ncfpa
fonogramom	fonogram	Ncmsi
kojim	koji	Pi-msi
se	sebe	Px--sa
daje	davati	Vmr3s
zapovijed	zapovijed	Ncfsn
za	za	Sa
ulazak	ulazak	Ncmsan
vlaka	vlak	Ncmsg
,	,	Z
uz	uz	Sa
naznaku	naznaka	Ncfsa
da	da	Cs
vlak	vlak	Ncmsan
iznimno	iznimno	Rgp
ulazi	ulaziti	Vmr3s
na	na	Sa
odnosni	odnosni	Agpmsayn
kolosijek	kolosijek	Ncmsan
,	,	Z
pa	pa	Cc
i	i	Qo
tada	tada	Rgp
kada	kada	Cs
se	sebe	Px--sa
zapovijed	zapovijed	Ncfsn
za	za	Sa
ulazak	ulazak	Ncmsan
daje	davati	Vmr3s
samo	samo	Rgp
uređajem	uređaj	Ncmsi
prije	prije	Sg
njezina	njezin	Ps3nsg
davanja	davanje	Ncnsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ako	ako	Cs
strojovođa	strojovođa	Ncmsn
vlaka	vlak	Ncmsg
koji	koji	Pi-msn
prolazi	prolaziti	Vmr3s
kolodvor	kolodvor	Ncmsn
nije	biti	Var3s
obaviješten	obavijestiti	Appmsnn
o	o	Sl
iznimnom	izniman	Agpmsly
ulasku	ulazak	Ncmsl
,	,	Z
izlasku	izlazak	Ncmsl
te	te	Cc
o	o	Sl
ulasku	ulazak	Ncmsl
i	i	Cc
izlasku	izlazak	Ncmsl
u	u	Sa
skretanje	skretanje	Ncnsa
u	u	Sl
kolodvoru	kolodvor	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
nije	biti	Var3s
predsignalizirana	predsignalizirana	Ncfsn
ograničena	ograničiti	Appfsny
brzina	brzina	Ncfsn
koju	koji	Pi-fsa
signalizira	signalizirati	Vmr3s
glavni	glavni	Agpmsny
signal	signal	Ncmsn
,	,	Z
ulazni	ulazan	Agpmsny
signal	signal	Ncmsn
mora	morati	Vmr3s
signalizirati	signalizirati	Vmn
signalni	signalni	Agpmsayn
znak	znak	Ncmsan
»	»	Z
Stoj	stoj	Ncmsn
«	«	Z
.	.	Z

Kada	kada	Rgp
se	sebe	Px--sa
prometnik	prometnik	Ncmsn
vlakova	vlak	Ncmpg
uvjerio	uvjeriti	Vmp-sm
da	da	Cs
se	sebe	Px--sa
vlak	vlak	Ncmsn
zaustavio	zaustaviti	Vmp-sm
ispred	ispred	Sg
ulaznog	ulazan	Agpmsgy
signala	signal	Ncmsg
,	,	Z
on	on	Pp3msn
se	sebe	Px--sa
postavlja	postavljati	Vmr3s
tako	tako	Cs
da	da	Cs
signalizira	signalizirati	Vmr3s
signalni	signalni	Agpmsny
znak	znak	Ncmsn
za	za	Sa
dopuštenu	dopustiti	Agpfsay
vožnju	vožnja	Ncfsa
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Kada	kada	Rgp
se	sebe	Px--sa
u	u	Sl
kolodvoru	kolodvor	Ncmsl
vlak	vlak	Ncmsn
za	za	Sa
prijevoz	prijevoz	Ncmsan
putnika	putnik	Ncmpg
sastaje	sastajati	Vmr3s
s	sa	Si
drugim	drugi	Agpmsiy
vlakom	vlak	Ncmsi
za	za	Sa
prijevoz	prijevoz	Ncmsan
putnika	putnik	Ncmpg
ili	ili	Cc
s	sa	Si
teretnim	teretan	Agpmsiy
vlakom	vlak	Ncmsi
,	,	Z
vlak	vlak	Ncmsn
za	za	Sa
prijevoz	prijevoz	Ncmsan
putnika	putnik	Ncmpg
koji	koji	Pi-msn
dolazi	dolaziti	Vmr3s
kasnije	kasno	Rgc
odnosno	odnosno	Rgp
teretni	teretan	Agpmsny
vlak	vlak	Ncmsn
prima	primati	Vmr3s
se	sebe	Px--sa
na	na	Sa
kolosijek	kolosijek	Ncmsan
koji	koji	Pi-msn
je	biti	Var3s
udaljeniji	udaljen	Agcmsny
od	od	Sg
kolodvorske	kolodvorski	Agpfsgy
zgrade	zgrada	Ncfsg
od	od	Sg
onog	onaj	Pd-msg
kolosijeka	kolosijek	Ncmsg
na	na	Sa
koji	koji	Pi-msn
je	biti	Var3s
primljen	primiti	Appmsnn
vlak	vlak	Ncmsn
za	za	Sa
prijevoz	prijevoz	Ncmsan
putnika	putnik	Ncmpg
koji	koji	Pi-msn
je	biti	Var3s
stigao	stići	Vmp-sm
prvi	prvi	Mlomsn
u	u	Sa
