109	109	Mdc
25.11.2016	25.11.2016	Agpmsny
Pravilnik	pravilnik	Ncmsn
o	o	Sl
izmjenama	izmjena	Ncfpl
i	i	Cc
dopunama	dopuna	Ncfpl
Pravilnika	pravilnik	Ncmsg
o	o	Sl
utvrđivanju	utvrđivanje	Ncnsl
zdravstvene	zdravstven	Agpfsgy
sposobnosti	sposobnost	Ncfsg
za	za	Sa
vojnu	vojni	Agpfsay
službu	služba	Ncfsa

MINISTARSTVO	ministarstvo	Ncnsn
OBRANE	obrana	Ncfsg

2359	2359	Mdc

Na	na	Sl
temelju	temelj	Ncmsl
članka	članak	Ncmsg
123.	123.	Mdo
stavka	stavak	Ncmsg
8.	8.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
službi	služba	Ncfsl
u	u	Sl
Oružanim	oružan	Agpfply
snagama	snaga	Ncfpl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
73/13	73/13	Mdc
,	,	Z
75/15	75/15	Mdc
i	i	Cc
50/16	50/16	Mdc
)	)	Z
,	,	Z
uz	uz	Sa
suglasnost	suglasnost	Ncfsa
ministra	ministar	Ncmsg
zdravstva	zdravstvo	Ncnsg
,	,	Z
donosim	donositi	Vmr1s

PRAVILNIK	pravilnik	Ncmsn

O	o	Sl
IZMJENAMA	izmjena	Ncfpl
I	i	Cc
DOPUNAMA	dopuna	Ncfpl
PRAVILNIKA	pravilnik	Ncmsg
O	o	Sl
UTVRĐIVANJU	utvrđivanje	Ncnsl
ZDRAVSTVENE	zdravstven	Agpfsgy
SPOSOBNOSTI	sposobnost	Ncfsg
ZA	za	Sa
VOJNU	vojni	Agpfsay
SLUŽBU	služba	Ncfsa

Članak	članak	Ncmsn
1.	1.	Mdo

U	u	Sl
Pravilniku	pravilnik	Ncmsl
o	o	Sl
utvrđivanju	utvrđivanje	Ncnsl
zdravstvene	zdravstven	Agpfsgy
sposobnosti	sposobnost	Ncfsg
za	za	Sa
vojnu	vojni	Agpfsay
službu	služba	Ncfsa
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
42/14	42/14	Mdc
i	i	Cc
134/15	134/15	Mdc
)	)	Z
u	u	Sl
članku	članak	Ncmsl
7.	7.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
podstavak	podstavak	Ncmsan
12.	12.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
–	–	Z
ostalih	ostali	Agpfpgy
dijagnostičkih	dijagnostički	Agpfpgy
pretraga	pretraga	Ncfpg
po	po	Sl
indikaciji	indikacija	Ncfsl
.	.	Z
«	«	Z

Članak	članak	Ncmsn
2.	2.	Mdo

U	u	Sl
članku	članak	Ncmsl
10.	10.	Mdo
stavak	stavak	Ncmsn
5.	5.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
5	5	Mdc
)	)	Z
Na	na	Sa
izvanredni	izvanredan	Agpmsayn
zdravstveni	zdravstven	Agpmsayn
pregled	pregled	Ncmsan
za	za	Sa
sudjelovanje	sudjelovanje	Ncnsa
u	u	Sl
operacijama	operacija	Ncfpl
potpore	potpora	Ncfsg
miru	mir	Ncmsl
i	i	Cc
drugim	drugi	Mlofpl
aktivnostima	aktivnost	Ncfpl
u	u	Sl
inozemstvu	inozemstvo	Ncnsl
pripadnike	pripadnik	Ncmpa
Oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
upućuju	upućivati	Vmr3p
ustrojstvene	ustrojstven	Agpfpny
jedinice	jedinica	Ncfpn
Ministarstva	ministarstvo	Ncnsg
obrane	obrana	Ncfsg
i	i	Cc
Oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
pravilnikom	pravilnik	Ncmsi
kojim	koji	Pi-msi
se	sebe	Px--sa
