sinkronizacijskoj	sinkronizacijski	Agpfsly
pogrešci	pogreška	Ncfsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Davatelj	davatelj	Ncmsn
broja	broj	Ncmsg
obvezan	obvezan	Agpmsnn
je	biti	Var3s
na	na	Sa
zahtjev	zahtjev	Ncmsan
primatelja	primatelj	Ncmpg
broja	broj	Ncmsg
,	,	Z
u	u	Sl
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl
,	,	Z
dostavljati	dostavljati	Vmn
primatelju	primatelj	Ncmsl
broja	broj	Ncmsg
specificirano	specificirati	Appnsny
dnevno	dnevni	Agpnsny
izvješće	izvješće	Ncnsn
o	o	Sl
obrađenim	obrađen	Agpmply
zahtjevima	zahtjev	Ncmpl
za	za	Si
aktivacijom	aktivacija	Ncfsi
usluge	usluga	Ncfpa
prijenosa	prijenos	Ncmsg
broja	broj	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
je	biti	Var3s
preneseni	prenesen	Agpmsny
broj	broj	Ncmsn
izvan	izvan	Sg
uporabe	uporaba	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
da	da	Cs
se	sebe	Px--sa
istim	isti	Vmr3s
krajnji	krajnji	Agpmsny
korisnik	korisnik	Ncmsn
više	više	Rgp
ne	ne	Qz
koristi	koristiti	Vmr3s
,	,	Z
primatelj	primatelj	Ncmsn
broja	broj	Ncmsg
je	biti	Var3s
obvezan	obvezati	Appmsnn
putem	put	Sg
CABP-a	CABP	Npmsg
vratiti	vratiti	Vmn
broj	broj	Ncmsan
operatoru	operator	Ncmsd
korisniku	korisnik	Ncmsd
broja	broj	Ncmsg
odmah	odmah	Rgp
po	po	Sl
isteku	istek	Ncmsl
roka	rok	Ncmsg
mirovanja	mirovanje	Ncnsg
broja	broj	Ncmsg
iz	iz	Sg
Pravilnika	pravilnik	Ncmsg
o	o	Sl
dodjeli	dodjela	Ncfsl
adresa	adresa	Ncfpg
i	i	Cc
brojeva	broj	Ncmpg
.	.	Z

Obveza	obveza	Ncfsn
pripreme	priprema	Ncfsg
mreže	mreža	Ncfsg

Članak	članak	Ncmsn
5.	5.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Operatori	operator	Ncmpn
su	biti	Var3p
obvezni	obvezan	Agpmpny
razvijati	razvijati	Vmn
i	i	Cc
unaprjeđivati	unaprjeđivati	Vmn
svoje	svoj	Px-fpa
elektroničke	elektronički	Agpfpay
komunikacijske	komunikacijski	Agpfpay
mreže	mreža	Ncfpa
i	i	Cc
sustave	sustav	Ncmpa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
porastom	porast	Ncmsi
broja	broj	Ncmsg
prenesenih	prenesen	Agpmpgy
brojeva	broj	Ncmpg
,	,	Z
u	u	Sa
svrhu	svrha	Ncfsa
ispunjenja	ispunjenje	Ncnsg
obveza	obveza	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
76.	76.	Mdo

Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Primatelj	primatelj	Ncmsn
i	i	Cc
davatelj	davatelj	Ncmsn
broja	broj	Ncmsg
odgovorni	odgovoran	Agpmpny
su	biti	Var3p
za	za	Sa
postupak	postupak	Ncmsan
prijenosa	prijenos	Ncmsg
broja	broj	Ncmsg
i	i	Cc
za	za	Sa
pripremu	priprema	Ncfsa
svoje	svoj	Px-fsg
elektroničke	elektronički	Agpfsgy
komunikacijske	komunikacijski	Agpfsgy
mreže	mreža	Ncfsg
,	,	Z
sustava	sustav	Ncmsg
i	i	Cc
usluga	usluga	Ncfpg
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
u	u	Sl
postupku	postupak	Ncmsl
prijenosa	prijenos	Ncmsg
broja	broj	Ncmsg
kvaliteta	kvaliteta	Ncfpg
postojeće	postojeći	Agpfsgy
usluge	usluga	Ncfsg
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
narušena	narušiti	Appfsny
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Primatelj	primatelj	Ncmsn
broja	broj	Ncmsg
obvezan	obvezan	Agpmsnn
je	biti	Var3s
provesti	provesti	Vmn
sva	sav	Agpnpay
potrebna	potreban	Agpnpay
testiranja	testiranje	Ncnpa
propisana	propisati	Appfsny
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
prije	prije	Sg
priključenja	priključenje	Ncnsg
novog	nov	Agpmsgy
krajnjeg	krajnji	Agpmsgy
korisnika	korisnik	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Primatelj	primatelj	Ncmsn
broja	broj	Ncmsg
obvezan	obvezan	Agpmsnn
je	biti	Var3s
arhivirati	arhivirati	Vmn
i	i	Cc
čuvati	čuvati	Vmn
svu	sav	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
u	u	Sl
postupku	postupak	Ncmsl
prijenosa	prijenos	Ncmsg
broja	broj	Ncmsg
te	te	Cc
ju	on	Pp3fsa
na	na	Sa
zahtjev	zahtjev	Ncmsan
davatelja	davatelj	Ncmpg
broja	broj	Ncmsg
ili	ili	Cc
Agencije	agencija	Ncfsg
dostaviti	dostaviti	Vmn
pisanim	pisan	Agpmpiy
ili	ili	Cc
elektroničkim	elektronički	Agpmsiy
putem	put	Ncmsi
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
jednog	jedan	Mlcmsg
(	(	Z
1	1	Mdc
)	)	Z
radnog	radni	Agpmsgy
dana	dan	Ncmsg
.	.	Z

Operatori	operator	Ncmpn
su	biti	Var3p
obvezni	obvezan	Agpmpny
na	na	Sa
zahtjev	zahtjev	Ncmsan
Agencije	agencija	Ncfsg
dostaviti	dostaviti	Vmn
i	i	Cc
druge	drugi	Agpmpay
podatke	podatak	Ncmpa
,	,	Z
koje	koji	Pi-mpa
Agencija	agencija	Ncfsn
ocijeni	ocijeniti	Vmr3s
potrebnim	potreban	Agpnsiy
,	,	Z
vezano	vezano	Rgp
uz	uz	Sa
uslugu	usluga	Ncfsa
prenosivosti	prenosivost	Ncfsg
broja	broj	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Operatori	operator	Ncmpn
su	biti	Var3p
obvezni	obvezan	Agpmpny
dostaviti	dostaviti	Vmn
Agenciji	agencija	Ncfsl
podatke	podatak	Ncmpa
o	o	Sl
kontakt	kontakt	Ncmsan
osobama	osoba	Ncfpl
za	za	Sa
postupak	postupak	Ncmsan
prijenosa	prijenos	Ncmsg
broja	broj	Ncmsg
,	,	Z
kao	kao	Cs
i	i	Cc
promjenu	promjena	Ncfsa
navedenih	naveden	Agpmpgy
podataka	podatak	Ncmpg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Agencija	agencija	Ncfsn
će	htjeti	Var3s
podatke	podatak	Ncmpa
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
dostaviti	dostaviti	Vmn
elektroničkim	elektronički	Agpmsiy
putem	put	Ncmsi
svim	sav	Agpmpiy
operatorima	operator	Ncmpi
.	.	Z

Testiranje	testiranje	Ncnsn
prije	prije	Sg
pružanja	pružanje	Ncnsg
usluge	usluga	Ncfsg
prenosivosti	prenosivost	Ncfsg
broja	broj	Ncmsg

Članak	članak	Ncmsn
6.	6.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sa
svrhu	svrha	Ncfsa
uspostave	uspostava	Ncfsg
usluge	usluga	Ncfsg
prenosivosti	prenosivost	Ncfsg
broja	broj	Ncmsg
u	u	Sl
mreži	mreža	Ncfsl
operatora	operator	Ncmpg
,	,	Z
operator	operator	Ncmsn
je	biti	Var3s
obvezan	obvezati	Appmsnn
prije	prije	Sg
pružanja	pružanje	Ncnsg
navedene	naveden	Agpfsgy
usluge	usluga	Ncfsg
uspostaviti	uspostaviti	Vmn
i	i	Cc
testirati	testirati	Vmn
međupovezivanje	međupovezivanje	Ncnsa
između	između	Sg
operatora	operator	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Prije	prije	Sg
pružanja	pružanje	Ncnsg
usluge	usluga	Ncfsg
prenosivosti	prenosivost	Ncfsg
broja	broj	Ncmsg
operatori	operator	Ncmpn
su	biti	Var3p
obvezni	obvezan	Agpmpny
provesti	provesti	Ncmpn
najmanje	malo	Rgs
sljedeća	sljedeći	Agpnpay
testiranja	testiranje	Ncnpa
:	:	Z

a.	a.	Mro
između	između	Sg
CABP-a	CABP	Npmsg
i	i	Cc
operatora	operator	Ncmpg
:	:	Z

–	–	Z
proces	proces	Ncmsn
prijenosa	prijenos	Ncmsg
broja	broj	Ncmsg
između	između	Sg
operatora	operator	Ncmsg
i	i	Cc
CABP-a	CABP	Npmsg
,	,	Z

–	ti	Vmm2p
primanje	primanje	Ncnsa
obavijesti	obavijest	Ncfsg
o	o	Sl
statusu	status	Ncmsl
postupka	postupak	Ncmsg
prijenosa	prijenos	Ncmsg
broja	broj	Ncmsg
,	,	Z

–	i	Agpnsny
ažuriranje	ažuriranje	Ncnsn
LBPB-a	LBPB	Npmsg
.	.	Z

b.	b.	Y
između	između	Sg
operatora	operator	Ncmsg
:	:	Z

–	–	Z
uspostava	uspostava	Ncfsn
poziva	poziv	Ncmpg
u	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
poziv	poziv	Ncmsn
započinje	započinjati	Vmr3s
s	sa	Sg
broja	broj	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
prenesen	prenijeti	Appmsnn
u	u	Sa
različite	različit	Agpfpay
elektroničke	elektronički	Agpfsgy
komunikacijske	komunikacijski	Agpfsgy
mreže	mreža	Ncfsg
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
je	biti	Var3s
potrebno	potreban	Agpnsny
voditi	voditi	Vmn
računa	račun	Ncmsg
o	o	Sl
ispravnom	ispravan	Agpmsly
prikazu	prikaz	Ncmsl
broja	broj	Ncmsg
pozivatelja-CLI	pozivatelja-cti	Vmp-pm
(	(	Z
eng.	eng.	Y
:	:	Z
»	»	Z
Call	Call	Xf
Line	Line	Xf
Identification	Identification	Xf
«	«	Z
)	)	Z
,	,	Z

–	–	Z
uspostava	uspostava	Ncfsn
poziva	poziv	Ncmpg
u	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
poziv	poziv	Ncmsn
prema	prema	Sl
prenesenom	prenesen	Agpmsly
broju	broj	Ncmsl
započinje	započinjati	Vmr3s
iz	iz	Sg
različitih	različit	Agpfpgy
elektroničkih	elektronički	Agpfpgy
komunikacijskih	komunikacijski	Agpfpgy
mreža	mreža	Ncfpg
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
je	biti	Var3s
potrebno	potreban	Agpnsny
voditi	voditi	Vmn
računa	račun	Ncmsg
o	o	Sl
ispravnom	ispravan	Agpmsly
prikazu	prikaz	Ncmsl
broja	broj	Ncmsg
pozivatelja-CLI	pozivatelja-cl	Ncmpg
,	,	Z

–	–	Agpmsny
prijenos	prijenos	Ncmsn
SMS	sms	Npmsn
i	i	Cc
MMS	MMS	Npmsn
poruka	poruka	Ncfpg
prema	prema	Sl
prenesenom	prenesen	Agpmsly
broju	broj	Ncmsl
iz	iz	Sg
različitih	različit	Agpfpgy
elektroničkih	elektronički	Agpfpgy
komunikacijskih	komunikacijski	Agpfpgy
mreža	mreža	Ncfpg
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
je	biti	Var3s
obveza	obveza	Ncfsn
testiranja	testiranje	Ncnsg
za	za	Sa
prijenos	prijenos	Ncmsan
MMS	mmi	Agpfsgy
poruke	poruka	Ncfsg
potrebna	potreban	Agpfsny
samo	samo	Rgp
za	za	Sa
pokretne	pokretan	Agpmpay
elektroničke	elektronički	Agpfsgy
komunikacijske	komunikacijski	Agpfsgy
mreže	mreža	Ncfsg
,	,	Z

–	–	Pd-mpn
drugi	drugi	Mlompn
mogući	moguć	Agpmpny
slučajevi	slučaj	Ncmpn
.	.	Z

Usmjeravanje	usmjeravanje	Ncnsn
poziva	pozivati	Vmr3s
iz	iz	Sg
pokretne	pokretan	Agpfsgy
elektroničke	elektronički	Agpfsgy
komunikacijske	komunikacijski	Agpfsgy
mreže	mreža	Ncfsg

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Operator	operator	Ncmsn
pokretne	pokretan	Agpfsgy
elektroničke	elektronički	Agpfsgy
komunikacijske	komunikacijski	Agpfsgy
mreže	mreža	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
poziv	poziv	Ncmsan
započinje	započinjati	Vmr3s
,	,	Z
obvezan	obvezan	Agpmsnn
je	biti	Var3s
ispravno	ispravno	Rgp
usmjeriti	usmjeriti	Vmn
poziv	poziv	Ncmsan
upućen	uputiti	Appmsnn
prema	prema	Sl
broju	broj	Ncmsl
prenesenom	prenijeti	Appmsly
u	u	Sa
pokretnu	pokretan	Agpfsay
elektroničku	elektronički	Agpfsay
komunikacijsku	komunikacijski	Agpfsay
mrežu	mreža	Ncfsa
metodom	metoda	Sg
usmjeravanja	usmjeravanje	Ncnsg
Upit	upit	Ncmsn
u	u	Sa
bazu	baza	Ncfsa
(	(	Z
eng.	eng.	Y
:	:	Z
»	»	Z
All	All	Xf
Call	Call	Xf
Query	Query	Xf
«	«	Z
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Operator	operator	Ncmsn
pokretne	pokretan	Agpfsgy
elektroničke	elektronički	Agpfsgy
komunikacijske	komunikacijski	Agpfsgy
mreže	mreža	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
poziv	poziv	Ncmsan
započinje	započinjati	Vmr3s
,	,	Z
obvezan	obvezan	Agpmsnn
je	biti	Var3s
ispravno	ispravno	Rgp
usmjeriti	usmjeriti	Vmn
pozive	poziv	Ncmpa
prema	prema	Sl
prenesenom	prenesen	Agpmsly
broju	broj	Ncmsl
u	u	Sl
nepokretnoj	nepokretan	Agpfsly
elektroničkoj	elektronički	Agpfsly
komunikacijskoj	komunikacijski	Agpfsly
mreži	mreža	Ncfsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
operator	operator	Ncmsn
pokretne	pokretan	Agpfsgy
elektroničke	elektronički	Agpfsgy
komunikacijske	komunikacijski	Agpfsgy
mreže	mreža	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
poziv	poziv	Ncmsan
započinje	započinjati	Vmr3s
,	,	Z
obvezan	obvezan	Agpmsnn
je	biti	Var3s
pri	pri	Sl
usmjeravanju	usmjeravanje	Ncnsl
poziva	pozivati	Vmr3s
primjenjivati	primjenjivati	Vmn
metodu	metoda	Ncfsa
usmjeravanja	usmjeravanje	Ncnsg
Upit	upit	Ncmsan
u	u	Sa
bazu	baza	Ncfsa
(	(	Z
eng.	eng.	Y
:	:	Z
»	»	Z
All	All	Xf
Call	Call	Xf
Query	Query	Xf
«	«	Z
)	)	Z
,	,	Z
osim	osim	Cs
u	u	Sl
slučaju	slučaj	Ncmsl
ako	ako	Cs
je	biti	Var3s
ugovoreno	ugovoriti	Appnsny
drukčije	drugačije	Rgp
.	.	Z

Usmjeravanje	usmjeravanje	Ncnsn
poziva	pozivati	Vmr3s
iz	iz	Sg
nepokretne	nepokretan	Agpfsgy
elektroničke	elektronički	Agpfsgy
komunikacijske	komunikacijski	Agpfsgy
mreže	mreža	Ncfsg

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Operator	operator	Ncmsn
nepokretne	nepokretan	Agpfsgy
elektroničke	elektronički	Agpfsgy
komunikacijske	komunikacijski	Agpfsgy
mreže	mreža	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
poziv	poziv	Ncmsan
započinje	započinjati	Vmr3s
,	,	Z
obvezan	obvezan	Agpmsnn
je	biti	Var3s
ispravno	ispravno	Rgp
usmjeriti	usmjeriti	Vmn
pozive	poziv	Ncmpa
upućene	upućen	Agpmpay
prema	prema	Sl
broju	broj	Ncmsl
prenesenom	prenijeti	Appmsly
u	u	Sa
nepokretnu	nepokretan	Agpfsay
elektroničku	elektronički	Agpfsay
komunikacijsku	komunikacijski	Agpfsay
mrežu	mreža	Ncfsa
primjenom	primjena	Ncfsi
metode	metoda	Ncfsg
usmjeravanja	usmjeravanje	Ncnsg
Upit	upit	Ncmsn
u	u	Sa
bazu	baza	Ncfsa
(	(	Z
eng.	eng.	Y
:	:	Z
»	»	Z
All	All	Xf
Call	Call	Xf

