kraći	kratak	Agcmsny
od	od	Sg
roka	rok	Ncmsg
propisanog	propisati	Appmsgy
u	u	Sl
članku	članak	Ncmsl
14.	14.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
za	za	Sa
nepokretnu	nepokretan	Agpfsay
elektroničku	elektronički	Agpfsay
komunikacijsku	komunikacijski	Agpfsay
mrežu	mreža	Ncfsa
,	,	Z
odnosno	odnosno	Rgp
članku	članak	Ncmsl
15.	15.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
za	za	Sa
pokretnu	pokretan	Agpfsay
elektroničku	elektronički	Agpfsay
komunikacijsku	komunikacijski	Agpfsay
mrežu	mreža	Ncfsa
,	,	Z

e.	e.	Pq3n-n
ako	ako	Cs
je	biti	Var3s
datum	datum	Ncmsn
prijenosa	prijenos	Ncmsg
broja	broj	Ncmsg
u	u	Sl
nepokretnoj	nepokretan	Agpfsly
elektroničkoj	elektronički	Agpfsly
komunikacijskoj	komunikacijski	Agpfsly
mreži	mreža	Ncfsl
duži	dug	Agcmsny
od	od	Sg
šezdeset	šezdeset	Mlc
(	(	Z
60	60	Mdc
)	)	Z
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
unosa	unos	Ncmsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
prijenos	prijenos	Ncmsan
broja	broj	Ncmsg
u	u	Sl
CABP	CAB	Npmsl
,	,	Z
a	a	Cc
u	u	Sl
pokretnoj	pokretan	Agpfsly
elektroničkoj	elektronički	Agpfsly
komunikacijskoj	komunikacijski	Agpfsly
mreži	mreža	Ncfsl
duži	dužiti	Vmr3s
od	od	Sg
dvadeset	dvadeset	Mlc
i	i	Cc
jedan	jedan	Mlcmsn
(	(	Z
21	21	Mdc
)	)	Z
dan	dan	Ncmsan
od	od	Sg
dana	dan	Ncmsg
unosa	unos	Ncmsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
prijenos	prijenos	Ncmsan
broja	broj	Ncmsg
u	u	Sl
CABP	CAB	Npmsl
,	,	Z

f.	f.	Y
SIM	SIM	Npmsn
deaktiviran	deaktivirati	Appmsnn
ili	ili	Cc
SIM	SIM	Npmsn
neaktivan	neaktivan	Agpmsnn
,	,	Z

g.	g.	Y
ako	ako	Cs
postoji	postojati	Vmr3s
tehnička	tehnički	Agpfsny
nemogućnost	nemogućnost	Ncfsn
realizacije	realizacija	Ncfsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
veleprodajnu	veleprodajni	Agpfsay
uslugu	usluga	Ncfsa
širokopojasnog	širokopojasni	Agpmsgy
pristupa	pristup	Ncmsg
ili	ili	Cc
uslugu	usluga	Ncfsa
izdvojenog	izdvojiti	Agpmsgy
pristupa	pristup	Ncmsg
lokalnoj	lokalan	Agpfsly
petlji	petlja	Ncfsl
ukoliko	ukoliko	Cs
primatelj	primatelj	Ncmsn
broja	broj	Ncmsg
istovremeno	istovremeno	Rgp
sa	sa	Si
zahtjevom	zahtjev	Ncmsi
za	za	Sa
navedene	naveden	Agpfpay
usluge	usluga	Ncfpa
zatraži	zatražiti	Vmr3s
i	i	Cc
uslugu	usluga	Ncfsa
prenosivosti	prenosivost	Ncfsg
broja	broj	Ncmsg
,	,	Z

h.	h.	Pq3n-n
ako	ako	Cs
je	biti	Var3s
pretplatnički	pretplatnički	Agpmsny
broj	broj	Ncmsn
za	za	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
traži	tražiti	Vmr3s
prijenos	prijenos	Ncmsn
FGSM	FGSM	Npmsn
numeracija	numeracija	Ncfsn
,	,	Z
a	a	Cc
primatelj	primatelj	Ncmsn
broja	broj	Ncmsg
ne	ne	Qz
može	moći	Vmr3s
tehnički	tehnički	Rgp
omogućiti	omogućiti	Vmn
uporabu	uporaba	Ncfsa
iste	isti	Agpfsgy
,	,	Z

i.	ii	Agpnsay
povlačenje	povlačenje	Ncnsa
zahtjeva	zahtjev	Ncmpg
za	za	Sa
veleprodajnu	veleprodajni	Agpfsay
uslugu	usluga	Ncfsa
širokopojasnog	širokopojasni	Agpmsgy
pristupa	pristup	Ncmsg
ili	ili	Cc
uslugu	usluga	Ncfsa
izdvojenog	izdvojiti	Agpmsgy
pristupa	pristup	Ncmsg
izdvojenoj	izdvojiti	Appfsly
lokalnoj	lokalan	Agpfsly
petlji	petlja	Ncfsl
ukoliko	ukoliko	Cs
primatelj	primatelj	Ncmsn
broja	broj	Ncmsg
istovremeno	istovremeno	Rgp
sa	sa	Si
zahtjevom	zahtjev	Ncmsi
za	za	Sa
navedene	naveden	Agpfpay
usluge	usluga	Ncfpa
zatraži	zatražiti	Vmr3s
i	i	Cc
uslugu	usluga	Ncfsa
prenosivosti	prenosivost	Ncfsg
broja	broj	Ncmsg
,	,	Z

j.	j.	Y
ako	ako	Cs
pretplatnički	pretplatnički	Agpmsny
broj	broj	Ncmsn
za	za	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
traži	tražiti	Vmr3s
prijenos	prijenos	Ncmsn
ne	ne	Qz
glasi	glasiti	Vmr3s
na	na	Sa
ime	ime	Ncnsa
podnositelja	podnositelj	Ncmpg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
prijenos	prijenos	Ncmsan
broja	broj	Ncmsg
,	,	Z

k.	k.	Pq3n-n
ako	ako	Cs
je	biti	Var3s
na	na	Sl
pretplatničkom	pretplatnički	Agpmsly
broju	broj	Ncmsl
već	već	Rgp
pokrenuto	pokrenuti	Appnsny
uključenje	uključenje	Ncnsn
ili	ili	Cc
je	biti	Var3s
u	u	Sl
tijeku	tijek	Ncmsl
realizacija	realizacija	Ncfsn
veleprodajne	veleprodajni	Agpfsgy
/	/	Z
maloprodajne	maloprodajni	Agpfpay
usluge	usluga	Ncfpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
davatelj	davatelj	Ncmsn
broja	broj	Ncmsg
će	htjeti	Var3s
putem	put	Ncmsi
CABP-u	CABP	Npmsd
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
najviše	mnogo	Rgs
tri	tri	Mlc
(	(	Z
3	3	Mdc
)	)	Z
radna	radni	Agpmsgy
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
primitka	primitak	Ncmsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
prijenos	prijenos	Ncmsan
broja	broj	Ncmsg
u	u	Sl
nepokretnoj	nepokretan	Agpfsly
elektroničkoj	elektronički	Agpfsly
komunikacijskoj	komunikacijski	Agpfsly
mreži	mreža	Ncfsl
te	te	Cc
jedan	jedan	Mlcmsan
(	(	Z
1	1	Mdc
)	)	Z
radni	radni	Agpmsayn
dan	dan	Ncmsan
od	od	Sg
dana	dan	Ncmpg
primitka	primitak	Ncmsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
prijenos	prijenos	Ncmsan
broja	broj	Ncmsg
u	u	Sl
pokretnoj	pokretan	Agpfsly
elektroničkoj	elektronički	Agpfsly
komunikacijskoj	komunikacijski	Agpfsly
mreži	mreža	Ncfsl
,	,	Z
obavijestiti	obavijestiti	Vmn
primatelja	primatelj	Ncmsay
broja	broj	Ncmsg
o	o	Sl
svim	sav	Agpmply
razlozima	razlog	Ncmpl
odbijanja	odbijanje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
prijenos	prijenos	Ncmsan
broja	broj	Ncmsg
.	.	Z

U	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
b.	b.	Sg
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
davatelj	davatelj	Ncmsn
broja	broj	Ncmsg
će	htjeti	Var3s
obavijestiti	obavijestiti	Vmn
primatelja	primatelj	Ncmsay
broja	broj	Ncmsg
o	o	Sl
svim	sav	Agpmply
brojevima	broj	Ncmpl
unutar	unutar	Sg
usluge	usluga	Ncfsg
VPN	vpi	Agpfsgy
serije	serija	Ncfsg
ili	ili	Cc
niza	niz	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Primatelj	primatelj	Ncmsn
broja	broj	Ncmsg
će	htjeti	Var3s
po	po	Sl
zaprimanju	zaprimanje	Ncnsl
obavijesti	obavijest	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
bez	bez	Sg
odgode	odgoda	Ncfsg
pisanim	pisan	Agpmsiy
putem	put	Ncmsi
,	,	Z
elektroničkim	elektronički	Agpmsiy
putem	put	Ncmsi
ili	ili	Cc
SMS	sms	Npmsn
porukom	poruka	Ncfsi
obavijestiti	obavijestiti	Vmn
podnositelja	podnositelj	Ncmsay
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
prijenos	prijenos	Ncmsan
broja	broj	Ncmsg
o	o	Sl
svim	sav	Agpmply
razlozima	razlog	Ncmpl
odbijanja	odbijanje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
prijenos	prijenos	Ncmsan
broja	broj	Ncmsg
.	.	Z

Prigovor	prigovor	Ncmsn
i	i	Cc
prijava	prijava	Ncfsn
na	na	Sa
odbijanje	odbijanje	Ncnsa
ili	ili	Cc
odgodu	odgoda	Ncfsa
roka	rok	Ncmsg
za	za	Sa
prijenos	prijenos	Ncmsan
broja	broj	Ncmsg

Članak	članak	Ncmsn
19.	19.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
smatra	smatrati	Vmr3s
da	da	Cs
su	biti	Var3p
razlozi	razlog	Ncmpn
odbijanja	odbijanje	Ncnsg
ili	ili	Cc
odgode	odgoda	Ncfsg
prijenosa	prijenos	Ncmsg
broja	broj	Ncmsg
neopravdani	neopravdan	Agpmsny
,	,	Z
primatelj	primatelj	Ncmsn
broja	broj	Ncmsg
ili	ili	Cc
podnositelj	podnositelj	Ncmsn
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
prijenos	prijenos	Ncmsan
broja	broj	Ncmsg
putem	put	Sg
primatelja	primatelj	Ncmsg
broja	broj	Ncmsg
,	,	Z
upućuje	upućivati	Vmr3s
prigovor	prigovor	Ncmsan
davatelju	davatelj	Ncmsd
broja	broj	Ncmsg
pisanim	pisan	Agpmpiy
ili	ili	Cc
elektroničkim	elektronički	Agpmsiy
putem	put	Ncmsi
,	,	Z
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
tri	tri	Mlc
(	(	Z
