obavezan	obavezan	Agpmsnn
dostaviti	dostaviti	Vmn
podatke	podatak	Ncmpa
u	u	Sl
formatu	format	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
bi	biti	Vaa3s
i	i	Qo
zainteresirana	zainteresiran	Agpfsny
osoba	osoba	Ncfsn
mogla	moći	Vmp-sf
koristiti	koristiti	Vmn
.	.	Z

Tužitelj	tužitelj	Ncmsn
ističe	isticati	Vmr3s
kako	kako	Cs
u	u	Sl
trenutku	trenutak	Ncmsl
donošenja	donošenje	Ncnsg
osporenog	osporiti	Appnsgy
rješenja	rješenje	Ncnsg
sukladno	sukladan	Agpnsny
zakonu	zakon	Ncmsl
i	i	Cc
pravilniku	pravilnik	Ncmsl
nije	biti	Var3s
postala	postati	Vmp-sf
obveza	obveza	Ncfsn
sve	sav	Agpmpay
podatke	podatak	Ncmpa
kojima	koji	Pi-mpi
je	biti	Var3s
raspolagao	raspolagati	Vmp-sm
već	već	Rgp
je	biti	Var3s
bilo	biti	Vap-sn
propisano	propisati	Appnsny
koje	koji	Pi-nsa
podatke	podatak	Ncmpa
mora	morati	Vmr3s
dostaviti	dostaviti	Vmn
te	te	Cc
je	biti	Var3s
postojala	postojati	Vmp-sf
i	i	Cc
odredba	odredba	Ncfsn
o	o	Sl
podacima	podatak	Ncmpl
koje	koji	Pi-mpa
može	moći	Vmr3s
dostaviti	dostaviti	Vmn
odnosno	odnosno	Rgp
podatke	podatak	Ncmpa
koji	koji	Pi-mpn
nisu	biti	Var3p
bili	biti	Vap-pm
obuhvaćeni	obuhvatiti	Appmpny
u	u	Sl
tom	taj	Pd-msl
trenutku	trenutak	Ncmsl
između	između	Sg
tužitelja	tužitelj	Ncmsg
i	i	Cc
zainteresirane	zainteresiran	Agpfpay
osobe	osoba	Ncfpa
.	.	Z

Kasnijim	kasan	Agpfpiy
izmjenama	izmjena	Ncfpi
pravilnika	pravilnik	Ncmpg
obuhvaćeni	obuhvatiti	Appmpny
su	biti	Var3p
i	i	Qo
ti	taj	Pd-mpn
dodatni	dodatan	Agpmpny
podaci	podatak	Ncmpn
.	.	Z

Tuženik	tuženik	Ncmsn
se	sebe	Px--sa
glede	glede	Sg
izmjene	izmjena	Ncfsg
pravilnika	pravilnik	Ncmpg
poziva	pozivati	Vmr3s
na	na	Sa
navode	navod	Ncmpa
iz	iz	Sg
odgovora	odgovor	Ncmsg
na	na	Sa
tužbu	tužba	Ncfsa
.	.	Z

U	u	Sl
svezi	sveza	Ncfsl
oblika	oblik	Ncmsg
u	u	Sl
kojem	koji	Pi-msl
ti	taj	Pd-mpn
