proizvodom	proizvod	Ncmsi
i	i	Cc
srodnim	srodan	Agpmpiy
lijekovima	lijek	Ncmpi
.	.	Z

Također	također	Rgp
,	,	Z
potrebno	potreban	Agpnsny
je	biti	Var3s
navesti	navesti	Vmn
mjere	mjera	Ncfpa
opreza	oprez	Ncmsg
i	i	Cc
posebnoga	poseban	Agpnsgy
motrenja	motrenje	Ncnsg
kao	kao	Cs
sastavnog	sastavan	Agpmsgy
dijela	dio	Ncmsg
primjene	primjena	Ncfsg
ispitivanog	ispitivati	Agpmsgy
proizvoda	proizvod	Ncmsg
.	.	Z

(	(	Z
c	C	Npmsn
)	)	Z
Iskustva	iskustvo	Ncnsg
nakon	nakon	Sg
stavljanja	stavljanje	Ncnsg
ispitivanoga	ispitivati	Appmsgy
proizvoda	proizvod	Ncmsg
u	u	Sa
promet	promet	Ncmsan

U	u	Sl
Uputama	uputa	Ncfpl
potrebno	potreban	Agpnsny
je	biti	Var3s
navesti	navesti	Vmn
zemlje	zemlja	Ncfpa
u	u	Sl
kojima	koji	Pi-fpl
je	biti	Var3s
ispitivani	ispitivati	Agpmsny
proizvod	proizvod	Ncmsn
odobren	odobriti	Appmsnn
ili	ili	Cc
stavljen	staviti	Appmsnn
u	u	Sa
promet	promet	Ncmsan
.	.	Z

Potrebno	potreban	Agpnsny
je	biti	Var3s
dati	dati	Vmn
sažetak	sažetak	Ncmsan
svih	sav	Agpmpgy
važnih	važan	Agpmpgy
podataka	podatak	Ncmpg
proizišlih	proizišli	Ncfpg
iz	iz	Sg
njegove	njegov	Ps3fsg
tržišne	tržišni	Agpfsgy
primjene	primjena	Ncfsg
(	(	Z
npr.	npr.	Y
formulacije	formulacija	Ncfsg
,	,	Z
doze	doza	Ncfsg
,	,	Z
putovi	put	Ncmpn
primjene	primjena	Ncfsg
,	,	Z
nuspojave	nuspojava	Ncfsg
)	)	Z
.	.	Z

U	u	Sl
Uputama	uputa	Ncfpl
je	biti	Var3s
također	također	Rgp
potrebno	potreban	Agpnsny
navesti	navesti	Vmn
zemlje	zemlja	Ncfpa
u	u	Sl
kojima	koji	Pi-fpl
ispitivani	ispitivati	Ncfsl
proizvod	proizvod	Ncmsn
nije	biti	Var3s
dobio	dobiti	Vmp-sm
odobrenje	odobrenje	Ncnsa
za	za	Sa
stavljanje	stavljanje	Ncnsa
u	u	Sa
promet	promet	Ncmsan
ili	ili	Cc
je	biti	Var3s
povučen	povući	Appmsnn
s	sa	Sg
tržišta	tržište	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
poništena	poništiti	Appfsny
mu	on	Pp3msd
je	biti	Var3s
registracija	registracija	Ncfsn
.	.	Z

7.3.7.	7.3.7.	Mdo

Sažetak	sažetak	Ncmsn
rezultata	rezultat	Ncmpg
i	i	Cc
smjernice	smjernica	Ncfsg
za	za	Sa
ispitivača	ispitivač	Ncmsay

Ovaj	ovaj	Pd-msan
odjeljak	odjeljak	Ncmsan
treba	trebati	Vmr3s
sadržavati	sadržavati	Vmn
jednu	jedan	Agpfsay
sveobuhvatnu	sveobuhvatan	Agpfsay
raspravu	rasprava	Ncfsa
pretkliničkih	pretklinički	Agpfpgy
i	i	Cc
