Predsjednik	predsjednik	Ncmsn
Hrvatskoga	hrvatski	Agpmsgy
sabora	sabor	Ncmsg
Josip	Josip	Npmsn
Leko	Leko	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

PRILOG	prilog	Ncmsn
12.	12.	Mdo

Obrazac	obrazac	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
131.	131.	Mdo
a.	a.	Y
f	f	Sg
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

EUROPSKI	europski	Agpmsny
NALOG	nalog	Ncmsn
ZA	za	Sa
ZAŠTITU	zaštita	Ncfsa

S	sa	Si
podacima	podatak	Ncmpi
iz	iz	Sg
ovog	ovaj	Pd-msg
obrasca	obrazac	Ncmsg
postupa	postupati	Vmr3s
se	sebe	Px--sa
s	sa	Si
odgovarajućim	odgovarajući	Agpmsiy
stupnjem	stupanj	Ncmsi
tajnosti	tajnost	Ncfsg

Država	država	Ncfsn
izdavateljica	izdavateljica	Ncfpg
:	:	Z
Država	država	Ncfsn
izvršiteljica	izvršiteljica	Ncfpg
a	a	Cc
)	)	Z
Podaci	podatak	Ncmpn
o	o	Sl
zaštićenoj	zaštititi	Agpfsly
osobi	osoba	Ncfsl
:	:	Z
Prezime	prezime	Ncnsn
:	:	Z
Ime	ime	Ncnsn
(	(	Z
imena	ime	Ncnsg
)	)	Z
:	:	Z
Djevojačko	djevojačko	Rgp
ili	ili	Cc
prijašnje	prijašnji	Agpnsay
ime	ime	Ncnsa
(	(	Z
ako	ako	Cs
postoji	postojati	Vmr3s
)	)	Z
:	:	Z
Spol	spol	Ncmsn
:	:	Z
Državljanstvo	državljanstvo	Ncnsn
:	:	Z
Identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
ili	ili	Cc
broj	broj	Ncmsan
socijalnog	socijalan	Agpnsgy
osiguranja	osiguranje	Ncnsg
(	(	Z
ako	ako	Cs
postoji	postojati	Vmr3s
)	)	Z
:	:	Z
Datum	datum	Ncmsn
rođenja	rođenje	Ncnsg
:	:	Z
Mjesto	mjesto	Ncnsn
rođenja	rođenje	Ncnsg
:	:	Z
Adresa	adresa	Ncfsn
/	/	Z
prebivališta	prebivalište	Ncnsg
:	:	Z
—	—	Z
u	u	Sl
državi	država	Ncfsl
izdavateljici	izdavateljica	Ncfsl
:	:	Z
—	—	Z
u	u	Sl
državi	država	Ncfsl
izvršiteljici	izvršiteljica	Ncfsl
:	:	Z
—	—	Z
drugdje	drugdje	Rgp
:	:	Z
Jezik	jezik	Ncmsn
/	/	Z
jezici	jezik	Ncmpn
koje	koji	Pi-mpa
osoba	osoba	Ncfsn
razumije	razumjeti	Vmr3s
(	(	Z
ako	ako	Cs
je	biti	Var3s
poznato	poznat	Agpnsny
)	)	Z
:	:	Z
Je	biti	Var3s
li	li	Qq
zaštićenoj	zaštititi	Agpfsdy
osobi	osoba	Ncfsd
pružena	pružiti	Appfsny
besplatna	besplatan	Agpfsny
pravna	pravni	Agpfsny
pomoć	pomoć	Ncfsn
u	u	Sl
državi	država	Ncfsl
izdavateljici	izdavateljica	Ncfsl
(	(	Z
ako	ako	Cs
je	biti	Var3s
podatak	podatak	Ncmsn
na	na	Sl
raspolaganju	raspolaganje	Ncnsl
bez	bez	Sg
dodatnog	dodatan	Agpnsgy
ispitivanja	ispitivanje	Ncnsg
)	)	Z
?	?	Z
☐	☐	Z
Da	da	Cs
☐	☐	Pd-nsn
Ne	ne	Qz
☐	☐	Z
Nije	biti	Var3s
poznato	poznat	Agpnsny
.	.	Z

Ako	ako	Cs
je	biti	Var3s
zaštićena	zaštititi	Appfsny
osoba	osoba	Ncfsn
maloljetnik	maloljetnik	Ncmsn
ili	ili	Cc
nema	nemati	Vmr3s
poslovnu	poslovan	Agpfsay
sposobnost	sposobnost	Ncfsa
,	,	Z
podaci	podatak	Ncmpn
o	o	Sl
njezinom	njezin	Agpmsly
skrbniku	skrbnik	Ncmsl
ili	ili	Cc
zastupniku	zastupnik	Ncmsl
:	:	Z
Prezime	prezime	Ncnsn
:	:	Z
Ime	ime	Ncnsn
(	(	Z
imena	ime	Ncnsg
)	)	Z
:	:	Z
Djevojačko	djevojačko	Rgp
ili	ili	Cc
prijašnje	prijašnji	Agpnsay
ime	ime	Ncnsa
(	(	Z
ako	ako	Cs
postoji	postojati	Vmr3s
)	)	Z
:	:	Z
Spol	spol	Ncmsn
:	:	Z
Državljanstvo	državljanstvo	Ncnsn
:	:	Z
Službena	služben	Agpfsny
adresa	adresa	Ncfsn
b	b	Agpfpgy
)	)	Z
Zaštićena	zaštititi	Appfsny
je	biti	Var3s
osoba	osoba	Ncfsn
odlučila	odlučiti	Vmp-sf
prebivati	prebivati	Vmn
u	u	Sl
državi	država	Ncfsl
izvršiteljici	izvršiteljica	Ncfsl
ili	ili	Cc
je	biti	Var3s
odlučila	odlučiti	Vmp-sf
boraviti	boraviti	Vmn
ili	ili	Cc
boravi	boraviti	Vmr3s
u	u	Sl
državi	država	Ncfsl
izvršiteljici	izvršiteljica	Ncfsl
.	.	Z

Datum	datum	Ncmsn
od	od	Sg
kojeg	koji	Pi-msg
zaštićena	zaštititi	Appfsny
osoba	osoba	Ncfsn
prebiva	prebivati	Vmr3s
ili	ili	Cc
boravi	boraviti	Vmr3s
u	u	Sl
državi	država	Ncfsl
izvršiteljici	izvršiteljica	Ncfsl
(	(	Z
ako	ako	Cs
je	biti	Var3s
poznat	poznat	Agpmsnn
)	)	Z
:	:	Z
Razdoblje	razdoblje	Ncnsn
/	/	Z
razdoblja	razdoblje	Ncnsg
boravka	boravak	Ncmsg
(	(	Z
ako	ako	Cs
je	biti	Var3s
poznato	poznat	Agpnsny
)	)	Z
c	C	X
)	)	Z
Jesu	biti	Var3p
li	li	Qq
zaštićenoj	zaštititi	Appfsdy
osobi	osoba	Ncfsd
ili	ili	Cc
osobi	osoba	Ncfsl
koja	koji	Pi-fsn
uzrokuje	uzrokovati	Vmr3s
opasnost	opasnost	Ncfsn
dati	dati	Vmn
tehnički	tehnički	Rgp
uređaju	uređaj	Ncmsl
za	za	Sa
izvršavanje	izvršavanje	Ncnsa
zaštitnih	zaštitni	Agpfpgy
mjera	mjera	Ncfpg
:	:	Z
☐	☐	Z
Da	da	Qr
;	;	Z
molimo	moliti	Vmr1p
navedite	navesti	Vmm2p
kratak	kratak	Agpmsann
pregled	pregled	Ncmsan
korištenih	koristiti	Agpmpgy
uređaja	uređaj	Ncmpg
:	:	Z
☐	☐	Z
Ne	ne	Qz
(	(	Z
d	d	Npmsn
)	)	Z
Nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
koje	koji	Pi-nsn
je	biti	Var3s
izdalo	izdati	Vmp-sn
europski	europski	Agpmsayn
nalog	nalog	Ncmsan
za	za	Sa
zaštitu	zaštita	Ncfsa
:	:	Z
Službeno	služben	Agpnsay
ime	ime	Ncnsa
:	:	Z
Puna	pun	Agpfsny
adresa	adresa	Ncfsn
:	:	Z
Telefon	telefon	Ncmsn
(	(	Z
pozivni	pozivni	Agpmsny
broj	broj	Ncmsn
za	za	Sa
zemlju	zemlja	Ncfsa
)	)	Z
(	(	Z
pozivni	pozivni	Agpmsny
broj	broj	Ncmsn
za	za	Sa
grad	grad	Ncmsan
/	/	Z
regiju	regija	Ncfsa
)	)	Z
(	(	Z
adresa	adresa	Ncfsn
)	)	Z
:	:	Z
Telefaks	telefaks	Ncmsn
(	(	Z
pozivni	pozivni	Agpmsny
broj	broj	Ncmsn
za	za	Sa
zemlju	zemlja	Ncfsa
)	)	Z
(	(	Z
pozivni	pozivni	Agpmsny
broj	broj	Ncmsn
za	za	Sa
grad	grad	Ncmsan
/	/	Z
regiju	regija	Ncfsa
)	)	Z
(	(	Z
adresa	adresa	Ncfsn
)	)	Z
:	:	Z
