udjela	udjel	Ncmsg
UCITS	UCITS	Npmsn
fonda	fond	Ncmsg
,	,	Z
dužno	dužan	Agpnsny
je	biti	Var3s
procijeniti	procijeniti	Vmn
i	i	Qo
njihov	njihov	Ps3msan
rizik	rizik	Ncmsan
likvidnosti	likvidnost	Ncfsg
.	.	Z

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Instrumenti	instrument	Ncmpn
tržišta	tržište	Ncnsg
novca	novac	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
pravilnika	pravilnik	Ncmsg
su	biti	Var3p
oni	onaj	Pd-mpn
instrumenti	instrument	Ncmpn
tržišta	tržište	Ncnsg
novca	novac	Ncmsg
koji	koji	Pi-mpn
zadovoljavaju	zadovoljavati	Vmr3p
sljedeće	sljedeći	Agpmpay
kriterije	kriterij	Ncmpa
:	:	Z

1.	1.	Mdo
ispunjavaju	ispunjavati	Vmr3p
minimalno	minimalno	Rgp
jedan	jedan	Mlcmsn
od	od	Sg
kriterija	kriterij	Ncmpg
navedenih	naveden	Agpmpgy
u	u	Sl
članku	članak	Ncmsl
5.	5.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
pravilnika	pravilnik	Ncmpg
i	i	Cc
sve	sav	Agpmpay
kriterije	kriterij	Ncmpa
navedene	naveden	Agpmpay
u	u	Sl
članku	članak	Ncmsl
6.	6.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
ovoga	ovaj	Pd-msg
pravilnika	pravilnik	Ncmsg
,	,	Z

2.	2.	Mdo
za	za	Sa
njih	oni	Pp3-pa
su	biti	Var3p
dostupne	dostupan	Agpfpny
odgovarajuće	odgovarajući	Agpfpny
informacije	informacija	Ncfpn
koje	koji	Pi-fpn
omogućavaju	omogućavati	Vmr3p
prikladnu	prikladan	Agpfsay
procjenu	procjena	Ncfsa
kreditnog	kreditan	Agpmsgy
rizika	rizik	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
povezan	povezati	Appmsnn
s	sa	Si
ulaganjem	ulaganje	Ncnsi
