Napomena	napomena	Ncfsn
Hrana	hrana	Ncfsn
Određivanje	određivanje	Ncnsn
mikotoksina	mikotoksina	Ncfpg
LC-MS	lc-ma	Ncfsg
/	/	Z
MS	MS	Npmsn
Prema	prema	Sl
popisu	popis	Ncmsl
metoda	metoda	Ncfpg
dostupnom	dostupan	Agpmsly
na	na	Sa
www.stampar.hr	www.stampar.hr	X

5.	5.	Mdo
Hrvatski	hrvatski	Agpmsny
zavod	zavod	Ncmsn
za	za	Sa
javno	javan	Agpnsay
zdravstvo	zdravstvo	Ncnsa
,	,	Z
Služba	služba	Ncfsn
za	za	Sa
zdravstvenu	zdravstven	Agpfsay
ekologiju	ekologija	Ncfsa
,	,	Z
Rockeffelerova	rockeffelerov	Aspfsny
7	7	Mdc
,	,	Z
10000	10000	Mdc
Zagreb	Zagreb	Npmsn

Listeria	Listeria	Npfsn
monocytogenes	monocytogenes	Xf

Materijali	materijal	Ncmpn
/	/	Z
proizvodi	proizvoditi	Vmr3s
Vrsta	vrsta	Ncfsn
ispitivanja	ispitivanje	Ncnsg
/	/	Z
svojstvo	svojstvo	Ncnsn
Metoda	metoda	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Hrana	hrana	Ncfsn
i	i	Cc
hrana	hrana	Ncfsn
za	za	Sa
životinje	životinja	Ncfpa
Horizontalna	horizontalan	Agpfsny
metoda	metoda	Ncfsn
za	za	Sa
dokazivanje	dokazivanje	Ncnsa
prisutnosti	prisutnost	Ncfsg
bakterije	bakterija	Ncfsg
Listeria	Listeria	Npfsn
monocytogenes	monocytogenes	Xf
HRN	HRN	Npmsn
EN	EN	Npmsn
ISO	ISO	Npmsn
11290	11290	Mdc
-	-	Z
1:1999	1:1999	Mdc
(	(	Z
ISO	ISO	Npmsn
11290	11290	Mdc
-	-	Z
1:1996	1:1996	Mdc
;	;	Z
EN	EN	Npmsn
ISO	ISO	Npmsn
11290	11290	Mdc
-	-	Z
1:1996	1:1996	Mdc
)	)	Z
HRN	HRN	Npmsn
EN	EN	Npmsn
ISO	ISO	Npmsn
11290	11290	Mdc
-	-	Z
1:1999	1:1999	Mdc
/	/	Z
A1	A1	Y
:	:	Z
2008	2008	Mdc
(	(	Z
ISO	ISO	Npmsn
11290	11290	Mdc
-	-	Z
1:1996	1:1996	Mdc
/	/	Z
Amd	Amd	Npmsn
1:2004	1:2004	Mdc
;	;	Z
EN	EN	Npmsn
ISO	ISO	Npmsn
11290	11290	Mdc
-	-	Z
1:1996	1:1996	Mdc
/	/	Z
A1	A1	Y
:	:	Z
2004	2004	Mdc
)	)	Z
Metoda	metoda	Ncfsn
za	za	Sa
dokazivanje	dokazivanje	Ncnsa
antigena	antigen	Ncmsg
bakterije	bakterija	Ncfsg
Listeria	Listeria	Npfsn
monocytogenes	monocytogenesti	Vmr3s
VIDAS	vidi	Agpfsiy
metodom	metoda	Ncfsi
Metoda	metoda	Ncfsn
prema	prema	Sl
uputi	uputa	Ncfsl
Vitek	Vitek	Npmsn
Immuno	Immuno	Npmsn
Diagnostic	Diagnostic	Xf
Assay	Assay	Xf
System	system	Xf
(	(	Z
VIDAS	VIDAS	Npmsn
)	)	Z
,	,	Z
bioMerieux	bioMerieux	Xf
;	;	Z
Oznaka	oznaka	Ncfsn
:P	:a	Ncfsg
-	-	Z
MIK-13	mik-1i	Agpnsny
Izdanje	izdanje	Ncnsn
:	:	Z
1/3	1/3	Mdc
Datum	datum	Ncmsn
:	:	Z
10.1.2013.	10.1.2013.	Mdo

Horizontalna	horizontalan	Agpfsny
metoda	metoda	Ncfsn
za	za	Sa
dokazivanje	dokazivanje	Ncnsa
prisutnosti	prisutnost	Ncfsg
i	i	Cc
određivanje	određivanje	Ncnsa
broja	broj	Ncmsg
bakterije	bakterija	Ncfsg
Listeria	Listeria	Npfsn
monocytogenes-Metoda	monocytogenes-Metoda	Npfsn
određivanja	određivanje	Ncnsg
broja	broj	Ncmsg
HRN	HRN	Npmsn
EN	EN	Npmsn
ISO	ISO	Npmsn
11290	11290	Mdc
-	-	Z
2:1999	2:1999	Mdc
(	(	Z
ISO	ISO	Npmsn
11290	11290	Mdc
-	-	Z
2:1998	2:1998	Mdc
;	;	Z
EN	EN	Npmsn
ISO	ISO	Npmsn
11290	11290	Mdc
-	-	Z
2:1998	2:1998	Mdc
)	)	Z
HRN	HRN	Npmsn
EN	EN	Npmsn
ISO	ISO	Npmsn
11290	11290	Mdc
-	-	Z
2:1999	2:1999	Mdc
/	/	Z
A1	A1	Y
:	:	Z
2008	2008	Mdc
(	(	Z
ISO	ISO	Npmsn
11290	11290	Mdc
-	-	Z
2:1998	2:1998	Mdc
/	/	Z
Amd	Amd	Npmsn
1:2004	1:2004	Mdc
;	;	Z
EN	EN	Npmsn
ISO	ISO	Npmsn
11290	11290	Mdc
-	-	Z
2:1998	2:1998	Mdc
/	/	Z
A1	A1	Y
:	:	Z
2004	2004	Mdc
)	)	Z

Koagulaza	Koagulaza	Npfsn
pozitivni	pozitivan	Agpmpny
stafilokoki	stafilokok	Ncmpn
,	,	Z
uključujući	uključivati	Rr
Staphylocoocus	Staphylocoocus	Npmsan
aureus	aureus	Ncmsan

Materijali	materijal	Ncmpn
/	/	Z
proizvodi	proizvoditi	Vmr3s
Vrsta	vrsta	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Metoda	metoda	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Hrana	hrana	Ncfsn
i	i	Cc
hrana	hrana	Ncfsn
za	za	Sa
životinje	životinja	Ncfpa
Horizontalna	horizontalan	Agpfsny
metoda	metoda	Ncfsn
za	za	Sa
dokazivanje	dokazivanje	Ncnsa
prisutnosti	prisutnost	Ncfsg
i	i	Cc
određivanje	određivanje	Ncnsa
broja	broj	Ncmsg
koagulaza	koagulaz	Ncmpg
pozitivnnih	pozitivnan	Agpmpgy
stafilokoka	stafilokok	Ncmpg
(	(	Z
Staphylococcus	Staphylococcus	Npmsn
aureus	aureus	Ncmsn
i	i	Cc
druge	drugi	Mlofsg
vrste	vrsta	Ncfsg
HRN	HRN	Npfsg
EN	EN	Npfsg
ISO	ISO	Npmsn
6888	6888	Mdc
-	-	Z
1:2004	1:2004	Mdc
(	(	Z
ISO	ISO	Npmsn
6888	6888	Mdc
-	-	Z
1:1999	1:1999	Mdc
+	+	Z
Amd	Amd	Npmsn
1:2003	1:2003	Mdc
;	;	Z
EN	EN	Npmsn
ISO	ISO	Npmsn
6888	6888	Mdc
-	-	Z
1:1999	1:1999	Mdc
+	+	Z
A1	A1	X
:	:	Z
2003	2003	Mdc
Metoda	metoda	Ncfsn
za	za	Sa
dokazivanje	dokazivanje	Ncnsa
stafilokoknog	stafilokokni	Agpmsgy
enterotoksina	enterotoksin	Ncmsg
VIDAS	vidi	Agpfsiy
metodom	metoda	Ncfsi
Metoda	metoda	Ncfsn
prema	prema	Sl
uputi	uputa	Ncfsl
Vitek	Vitek	Npmsn
Immuno	Immuno	Npmsn
Diagnostic	Diagnostic	Xf
Assay	Assay	Xf
System	system	Xf
(	(	Z
VIDAS	VIDAS	Npmsn
)	)	Z
,	,	Z
bioMerieux	bioMerieux	Xf
;	;	Z
Oznaka	oznaka	Ncfsn
-	-	Z
MIK-14	mik-1i	Agpnsny
Izdanje	izdanje	Ncnsn
:	:	Z
1/3	1/3	Mdc
Datum	datum	Ncmsn
:	:	Z
10.01.2013.	10.01.2013.	Mds

Rezidue	rezidua	Ncfpn
pesticida	pesticid	Ncmpg

Područje	područje	Ncnsn
ispitivanja	ispitivanje	Ncnsg
Vrsta	vrsta	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Metoda	metoda	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Hrana	hrana	Ncfpg
sa	sa	Si
visokim	visok	Agpmsiy
udjelom	udjel	Ncmsi
vode	voda	Ncfsg
–	–	Z
voće	voće	Ncnsa
i	i	Cc
povrće	povrće	Ncnsn
Multirezidualna	multirezidualan	Agpfsny
metoda	metoda	Ncfsn
za	za	Sa
određivanje	određivanje	Ncnsa
ostataka	ostatak	Ncmpg
pesticida	pesticid	Ncmpg
(	(	Z
fenitrotion	fenitrotion	Xf
,	,	Z
forat	forat	Ncmsn
,	,	Z
HCB	HCB	Npmsn
,	,	Z
malation	malation	Xf
,	,	Z
bromofos-etil	bromofos-etii	Agpnsny
,	,	Z
fenklorfos	fenklorfos	Agpmpgy
,	,	Z
heptaklorepoxid-endo	heptaklorepoxid-end	Agpnsny
,	,	Z
paration	paration	Xf
,	,	Z
bromofos-metil	bromofos-metii	Agpnsny
,	,	Z
fention	fention	Xf
,	,	Z
iprodion	iprodion	Ncmsan
,	,	Z
pirimifos-metil	pirimifos-metii	Agpnsny
,	,	Z
endosulfan-sulfat	endosulfan-sulfat	Ncmsn
,	,	Z
lindan	lindan	Ncmsan
,	,	Z
aldrin	aldrin	Ncmsn
)	)	Z
primjenom	primjena	Ncfsi
vezanog	vezan	Agpmsgy
sustava	sustav	Ncmsg
GC-MS	GC-MS	Npmsn
HRN	HRN	Npmsn
EN	EN	Npmsn
12393	12393	Mdc
-	-	Z
1:2008	1:2008	Mdc
HRN	HRN	Npmsn
EN	EN	Npmsn
12393	12393	Mdc
-	-	Z
2:2008	2:2008	Mdc
HRN	HRN	Npmsn
EN	EN	Npmsn
12393	12393	Mdc
-	-	Z
3:2008	3:2008	Mdc
Žitarice	žitarica	Ncfsg
Multirezidualna	multirezidualan	Agpfsny
metoda	metoda	Ncfsn
za	za	Sa
određivanje	određivanje	Ncnsa
ostataka	ostatak	Ncmpg
pesticida	pesticid	Ncmpg
(	(	Z
azinfos-metil	azinfos-metil	Npmsn
,	,	Z
diklorvos	diklorvo	Mlompg
,	,	Z
diazinon	diazinon	Ncmsn
,	,	Z
klorpirifos-metil	klorpirifos-metil	Agpnsny
,	,	Z
pirimifos-metil	pirimifos-metii	Agpnsny
,	,	Z
klorpirifos	klorpirifos	Agpmpgy
,	,	Z
malation	malation	Xf
,	,	Z
paration	paration	Xf
,	,	Z
malaokson	malaokson	Ncmsn
,	,	Z
fenitration	fenitration	Xf
)	)	Z
primjenom	primjena	Ncfsi
vezanog	vezan	Agpmsgy
sustava	sustav	Ncmsg
GC-MS	GC-MS	Npmsn
HRN	HRN	Npmsn
EN	EN	Npmsn
12393	12393	Mdc
-	-	Z
1:2008	1:2008	Mdc
HRN	HRN	Npmsn
EN	EN	Npmsn
12393	12393	Mdc
-	-	Z
2:2008	2:2008	Mdc
HRN	HRN	Npmsn
EN	EN	Npmsn
12393	12393	Mdc
-	-	Z
3:2008	3:2008	Mdc

Teški	težak	Agpmpny
metali	metal	Ncmpn
u	u	Sl
hrani	hrana	Ncfsl
i	i	Cc
hrani	hrana	Ncfsl
za	za	Sa
životinje	životinja	Ncfpa

Područje	područje	Ncnsn
ispitivanja	ispitivanje	Ncnsg
Vrsta	vrsta	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Metoda	metoda	Ncfsn
