pristanku	pristanak	Ncmsl
roditelja	roditelj	Ncmpg
,	,	Z
staratelja	staratelj	Ncmpg
ili	ili	Cc
skrbnika	skrbnik	Ncmpg
za	za	Sa
sudjelovanje	sudjelovanje	Ncnsa
u	u	Sl
emisijama	emisija	Ncfpl
,	,	Z
maloljetnike	maloljetnik	Ncmpa
se	sebe	Px--sa
ne	ne	Qz
smije	smjeti	Vmr3s
po	po	Sa
bilo	bilo	Qo
kojoj	koji	Pi-fsl
osnovi	osnova	Ncfsl
vrijeđati	vrijeđati	Vmn
ili	ili	Cc
omalovažavati	omalovažavati	Vmn
.	.	Z

a	a	Cc
)	)	Z
Postupanje	postupanje	Ncnsn
pružatelja	pružatelj	Ncmpg
medijske	medijski	Agpfsgy
usluge	usluga	Ncfsg
televizije	televizija	Ncfsg

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
programi	program	Ncmpn
za	za	Sa
koje	koji	Pi-mpa
je	biti	Var3s
vjerojatno	vjerojatan	Agpnsny
da	da	Cs
bi	biti	Vaa3p
mogli	moći	Vmp-pm
narušiti	narušiti	Vmn
fizički	fizički	Agpmsayn
,	,	Z
mentalni	mentalan	Agpmsayn
ili	ili	Cc
moralni	moralan	Agpmsayn
razvoj	razvoj	Ncmsan
maloljetnika	maloljetnik	Ncmpg
ili	ili	Cc
ugroziti	ugroziti	Vmn
njegov	njegov	Ps3msan
integritet	integritet	Ncmsan
,	,	Z
samopoimanje	samopoimanje	Ncnsn
,	,	Z
samopoštovanje	samopoštovanje	Ncnsn
ili	ili	Cc
identitet	identitet	Ncmsan
emitiraju	emitirati	Vmr3p
u	u	Sl
nekodiranom	nekodiran	Agpmsly
obliku	oblik	Ncmsl
,	,	Z
pružatelj	pružatelj	Ncmsn
medijske	medijski	Agpfsgy
usluge	usluga	Ncfsg
obvezan	obvezati	Appmsnn
je	biti	Var3s
osigurati	osigurati	Vmn
da	da	Cs
ih	oni	Pp3-pg
je	biti	Var3s
moguće	moguć	Agpnsny
prepoznati	prepoznat	Agpmsny
pomoću	pomoć	Sg
vizualnih	vizualan	Agpmpgy
simbola	simbol	Ncmpg
za	za	Sa
cijelo	cijel	Agpnsay
vrijeme	vrijeme	Ncnsa
