opravdana	opravdati	Appfsny
vjerojatnost	vjerojatnost	Ncfsn
da	da	Cs
neće	htjeti	Var3s
sudjelovati	sudjelovati	Vmn
u	u	Sl
natjecanju	natjecanje	Ncnsl
,	,	Z
odnosno	odnosno	Rgp
da	da	Cs
glasovi	glas	Ncmpn
ili	ili	Cc
komentari	komentar	Ncmpn
pozivatelja	pozivatelj	Ncmpg
neće	htjeti	Var3s
sudjelovati	sudjelovati	Vmn
u	u	Sl
oblikovanju	oblikovanje	Ncnsl
programa	program	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Pružatelj	pružatelj	Ncmsn
medijske	medijski	Agpfsgy
usluge	usluga	Ncfsg
je	biti	Var3s
kod	kod	Sg
provedbe	provedba	Ncfsg
glasovanja	glasovanje	Ncnsg
,	,	Z
bez	bez	Sg
obzira	obzir	Ncmsg
kako	kako	Cs
se	sebe	Px--sa
ono	onaj	Pd-nsn
provodi	provoditi	Vmr3s
(	(	Z
pozivanjem	pozivanje	Ncnsi
,	,	Z
slanjem	slanje	Ncnsi
poruka	poruka	Ncfpg
ili	ili	Cc
korištenjem	korištenje	Ncnsi
drugih	drugi	Mlofpg
usluga	usluga	Ncfpg
elektroničkih	elektronički	Agpfpgy
komunikacijskih	komunikacijski	Agpfpgy
mreža	mreža	Ncfpg
)	)	Z
,	,	Z
dužan	dužan	Agpmsnn
objaviti	objaviti	Vmn
broj	broj	Ncmsan
glasova	glas	Ncmpg
koji	koji	Pi-msn
je	biti	Var3s
prikupio	prikupiti	Vmp-sm
pojedini	pojedini	Agpmsayn
prijedlog	prijedlog	Ncmsan
ili	ili	Cc
iskazati	iskazati	Vmn
ukupan	ukupan	Agpmsann
broj	broj	Ncmsan
pristiglih	pristigao	Agpmpgy
glasova	glas	Ncmpg
svaki	svaki	Pi-msan
puta	puta	Rgp
kod	kod	Sg
objave	objava	Ncfsg
rezultata	rezultat	Ncmpg
.	.	Z

Članak	članak	Ncmsn
20.	20.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Pružatelji	pružatelj	Ncmpn
medijskih	medijski	Agpfpgy
usluga	usluga	Ncfpg
dužni	dužan	Agpmpny
su	biti	Var3p
prije	prije	Sg
početka	početak	Ncmsg
nagradnih	nagradni	Agpnpgy
natjecanja	natjecanje	Ncnpg
i	i	Cc
sudjelovanja	sudjelovanje	Ncnsg
objaviti	objaviti	Vmn
nedvosmislena	nedvosmislen	Agpnpay
pravila	pravilo	Ncnpa
o	o	Sl
sadržaju	sadržaj	Ncmsl
te	te	Cc
novčanim	novčan	Agpmpiy
dobicima	dobitak	Ncmpi
,	,	Z
robama	roba	Ncfpl
,	,	Z
pravima	prav	Agpfpiy
ili	ili	Cc
uslugama	usluga	Ncfpl
koje	koji	Pi-fpn
se	sebe	Px--sa
mogu	moći	Vmr3p
ostvariti	ostvariti	Vmn
,	,	Z
te	te	Cc
ih	oni	Pp3-pa
provoditi	provoditi	Vmn
pravično	pravično	Rgp
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Pružatelji	pružatelj	Ncmpn
medijskih	medijski	Agpfpgy
usluga	usluga	Ncfpg
dužni	dužan	Agpmpny
su	biti	Var3p
objaviti	objaviti	Vmn
pravila	pravilo	Ncnpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
na	na	Sl
svojim	svoj	Px-fpl
web-stranicama	web-stranica	Ncfpl
,	,	Z
teletekstu	teletekst	Ncmsl
ili	ili	Cc
na	na	Sa
drugi	drugi	Mlomsan
odgovarajući	odgovarajući	Agpmsayn
način	način	Ncmsan
koji	koji	Pi-msn
je	biti	Var3s
dostupan	dostupan	Agpmsnn
širokoj	širok	Agpfsly
javnosti	javnost	Ncfsl
.	.	Z

Članak	članak	Ncmsn
21.	21.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Pružatelji	pružatelj	Ncmpn
medijskih	medijski	Agpfpgy
usluga	usluga	Ncfpg
koji	koji	Pi-msn
natjecanja	natjecanje	Ncnsg
i	i	Cc
sudjelovanja	sudjelovanje	Ncnsg
provode	provoditi	Vmr3p
putem	put	Sg
elektroničkih	elektronički	Agpfpgy
komunikacijskih	komunikacijski	Agpfpgy
usluga	usluga	Ncfpg
s	sa	Si
posebnim	poseban	Agpfpiy
tarifama	tarifa	Ncfpi
dužni	dužan	Agpmpny
su	biti	Var3p
prije	prije	Sg
početka	početak	Ncmsg
nagradnih	nagradni	Agpnpgy
natjecanja	natjecanje	Ncnpg
i	i	Cc
sudjelovanja	sudjelovanje	Ncnsg
dostaviti	dostaviti	Vmn
Vijeću	vijeće	Ncnsl
za	za	Sa
elektroničke	elektronički	Agpmpay
medije	medij	Ncmpa
zahtjev	zahtjev	Ncmsan
za	za	Sa
suglasnost	suglasnost	Ncfsa
i	i	Cc
pravila	pravilo	Ncnpa
