zakonom	zakon	Ncmsi
u	u	Sa
imovinu	imovina	Ncfsa
koja	koji	Pi-fsn
će	htjeti	Var3s
do	do	Sg
dospijeća	dospijeće	Ncnsg
obveznica	obveznica	Ncfpg
omogućiti	omogućiti	Vmn
ispunjenje	ispunjenje	Ncnsa
obveza	obveza	Ncfpg
koje	koji	Pi-fpn
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
obveznica	obveznica	Ncfpg
i	i	Cc
koja	koji	Pi-fsn
bi	biti	Vaa3s
se	sebe	Px--sa
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
neispunjenja	neispunjenje	Ncnsg
obveza	obveza	Ncfpg
izdavatelja	izdavatelj	Ncmpg
,	,	Z
ponajprije	ponajprije	Rgp
iskoristila	iskoristiti	Vmp-sf
za	za	Sa
isplatu	isplata	Ncfsa
glavnice	glavnica	Ncfsg
i	i	Cc
stečenih	steći	Agpfpgy
kamata	kamata	Ncfpg
iz	iz	Sg
tih	taj	Pd-fpg
obveznica	obveznica	Ncfpg
.	.	Z

Ako	ako	Cs
je	biti	Var3s
više	mnogo	Rgc
od	od	Sg
5	5	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
AIF-a	AIF	Npmsg
uloženo	uložiti	Appnsny
u	u	Sa
takve	takav	Agpfpay
obveznice	obveznica	Ncfpa
jednog	jedan	Mlcmsg
izdavatelja	izdavatelj	Ncmsg
,	,	Z
ukupna	ukupan	Agpfsny
vrijednost	vrijednost	Ncfsn
takvih	takav	Pd-npg
ulaganja	ulaganje	Ncnpg
koja	koji	Pi-npn
čine	činiti	Vmr3p
više	mnogo	Rgc
od	od	Sg
5	5	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
AIF-a	AIF	Npmsg
ne	ne	Qz
smije	smjeti	Vmr3s
prijeći	prijeći	Vmn
80	80	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
AIF-a	AIF	Npmsg
,	,	Z

7.	7.	Mdo
ograničenja	ograničenje	Ncnsg
ulaganja	ulaganje	Ncnsg
iz	iz	Sg
točaka	točka	Ncfpg
1.	1.	Mdo
–	–	Z
6.	6.	Mdo
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
neće	htjeti	Var3s
se	sebe	Px--sa
kombinirati	kombinirati	Vmn
i	i	Cc
prema	prema	Sl
tome	taj	Pd-nsl
ulaganja	ulaganje	Ncnsg
u	u	Sa
:	:	Z

a	a	Cc
)	)	Z
prenosive	prenosiv	Agpmpay
vrijednosne	vrijednosan	Agpmpay
papire	papir	Ncmpa
ili	ili	Cc
instrumente	instrument	Ncmpa
tržišta	tržište	Ncnsg
novca	novac	Ncmsg
čiji	čiji	Pi-msn
je	biti	Var3s
izdavatelj	izdavatelj	Ncmsn
jedna	jedan	Mlcfsn
te	te	Cc
ista	isti	Agpfsny
osoba	osoba	Ncfsn
,	,	Z

b	b	Agpmpay
)	)	Z
depozite	depozit	Ncmpa
kod	kod	Sg
te	taj	Pd-fsg
osobe	osoba	Ncfsg
i	i	Cc

c	C	Npmsn
)	)	Z
financijske	financijski	Agpfpay
izvedenice	izvedenica	Ncfpa
koje	koji	Pi-fpa
je	biti	Var3s
ta	taj	Pd-fsn
osoba	osoba	Ncfsn
izdala	izdati	Vmp-sf
i	i	Qo
OTC	otc	Ncmsan
izvedenice	izvedenica	Ncfsg
sklopljene	sklopiti	Appfpny
s	sa	Si
tom	taj	Pd-fsi
osobom	osoba	Ncfsi
,	,	Z
izvršena	izvršiti	Appfsny
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
točkama	točka	Ncfpi
1.	1.	Mdo
–	–	Z
6.	6.	Mdo
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
,	,	Z

ne	ne	Qz
smiju	smjeti	Vmr3p
prijeći	prijeći	Vmn
ukupno	ukupno	Rgp
35	35	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
AIF-a	AIF	Npmsg
,	,	Z

8.	8.	Mdo
najviše	mnogo	Rgs
20	20	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
AIF-a	AIF	Npmsg
može	moći	Vmr3s
biti	biti	Van
uloženo	uložiti	Appnsny
u	u	Sa
prenosive	prenosiv	Agpmpay
vrijednosne	vrijednosan	Agpmpay
papire	papir	Ncmpa
i	i	Cc
/	/	Z
ili	ili	Cc
instrumente	instrument	Ncmpa
tržišta	tržište	Ncnsg
novca	novac	Ncmsg
čiji	čiji	Pi-mpn
su	biti	Var3p
izdavatelji	izdavatelj	Ncmpn
osobe	osoba	Ncfpn
koje	koji	Pi-fpn
čine	činiti	Vmr3p
povezana	povezan	Agpnpny
društva	društvo	Ncnpn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
zakona	zakon	Ncmsg
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
osnivanje	osnivanje	Ncnsa
i	i	Cc
poslovanje	poslovanje	Ncnsa
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
propisima	propis	Ncmpi
koji	koji	Pi-mpn
uređuju	uređivati	Vmr3p
računovodstvo	računovodstvo	Ncnsa
poduzetnika	poduzetnik	Ncmpg
i	i	Cc
primjenu	primjena	Ncfsa
standarda	standard	Ncmsg
financijskog	financijski	Agpnsgy
izvještavanja	izvještavanje	Ncnsg
,	,	Z
te	te	Cc
osobe	osoba	Ncfpn
koje	koji	Pi-fpn
su	biti	Var3p
u	u	Sl
odnosu	odnos	Ncmsl
uske	uzak	Agpfsgy
povezanosti	povezanost	Ncfsg
.	.	Z

Navedene	naveden	Agpfpny
osobe	osoba	Ncfpn
smatraju	smatrati	Vmr3p
se	sebe	Px--sa
jednom	jedan	Mlcfsi
osobom	osoba	Ncfsi
u	u	Sl
smislu	smisao	Ncmsl
izračuna	izračun	Ncmsg
ograničenja	ograničenje	Ncnsg
iz	iz	Sg
točaka	točka	Ncfpg
4.	4.	Mdo
i	i	Cc
7.	7.	Mdo
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
.	.	Z

9.	9.	Mdo
najviše	mnogo	Rgs
20	20	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
AIF-a	AIF	Npmsg
može	moći	Vmr3s
biti	biti	Van
uloženo	uložiti	Appnsny
u	u	Sa
prenosive	prenosiv	Agpmpay
vrijednosne	vrijednosan	Agpmpay
papire	papir	Ncmpa
i	i	Cc
instrumente	instrument	Ncmpa
tržišta	tržište	Ncnsg
novca	novac	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
10.	10.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
9.	9.	Mdo
i	i	Cc
udjele	udjel	Ncmpa
u	u	Sl
subjektima	subjekt	Ncmpl
za	za	Sa
zajednička	zajednički	Agpnpay
ulaganja	ulaganje	Ncnpa
iz	iz	Sg
članka	članak	Ncmsg
10.	10.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
4.	4.	Mdo
podtočke	podtočka	Ncfsg
d	d	X
)	)	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z

10.	10.	Mdo
najviše	mnogo	Rgs
10	10	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
AIF-a	AIF	Npmsg
može	moći	Vmr3s
se	sebe	Px--sa
uložiti	uložiti	Vmn
u	u	Sa
robe	roba	Ncfpa
iz	iz	Sg
članka	članak	Ncmsg
10.	10.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
8.	8.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z

11.	11.	Mdo
najviše	mnogo	Rgs
20	20	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
AIF-a	AIF	Npmsg
može	moći	Vmr3s
se	sebe	Px--sa
uložiti	uložiti	Vmn
u	u	Sa
nekretnine	nekretnina	Ncfpa
iz	iz	Sg
članka	članak	Ncmsg
10.	10.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
10.	10.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z

12.	12.	Mdo
najviše	mnogo	Rgs
10	10	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
AIF-a	AIF	Npmsg
može	moći	Vmr3s
se	sebe	Px--sa
uložiti	uložiti	Vmn
u	u	Sa
jednu	jedan	Mlcfsa
nekretninu	nekretnina	Ncfsa
(	(	Z
zemljište	zemljište	Ncnsn
ili	ili	Cc
građevinu	građevina	Ncfsa
)	)	Z
u	u	Sl
trenutku	trenutak	Ncmsl
stjecanja	stjecanje	Ncnsg
nekretnine	nekretnina	Ncfsg
,	,	Z
a	a	Cc
ukupna	ukupan	Agpfsny
izloženost	izloženost	Ncfsn
prema	prema	Sl
toj	taj	Pd-fsl
nekretnini	nekretnina	Ncfsl
može	moći	Vmr3s
se	sebe	Px--sa
povećati	povećati	Vmn
na	na	Sa
maksimalno	maksimalno	Rgp
20	20	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
AIF-a	AIF	Npmsg
ako	ako	Cs
je	biti	Var3s
to	taj	Pd-nsn
povećanje	povećanje	Ncnsn
posljedica	posljedica	Ncfsn
rasta	rast	Ncmsg
vrijednosti	vrijednost	Ncfsg
ulaganja	ulaganje	Ncnsg
.	.	Z

Nekretnine	nekretnina	Ncfpn
koje	koji	Pi-fpn
su	biti	Var3p
susjedne	susjedni	Agpfpny
ili	ili	Cc
se	sebe	Px--sa
nalaze	nalaziti	Vmr3p
u	u	Sl
neposrednoj	neposredan	Agpfsly
blizini	blizina	Ncfsl
nekretnina	nekretnina	Ncfpg
iz	iz	Sg
imovine	imovina	Ncfsg
AIF-a	AIF	Npmsg
smatraju	smatrati	Vmr3p
se	sebe	Px--sa
jednom	jedan	Mlcfsi
nekretninom	nekretnina	Ncfsi
.	.	Z

13.	13.	Mdo
ukupna	ukupan	Agpfsny
vrijednost	vrijednost	Ncfsn
pozajmljenih	pozajmiti	Agpnpgy
sredstava	sredstvo	Ncnpg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ulaganja	ulaganje	Ncnsg
u	u	Sa
financijske	financijski	Agpmpay
instrumente	instrument	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
10.	10.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
9.	9.	Mdo
i	i	Cc
udjele	udjel	Ncmpa
u	u	Sl
subjektima	subjekt	Ncmpl
za	za	Sa
zajednička	zajednički	Agpnpay
ulaganja	ulaganje	Ncnpa
iz	iz	Sg
članka	članak	Ncmsg
10.	10.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
4.	4.	Mdo
podtočke	podtočka	Ncfsg
d	d	X
)	)	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ne	ne	Qz
smije	smjeti	Vmr3s
prelaziti	prelaziti	Vmn
20	20	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
AIF-a	AIF	Npmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
UAIF	UAIF	Npmsn
može	moći	Vmr3s
u	u	Sa
svoje	svoj	Px-nsa
ime	ime	Ncnsa
i	i	Cc
za	za	Sa
račun	račun	Ncmsan
AIF-a	AIF	Npmsg
s	sa	Si
javnom	javan	Agpfsiy
ponudom	ponuda	Ncfsi
pozajmljivati	pozajmljivati	Vmn
sredstva	sredstvo	Ncnpa
s	sa	Si
ciljem	cilj	Ncmsi
korištenja	korištenje	Ncnsg
tih	taj	Pd-mpg
sredstava	sredstvo	Ncmpg
za	za	Sa
otkup	otkup	Ncmsan
udjela	udjel	Ncmsg
AIF-a	AIF	Npmsg
,	,	Z
i	i	Qo
to	to	Qo
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
novčana	novčan	Agpnpay
sredstva	sredstvo	Ncnpa
raspoloživa	raspoloživ	Agpfsny
u	u	Sl
imovini	imovina	Ncfsl
AIF-a	AIF	Npmsg
nisu	biti	Var3p
dostatna	dostatan	Agpfpny
za	za	Sa
tu	taj	Pd-fsa
