predsjednika	predsjednik	Ncmsay
ili	ili	Cc
članove	član	Ncmpa
uprave	uprava	Ncfsg
:	:	Z

1.	1.	Mdo
ako	ako	Cs
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
ne	ne	Qz
postupa	postupati	Vmr3s
djelomično	djelomično	Rgp
ili	ili	Cc
u	u	Sl
cijelosti	cijelost	Ncfsl
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
rješenjem	rješenje	Ncnsi
o	o	Sl
otklanjanju	otklanjanje	Ncnsl
nezakonitosti	nezakonitost	Ncfsg
i	i	Cc
nepravilnosti	nepravilnost	Ncfsg
,	,	Z
odnosno	odnosno	Rgp

2.	2.	Mdo
ako	ako	Cs
uprava	uprava	Ncfsn
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
ne	ne	Qz
provede	provesti	Vmr3s
dodatne	dodatan	Agpfpay
mjere	mjera	Ncfpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
koje	koji	Pi-mpa
je	biti	Var3s
odredila	odrediti	Vmp-sf
,	,	Z
odnosno	odnosno	Rgp

3.	3.	Mdo
ako	ako	Cs
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
učestalo	učestao	Agpnsay
krši	kršiti	Vmr3s
obvezu	obveza	Ncfsa
pravodobnog	pravodoban	Agpmsgy
i	i	Cc
točnog	točan	Agpnsgy
izvještavanja	izvještavanje	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
obavještavanja	obavještavanje	Ncnsg
Agencije	agencija	Ncfsg
ili	ili	Cc
ometa	ometati	Vmr3s
Agenciju	agencija	Ncfsa
u	u	Sl
obavljanju	obavljanje	Ncnsl
nadzora	nadzor	Ncmsg
.	.	Z

Kapitalni	kapitalan	Agpmsny
dodatak	dodatak	Ncmsn

Članak	članak	Ncmsn
239.	239.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Agencija	agencija	Ncfsn
može	moći	Vmr3s
,	,	Z
u	u	Sl
iznimnim	izniman	Agpfply
okolnostima	okolnost	Ncfpl
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Uredbom	uredba	Ncfsi
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
2015/35	2015/35	Mdc
,	,	Z
rješenjem	rješenje	Ncnsi
naložiti	naložiti	Vmn
društvu	društvo	Ncnsd
za	za	Sa
osiguranje	osiguranje	Ncnsa
uvođenje	uvođenje	Ncnsa
kapitalnog	kapitalan	Agpmsgy
dodataka	dodatak	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Potrebni	potreban	Agpmsny
solventni	solventan	Agpmsny
kapital	kapital	Ncmsn
zajedno	zajedno	Rgp
s	sa	Si
uvedenim	uveden	Agpmsiy
kapitalnim	kapitalan	Agpmsiy
dodatkom	dodatak	Ncmsi
zamjenjuje	zamjenjivati	Vmr3s
neodgovarajući	neodgovarajući	Agpmsny
potrebni	potreban	Agpmsny
solventni	solventan	Agpmsny
kapital	kapital	Ncmsn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Okolnosti	okolnost	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
nastupaju	nastupati	Vmr3p
isključivo	isključivo	Rgp
ako	ako	Cs
:	:	Z

1.	1.	Mdo
profil	profil	Ncmsan
rizičnosti	rizičnost	Ncfsg
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
značajno	značajno	Rgp
odstupa	odstupati	Vmr3s
od	od	Sg
pretpostavki	pretpostavka	Ncfpg
na	na	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
temelji	temeljiti	Vmr3s
izračun	izračun	Ncmsn
potrebnog	potreban	Agpmsgy
solventnog	solventan	Agpmsgy
kapitala	kapital	Ncmsg
standardnom	standardan	Agpfsiy
formulom	formula	Ncfsi
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
i	i	Cc
:	:	Z

–	–	Z
zahtjev	zahtjev	Ncmsan
za	za	Sa
uporabu	uporaba	Ncfsa
unutarnjeg	unutarnji	Agpmsgy
