specifični	specifičan	Agpmsny
rizik	rizik	Ncmsn
koji	koji	Pi-msn
postoji	postojati	Vmr3s
na	na	Sl
razini	razina	Ncfsl
grupe	grupa	Ncfsg
ne	ne	Qz
bi	biti	Vaa3s
bio	biti	Vap-sm
na	na	Sa
zadovoljavajući	zadovoljavajući	Agpmsayn
način	način	Ncmsan
obuhvaćen	obuhvatiti	Appmsnn
standardnom	standardan	Agpfsiy
formulom	formula	Ncfsi
ili	ili	Cc
unutarnjim	unutarnji	Agpmsiy
modelom	model	Ncmsi
koji	koji	Pi-msn
se	sebe	Px--sa
koristi	koristiti	Vmr3s
jer	jer	Cs
ga	on	Pp3msa
je	biti	Var3s
teško	teško	Rgp
kvantificirati	kvantificirati	Vmn

2.	2.	Mdo
su	biti	Var3p
kapitalni	kapitalan	Agpmsny
dodatak	dodatak	Ncmsn
na	na	Sa
potrebni	potreban	Agpmsayn
solventni	solventan	Agpmsayn
kapital	kapital	Ncmsan
povezanog	povezan	Agpnsgy
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
uvela	uvel	Ncmpg
nadležna	nadležan	Agpnpay
nadzorna	nadzorni	Agpnpay
tijela	tijelo	Ncnpa
na	na	Sa
istovjetan	istovjetan	Agpmsann
način	način	Ncmsan
kako	kako	Cs
je	biti	Var3s
propisano	propisati	Appnsny
člankom	članak	Ncmsi
239.	239.	Mdo
te	te	Cc
člankom	članak	Ncmsi
316.	316.	Mdo
stavkom	stavak	Ncmsi
8.	8.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Članak	članak	Ncmsn
239.	239.	Mdo
stavci	stavak	Ncmpn
1.	1.	Mdo
–	–	Z
9.	9.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
zajedno	zajedno	Rgp
s	sa	Si
Uredbom	uredba	Ncfsi
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
2015/35	2015/35	Mdc
i	i	Cc
drugim	drugi	Mlompi
propisima	propis	Ncmpi
Europske	europski	Agpfsgy
komisije	komisija	Ncfsg
kojima	koji	Pi-fpi
se	sebe	Px--sa
uređuju	uređivati	Vmr3p
postupci	postupak	Ncmpn
donošenja	donošenje	Ncnsg
odluka	odluka	Ncfpg
o	o	Sl
utvrđivanju	utvrđivanje	Ncnsl
,	,	Z
izračunavanju	izračunavanje	Ncnsl
i	i	Cc
uklanjanju	uklanjanje	Ncnsl
kapitalnih	kapitalan	Agpmpgy
dodataka	dodatak	Ncmpg
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
način	način	Ncmsan
kada	kada	Cs
Agencija	agencija	Ncfsn
kao	kao	Cs
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
grupe	grupa	Ncfsg
može	moći	Vmr3s
odrediti	odrediti	Vmn
kapitalni	kapitalan	Agpmsayn
dodatak	dodatak	Ncmsan
na	na	Sl
konsolidirani	konsolidirati	Ncfsl
potrebni	potreban	Agpmsny
solventni	solventan	Agpmsny
kapital	kapital	Ncmsn
grupe	grupa	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
stavkom	stavak	Ncmsi
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Alternativna	alternativan	Agpfsny
metoda	metoda	Ncfsn
:	:	Z
Metoda	metoda	Ncfsn
odbitaka	odbitak	Ncmpg
i	i	Cc
agregiranja	agregiranji	Agpfsny

Članak	članak	Ncmsn
318.	318.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Solventnost	solventnost	Ncfsn
grupe	grupa	Ncfsg
sudjelujućeg	sudjelujući	Agpnsgy
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
predstavlja	predstavljati	Vmr3s
razliku	razlika	Ncfsa
između	između	Sg
sljedećeg	sljedeći	Agpnsgy
:	:	Z

1.	1.	Mdo
agregiranih	agregirati	Agpfpgy
prihvatljivih	prihvatljiv	Agpfpgy
vlastitih	vlastit	Agpnpgy
sredstava	sredstvo	Ncnpg
grupe	grupa	Ncfsg
,	,	Z
kako	kako	Cs
je	biti	Var3s
propisano	propisati	Appnsny
u	u	Sl
stavku	stavak	Ncmsl
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg

2.	2.	Mdo
vrijednosti	vrijednost	Ncfsg
u	u	Sl
sudjelujućem	sudjelujući	Agpnsly
društvu	društvo	Ncnsl
za	za	Sa
osiguranje	osiguranje	Ncnsa
povezanih	povezan	Agpnpgy
društava	društvo	Ncnpg
za	za	Sa
osiguranje	osiguranje	Ncnsa
i	i	Cc
agregiranog	agregirati	Appnsgy
potrebnog	potreban	Agpmsgy
solventnog	solventan	Agpmsgy
kapitala	kapital	Ncmsg
grupe	grupa	Ncfsg
,	,	Z
kako	kako	Cs
je	biti	Var3s
propisano	propisati	Appnsny
u	u	Sl
stavku	stavak	Ncmsl
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Agregirana	agregirati	Appfsny
prihvatljiva	prihvatljiv	Agpnpay
vlastita	vlastit	Agpnpay
sredstva	sredstvo	Ncnpa
grupe	grupa	Ncfsg
su	biti	Var3p
zbroj	zbroj	Ncmsn
sljedećega	sljedeći	Ncmsg
:	:	Z

1.	1.	Mdo
vlastitih	vlastit	Agpnpgy
sredstava	sredstvo	Ncnpg
prihvatljivih	prihvatljiv	Agpmpgy
za	za	Sa
pokriće	pokriće	Ncnsa
potrebnog	potreban	Agpmsgy
solventnog	solventan	Agpmsgy
kapitala	kapital	Ncmsg
sudjelujućeg	sudjelujući	Agpnsgy
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa

2.	2.	Mdo
proporcionalnog	proporcionalan	Agpmsgy
udjela	udjel	Ncmsg
sudjelujućeg	sudjelujući	Agpnsgy
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
u	u	Sl
vlastitim	vlastit	Agpnply
sredstvima	sredstvo	Ncnpl
prihvatljivim	prihvatljiv	Agpmsiy
za	za	Sa
pokriće	pokriće	Ncnsa
potrebnog	potreban	Agpmsgy
solventnog	solventan	Agpmsgy
kapitala	kapital	Ncmsg
povezanog	povezan	Agpnsgy
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Agregirani	agregirati	Agpmsny
potrebni	potreban	Agpmsny
solventni	solventan	Agpmsny
kapital	kapital	Ncmsn
grupe	grupa	Ncfsg
je	biti	Var3s
zbroj	zbroj	Ncmsn
:	:	Z

1.	1.	Mdo
potrebnog	potreban	Agpmsgy
solventnog	solventan	Agpmsgy
kapitala	kapital	Ncmsg
sudjelujućeg	sudjelujući	Agpnsgy
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa

2.	2.	Mdo
proporcionalnog	proporcionalan	Agpmsgy
udjela	udjel	Ncmsg
potrebnog	potreban	Agpmsgy
solventnog	solventan	Agpmsgy
kapitala	kapital	Ncmsg
povezanog	povezan	Agpnsgy
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Kad	kad	Cs
se	sebe	Px--sa
sudjelovanje	sudjelovanje	Ncnsn
u	u	Sl
povezanim	povezan	Agpnply
društvima	društvo	Ncnpl
za	za	Sa
osiguranje	osiguranje	Ncnsa
sastoji	sastojati	Vmr3s
,	,	Z
potpuno	potpuno	Rgp
ili	ili	Cc
djelomično	djelomično	Rgp
,	,	Z
od	od	Sg
neizravnog	neizravan	Agpnsgy
držanja	držanje	Ncnsg
,	,	Z
vrijednost	vrijednost	Ncfsn
u	u	Sl
sudjelujućem	sudjelujući	Agpnsly
društvu	društvo	Ncnsl
za	za	Sa
osiguranje	osiguranje	Ncnsa
povezanih	povezan	Agpnpgy
društava	društvo	Ncnpg
za	za	Sa
osiguranje	osiguranje	Ncnsa
obuhvaća	obuhvaćati	Vmr3s
vrijednost	vrijednost	Ncfsa
takvog	takav	Pd-nsg
neizravnog	neizravan	Agpnsgy
držanja	držanje	Ncnsg
,	,	Z
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
relevantne	relevantan	Agpmpay
sukcesivne	sukcesivan	Agpmpay
udjele	udjel	Ncmpa
,	,	Z
a	a	Cc
stavke	stavka	Ncfpa
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
2.	2.	Mdo
i	i	Cc
stavka	stavak	Ncmsg
3.	3.	Mdo
točke	točka	Ncfsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
uključuju	uključivati	Vmr3p
odgovarajuće	odgovarajući	Agpmpay
proporcionalne	proporcionalan	Agpmpay
udjele	udjel	Ncmpa
vlastitih	vlastit	Agpnpgy
sredstava	sredstvo	Ncnpg
prihvatljivih	prihvatljiv	Agpmpgy
za	za	Sa
pokriće	pokriće	Ncnsa
potrebnog	potreban	Agpmsgy
solventnog	solventan	Agpmsgy
kapitala	kapital	Ncmsg
povezanih	povezan	Agpnpgy
društva	društvo	Ncnpg
za	za	Sa
osiguranje	osiguranje	Ncnsa
i	i	Cc
potrebnog	potreban	Agpmsgy
solventnog	solventan	Agpmsgy
kapitala	kapital	Ncmsg
povezanih	povezan	Agpnpgy
društava	društvo	Ncnpg
za	za	Sa
osiguranje	osiguranje	Ncnsa
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
izdavanje	izdavanje	Ncnsa
suglasnosti	suglasnost	Ncfsg
da	da	Cs
se	sebe	Px--sa
potrebni	potreban	Agpmsny
solventni	solventan	Agpmsny
kapital	kapital	Ncmsn
društava	društvo	Ncnpg
za	za	Sa
osiguranje	osiguranje	Ncnsa
i	i	Cc
društava	društvo	Ncnpg
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
u	u	Sl
grupi	grupa	Ncfsl
izračunava	izračunavati	Vmr3s
uporabom	uporaba	Ncfsi
unutarnjeg	unutarnji	Agpmsgy
modela	model	Ncmsg
koji	koji	Pi-msn
dostavi	dostaviti	Vmr3s
društvo	društvo	Ncnsa
za	za	Sa
osiguranje	osiguranje	Ncnsa
i	i	Cc
njegova	njegov	Ncmpg
povezana	povezan	Agpnpny
društva	društvo	Ncnpn
ili	ili	Cc
zajednički	zajednički	Rgp
povezana	povezan	Agpnpny
društva	društvo	Ncnpn
osigurateljnog	osigurateljni	Agpmsgy
holdinga	holding	Ncmsg
ili	ili	Cc
mješovitog	mješovit	Agpmsgy
financijskog	financijski	Agpmsgy
holdinga	holding	Ncmsg
,	,	Z
članak	članak	Ncmsn
316.	316.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
način	način	Ncmsan
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Agregirani	agregirati	Agpmsny
potrebni	potreban	Agpmsny
solventni	solventan	Agpmsny
kapital	kapital	Ncmsn
grupe	grupa	Ncfsg
,	,	Z
izračunat	izračunati	Vmn
kako	kako	Cs
je	biti	Var3s
navedeno	navesti	Appnsny
u	u	Sl
stavku	stavak	Ncmsl
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
mora	morati	Vmr3s
primjereno	primjereno	Rgp
odražavati	odražavati	Vmn
profil	profil	Ncmsan
rizičnosti	rizičnost	Ncfsg
grupe	grupa	Ncfsg
.	.	Z

Posebnu	poseban	Agpfsay
pozornost	pozornost	Ncfsa
potrebno	potreban	Agpnsny
je	biti	Var3s
obratiti	obratiti	Vmn
na	na	Sa
bilo	bilo	Qo
koje	koji	Pi-mpa
specifične	specifičan	Agpmpay
rizike	rizik	Ncmpa
koji	koji	Pi-mpn
postoje	postojati	Vmr3p
na	na	Sl
razini	razina	Ncfsl
grupe	grupa	Ncfsg
i	i	Cc
koji	koji	Pi-msn
ne	ne	Qz
bi	biti	Vaa3p
bili	biti	Vap-pm
na	na	Sa
zadovoljavajući	zadovoljavajući	Agpmsayn
način	način	Ncmsan
obuhvaćeni	obuhvatiti	Appmpny
jer	jer	Cs
ih	oni	Pp3-pg
je	biti	Var3s
teško	teško	Rgp
kvantificirati	kvantificirati	Vmn
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Kad	kad	Cs
profil	profil	Ncmsn
rizičnosti	rizičnost	Ncfsg
grupe	grupa	Ncfsg
značajno	značajno	Rgp
odstupa	odstupati	Vmr3s
od	od	Sg
pretpostavki	pretpostavka	Ncfpg
na	na	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
temelji	temeljiti	Vmr3s
agregirani	agregirati	Agpmsny
potrebni	potreban	Agpmsny
solventni	solventan	Agpmsny
kapital	kapital	Ncmsn
grupe	grupa	Ncfsg
,	,	Z
Agencija	agencija	Ncfsn
kao	kao	Cs
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
grupe	grupa	Ncfsg
