temeljnog	temeljan	Agpmsgy
kapitala	kapital	Ncmsg
mogu	moći	Vmr3p
se	sebe	Px--sa
vraćati	vraćati	Vmn
samo	samo	Rgp
iz	iz	Sg
dobiti	dobit	Ncfsg
društva	društvo	Ncnsg
u	u	Sl
pojedinoj	pojedini	Agpfsly
poslovnoj	poslovan	Agpfsly
godini	godina	Ncfsl
.	.	Z

Povrat	povrat	Ncmsn
u	u	Sl
pojedinoj	pojedini	Agpfsly
godini	godina	Ncfsl
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
viši	visok	Agcmsayn
od	od	Sg
iznosa	iznos	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
u	u	Sl
toj	taj	Pd-fsl
godini	godina	Ncfsl
bio	biti	Vap-sm
namijenjen	namijeniti	Appmsnn
za	za	Sa
oblikovanje	oblikovanje	Ncnsa
pričuva	pričuva	Ncfpg
sigurnosti	sigurnost	Ncfsg
.	.	Z

Sredstva	sredstvo	Ncnpn
na	na	Sl
računima	račun	Ncmpl
članova	član	Ncmpg
društva	društvo	Ncnsg
za	za	Sa
uzajamno	uzajaman	Agpnsay
osiguranje	osiguranje	Ncnsa

Članak	članak	Ncmsn
361.	361.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Statutom	statut	Ncmsi
društva	društvo	Ncnsg
za	za	Sa
uzajamno	uzajaman	Agpnsay
osiguranje	osiguranje	Ncnsa
može	moći	Vmr3s
biti	biti	Van
određeno	određen	Agpnsny
da	da	Cs
temeljni	temeljan	Agpmsny
kapital	kapital	Ncmsn
društva	društvo	Ncnsg
za	za	Sa
uzajamno	uzajaman	Agpnsay
osiguranje	osiguranje	Ncnsa
čine	činiti	Vmr3p
i	i	Cc
sredstva	sredstvo	Ncnpa
na	na	Sl
računima	račun	Ncmpl
članova	član	Ncmpg
društva	društvo	Ncnsg
za	za	Sa
uzajamno	uzajaman	Agpnsay
osiguranje	osiguranje	Ncnsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sredstva	sredstvo	Ncnpa
na	na	Sl
računima	račun	Ncmpl
članova	član	Ncmpg
društva	društvo	Ncnsg
za	za	Sa
uzajamno	uzajaman	Agpnsay
osiguranje	osiguranje	Ncnsa
mogu	moći	Vmr3p
činiti	činiti	Vmn
temeljni	temeljan	Agpmsayn
kapital	kapital	Ncmsan
društva	društvo	Ncnsg
za	za	Sa
uzajamno	uzajaman	Agpnsay
osiguranje	osiguranje	Ncnsa
ako	ako	Cs
je	biti	Var3s
statutom	statut	Rgp
određeno	odrediti	Appnsny
da	da	Cs
:	:	Z

–	i	Agpfpny
su	biti	Var3p
isplate	isplata	Ncfpa
s	sa	Sg
računa	račun	Ncmsg
članova	član	Ncmpg
moguće	moguć	Agpnsny
ako	ako	Cs
to	taj	Pd-nsn
ne	ne	Qz
ugrožava	ugrožavati	Vmr3s
adekvatnost	adekvatnost	Ncfsn
kapitala	kapital	Ncmsg
društva	društvo	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
ako	ako	Cs
su	biti	Var3p
nakon	nakon	Sg
završetka	završetak	Ncmsg
postupka	postupak	Ncmsg
likvidacije	likvidacija	Ncfsg
podmirene	podmiriti	Appfpny
sve	sav	Agpfpny
obveze	obveza	Ncfpn
društva	društvo	Ncnsg

–	i	Agpnsny
društvo	društvo	Ncnsn
za	za	Sa
uzajamno	uzajaman	Agpnsay
osiguranje	osiguranje	Ncnsa
mjesec	mjesec	Ncmsan
dana	dan	Ncmpg
prije	prije	Sg
isplate	isplata	Ncfsg
s	sa	Sg
računa	račun	Ncmsg
članova	član	Ncmpg
o	o	Sl
namjeri	namjera	Ncfsl
isplate	isplata	Ncfsg
obavijesti	obavijestiti	Vmr3s
Agenciju	agencija	Ncfsa
,	,	Z
osim	osim	Sg
povrata	povrat	Ncmpg
u	u	Sl
slučaju	slučaj	Ncmsl
prestanka	prestanak	Ncmsg
članstva	članstvo	Ncnsg

–	i	Agpnsny
društvo	društvo	Ncnsn
ne	ne	Qz
smije	smjeti	Vmr3s
mijenjati	mijenjati	Vmn
statut	statut	Ncmsan
u	u	Sl
dijelu	dio	Ncmsl
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
račune	račun	Ncmpa
članova	član	Ncmpg
bez	bez	Sg
prethodnog	prethodan	Agpnsgy
odobrenja	odobrenje	Ncnsg
Agencije	agencija	Ncfsg
.	.	Z

Doprinosi	doprinos	Ncmpn
(	(	Z
premije	premija	Ncfsg
)	)	Z
,	,	Z
dodatne	dodatan	Agpfpay
uplate	uplata	Ncfpa
i	i	Cc
pričuve	pričuva	Ncfsg
sigurnosti	sigurnost	Ncfsg

Članak	članak	Ncmsn
362.	362.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Statutom	statut	Ncmsi
se	sebe	Px--sa
moraju	morati	Vmr3p
odrediti	odrediti	Vmn
uvjeti	uvjet	Ncmpn
i	i	Cc
način	način	Ncmsan
osiguravanja	osiguravanje	Ncnsg
sredstava	sredstvo	Ncnpg
za	za	Sa
poslovanje	poslovanje	Ncnsa
društva	društvo	Ncnsg
za	za	Sa
uzajamno	uzajaman	Agpnsay
osiguranje	osiguranje	Ncnsa
od	od	Sg
strane	strana	Ncfsg
članova	član	Ncmpg
.	.	Z

Sredstva	sredstvo	Ncnpn
za	za	Sa
poslovanje	poslovanje	Ncnsa
društva	društvo	Ncnsg
za	za	Sa
uzajamno	uzajaman	Agpnsay
osiguranje	osiguranje	Ncnsa
u	u	Sl
pojedinoj	pojedini	Agpfsly
godini	godina	Ncfsl
pokrivaju	pokrivati	Vmr3p
se	sebe	Px--sa
iz	iz	Sg
unaprijed	unaprijed	Rgp
određenih	određen	Agpmpgy
doprinosa	doprinos	Ncmpg
(	(	Z
premija	premija	Ncfpg
)	)	Z
članova	član	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Statutom	statut	Ncmsi
se	sebe	Px--sa
moraju	morati	Vmr3p
odrediti	odrediti	Vmn
uvjeti	uvjet	Ncmpn
i	i	Cc
način	način	Ncmsan
dodatne	dodatan	Agpfsgy
uplate	uplata	Ncfsg
sredstava	sredstvo	Ncmsg
ako	ako	Cs
sredstva	sredstvo	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
nisu	biti	Var3p
dovoljna	dovoljan	Agpfpny
za	za	Sa
pokriće	pokriće	Ncnsa
obveza	obveza	Ncfpg
društva	društvo	Ncnsg
za	za	Sa
uzajamno	uzajaman	Agpnsay
osiguranje	osiguranje	Ncnsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Naknadne	naknadan	Agpfpny
uplate	uplata	Ncfpn
sredstava	sredstvo	Ncnpg
moraju	morati	Vmr3p
uplatiti	uplatiti	Vmn
i	i	Cc
osobe	osoba	Ncfpa
koje	koji	Pi-fpn
su	biti	Var3p
članovima	član	Ncmpi
postale	postati	Vmp-pf
tijekom	tijekom	Sg
godine	godina	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
osobe	osoba	Ncfsg
čije	čiji	Pi-nsn
je	biti	Var3s
članstvo	članstvo	Ncnsn
prestalo	prestati	Vmp-sn
u	u	Sl
toj	taj	Pd-fsl
godini	godina	Ncfsl
,	,	Z
i	i	Qo
to	to	Qo
razmjerno	razmjeran	Agpnsny
trajanju	trajanje	Ncnsl
članstva	članstvo	Ncnsg
u	u	Sl
toj	taj	Pd-fsl
godini	godina	Ncfsl
.	.	Z

Ako	ako	Cs
se	sebe	Px--sa
tijekom	tijekom	Sg
poslovne	poslovan	Agpfsgy
godine	godina	Ncfsg
mijenjaju	mijenjati	Vmr3p
doprinosi	doprinos	Ncmpn
(	(	Z
premije	premija	Ncfsg
)	)	Z
na	na	Sl
temelju	temelj	Ncmsl
kojih	koji	Pi-mpg
se	sebe	Px--sa
određuje	određivati	Vmr3s
visina	visina	Ncfsn
naknadnih	naknadan	Agpfpgy
uplata	uplata	Ncfpg
,	,	Z
naknadne	naknadan	Agpfpny
se	sebe	Px--sa
uplate	uplata	Ncfpn
izračunavaju	izračunavati	Vmr3p
na	na	Sl
temelju	temelj	Ncmsl
više	mnogo	Rgc
osnovice	osnovica	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Statutom	statut	Ncmsi
se	sebe	Px--sa
mora	morati	Vmr3s
odrediti	odrediti	Vmn
način	način	Ncmsan
oblikovanja	oblikovanje	Ncnsg
pričuva	pričuvati	Vmr3s
za	za	Sa
pokriće	pokriće	Ncnsa
gubitaka	gubitak	Ncmpg
u	u	Sl
