izraza	izraz	Ncmsg
u	u	Sl
tvrtki	tvrtka	Ncfsl
ili	ili	Cc
skraćenoj	skratiti	Agpfsly
tvrtki	tvrtka	Ncfsl
može	moći	Vmr3s
upisati	upisati	Vmn
u	u	Sa
sudski	sudski	Agpmsayn
registar	registar	Ncmsan
i	i	Cc
koristiti	koristiti	Vmn
u	u	Sl
pravnom	pravni	Agpmsly
prometu	promet	Ncmsl
samo	sam	Agpnsny
društvo	društvo	Ncnsn
koje	koji	Pi-nsn
je	biti	Var3s
dobilo	dobiti	Vmp-sn
dozvolu	dozvola	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
420.	420.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Obrt	obrt	Ncmsn
za	za	Sa
zastupanje	zastupanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl

Članak	članak	Ncmsn
402.	402.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Obrt	obrt	Ncmsn
za	za	Sa
zastupanje	zastupanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
je	biti	Var3s
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
–	–	Z
poduzetnik	poduzetnik	Ncmsn
(	(	Z
obrtnik	obrtnik	Ncmsn
)	)	Z
s	sa	Si
prebivalištem	prebivalište	Ncnsi
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
koja	koji	Pi-fsn
obavlja	obavljati	Vmr3s
gospodarsku	gospodarski	Agpfsay
djelatnost	djelatnost	Ncfsa
pružanja	pružanje	Ncnsg
usluga	usluga	Ncfpg
zastupanja	zastupanje	Ncnsg
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
koja	koji	Pi-fsn
je	biti	Var3s
dobila	dobiti	Vmp-sf
dozvolu	dozvola	Ncfsa
Agencije	agencija	Ncfsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
djelatnosti	djelatnost	Ncfsg
zastupanja	zastupanje	Ncnsg
u	u	Sl
osiguranju	osiguranje	Ncnsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Obrt	obrt	Ncmsn
za	za	Sa
zastupanje	zastupanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
upisati	upisati	Vmn
u	u	Sa
obrtni	obrtni	Agpmsayn
registar	registar	Ncmsan
prije	prije	Sg
dobivanja	dobivanje	Ncnsg
dozvole	dozvola	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Obrt	obrt	Ncmsn
za	za	Sa
zastupanje	zastupanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
može	moći	Vmr3s
se	sebe	Px--sa
osnovati	osnovati	Vmn
prema	prema	Sl
Zakonu	zakon	Ncmsl
o	o	Sl
obrtu	obrt	Ncmsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Odredbe	odredba	Ncfpn
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
društvo	društvo	Ncnsa
za	za	Sa
zastupanje	zastupanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
i	i	Qo
na	na	Sa
obrt	obrt	Ncmsan
za	za	Sa
zastupanje	zastupanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
,	,	Z
osim	osim	Sg
odredaba	odredba	Ncfpg
članka	članak	Ncmsg
401.	401.	Mdo
i	i	Cc
članka	članak	Ncmsg
