propisati	propisati	Vmn
dokumentaciju	dokumentacija	Ncfsa
koja	koji	Pi-fsn
se	sebe	Px--sa
mora	morati	Vmr3s
priložiti	priložiti	Vmn
uz	uz	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
odobrenja	odobrenje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
10.	10.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Ostali	ostali	Agpmpny
elementi	element	Ncmpn
pri	pri	Sl
izračunu	izračun	Ncmsl
tehničkih	tehnički	Agpfpgy
pričuva	pričuva	Ncfpg

Članak	članak	Ncmsn
114.	114.	Mdo

Društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
pri	pri	Sl
izračunu	izračun	Ncmsl
tehničkih	tehnički	Agpfpgy
pričuva	pričuva	Ncfpg
uzeti	uzeti	Vmn
u	u	Sa
obzir	obzir	Ncmsan
i	i	Cc
sljedeće	sljedeći	Agpmpay
elemente	element	Ncmpa
:	:	Z

1.	1.	Mdo
sve	sav	Agpmpay
troškove	trošak	Ncmpa
koji	koji	Pi-mpn
će	htjeti	Var3p
nastati	nastati	Vmn
pri	pri	Sl
ispunjavanju	ispunjavanje	Ncnsl
obveza	obveza	Ncfpg
iz	iz	Sg
ugovora	ugovor	Ncmsg
o	o	Sl
osiguranju	osiguranje	Ncnsl
odnosno	odnosno	Rgp
ugovora	ugovor	Ncmsg
o	o	Sl
reosiguranju	reosiguranje	Ncnsl

2.	2.	Mdo
inflaciju	inflacija	Ncfsa
,	,	Z
uključujući	uključivati	Rr
inflaciju	inflacija	Ncfsa
troškova	trošak	Ncmpg
i	i	Cc
inflaciju	inflacija	Ncfsa
iznosa	iznos	Ncmsg
šteta	šteta	Ncfsn

3.	3.	Mdo
sve	sav	Agpfpay
isplate	isplata	Ncfpa
ugovarateljima	ugovaratelj	Ncmpd
osiguranja	osiguranje	Ncnsg
i	i	Cc
korisnicima	korisnik	Ncmpd
osiguranja	osiguranje	Ncnsg
,	,	Z
uključujući	uključivati	Rr
buduće	budući	Agpnsay
sudjelovanje	sudjelovanje	Ncnsa
u	u	Sl
dobiti	dobit	Ncfsl
,	,	Z
za	za	Sa
koja	koji	Pi-fsn
se	sebe	Px--sa
očekuje	očekivati	Vmr3s
da	da	Cs
će	htjeti	Var3s
ih	oni	Agpnsny
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
imati	imati	Vmn
,	,	Z
bez	bez	Sg
obzira	obzir	Ncmsg
na	na	Sa
to	taj	Pd-nsa
jesu	biti	Var3p
li	li	Qq
te	taj	Pd-fsg
isplate	isplata	Ncfsg
ugovorno	ugovorno	Rgp
zajamčene	zajamčiti	Appfpny
,	,	Z
osim	osim	Cs
ako	ako	Cs
te	taj	Pd-fpn
isplate	isplata	Ncfpn
nisu	biti	Var3p
obuhvaćene	obuhvatiti	Appfpny
člankom	članak	Ncmsi
127.	127.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Vrednovanje	vrednovanje	Ncnsn
financijskih	financijski	Agpfpgy
garancija	garancija	Ncfpg
i	i	Cc
ugovornih	ugovoran	Agpfpgy
opcija	opcija	Ncfpg
uključenih	uključen	Agpfpgy
u	u	Sa
ugovore	ugovor	Ncmpa
o	o	Sl
osiguranju	osiguranje	Ncnsl
,	,	Z
odnosno	odnosno	Rgp
ugovore	ugovor	Ncmpa
o	o	Sl
reosiguranju	reosiguranje	Ncnsl

Članak	članak	Ncmsn
115.	115.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Pri	pri	Sl
izračunu	izračun	Ncmsl
tehničkih	tehnički	Agpfpgy
pričuva	pričuva	Ncfpg
društvo	društvo	Ncnsa
za	za	Sa
osiguranje	osiguranje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
uzeti	uzeti	Vmn
u	u	Sa
obzir	obzir	Ncmsan
vrijednost	vrijednost	Ncfsn
financijskih	financijski	Agpfpgy
garancija	garancija	Ncfpg
i	i	Cc
bilo	bilo	Qo
kojih	koji	Pi-fpg
ugovornih	ugovoran	Agpfpgy
opcija	opcija	Ncfpg
uključenih	uključen	Agpfpgy
u	u	Sa
ugovore	ugovor	Ncmpa
o	o	Sl
osiguranju	osiguranje	Ncnsl
,	,	Z
odnosno	odnosno	Rgp
ugovore	ugovor	Ncmpa
o	o	Sl
reosiguranju	reosiguranje	Ncnsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sve	sav	Agpfpny
pretpostavke	pretpostavka	Ncfpn
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
o	o	Sl
vjerojatnosti	vjerojatnost	Ncfsl
da	da	Cs
ugovaratelji	ugovaratelj	Ncmpn
osiguranja	osiguranje	Ncnsg
iskoriste	iskoristiti	Vmr3p
svoje	svoj	Px-fpa
ugovorne	ugovoran	Agpfpay
opcije	opcija	Ncfpa
,	,	Z
uključujući	uključivati	Rr
odustanke	odustanak	Ncmpa
i	i	Cc
otkup	otkup	Ncmsan
,	,	Z
moraju	morati	Vmr3p
biti	biti	Van
realne	realan	Agpfpny
i	i	Cc
utemeljene	utemeljen	Agpfpny
na	na	Sl
sadašnjim	sadašnji	Agpmply
i	i	Cc
vjerodostojnim	vjerodostojan	Agpfply
informacijama	informacija	Ncfpl
.	.	Z

U	u	Sl
pretpostavkama	pretpostavka	Ncfpl
društvo	društvo	Ncnsa
za	za	Sa
osiguranje	osiguranje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
uzeti	uzeti	Vmn
u	u	Sa
obzir	obzir	Ncmsan
,	,	Z
eksplicitno	eksplicitno	Rgp
ili	ili	Cc
implicitno	implicitan	Agpnsny
,	,	Z
utjecaj	utjecaj	Ncmsan
koji	koji	Pi-msn
promijenjeni	promijeniti	Appmpny
budući	budući	Cs
financijski	financijski	Agpmsny
i	i	Cc
nefinancijski	nefinancijski	Agpmpny
uvjeti	uvjet	Ncmpn
mogu	moći	Vmr3p
imati	imati	Vmn
na	na	Sa
korištenje	korištenje	Ncnsa
tih	taj	Pd-fpg
opcija	opcija	Ncfpg
.	.	Z

Segmentacija	segmentacija	Ncfsn

Članak	članak	Ncmsn
116.	116.	Mdo

Društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
pri	pri	Sl
izračunu	izračun	Ncmsl
tehničkih	tehnički	Agpfpgy
pričuva	pričuva	Ncfpg
segmentirati	segmentirati	Vmn
svoje	svoj	Px-fpa
obveze	obveza	Ncfpa
iz	iz	Sg
ugovora	ugovor	Ncmsg
o	o	Sl
osiguranju	osiguranje	Ncnsl
,	,	Z
odnosno	odnosno	Rgp
ugovora	ugovor	Ncmsg
o	o	Sl
reosiguranju	reosiguranje	Ncnsl
u	u	Sa
homogene	homogen	Agpfpay
grupe	grupa	Ncfpa
rizika	rizik	Ncmsg
,	,	Z
a	a	Cc
najmanje	malo	Rgs
prema	prema	Sl
vrstama	vrsta	Ncfpl
osiguranja	osiguranje	Ncnsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Uredbom	uredba	Ncfsi
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
2015/35.	2015/35.	Mds

Iznosi	iznositi	Vmr3s
naplativi	naplativ	Agpmpny
na	na	Sl
temelju	temelj	Ncmsl
ugovora	ugovor	Ncmsg
o	o	Sl
reosiguranju	reosiguranje	Ncnsl
i	i	Cc
od	od	Sg
subjekata	subjekt	Ncmpg
posebne	poseban	Agpfsgy
namjene	namjena	Ncfsg

Članak	članak	Ncmsn
117.	117.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
