propisa	propis	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
odredbe	odredba	Ncfpn
drugih	drugi	Mlompg
zakona	zakon	Ncmpg
kojima	koji	Pi-mpi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
poslovanje	poslovanje	Ncnsn
društava	društvo	Ncnpg
za	za	Sa
osiguranje	osiguranje	Ncnsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Rješenjem	rješenje	Ncnsi
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
Agencija	agencija	Ncfsn
određuje	određivati	Vmr3s
rok	rok	Ncmsan
za	za	Sa
otklanjanje	otklanjanje	Ncnsa
nezakonitosti	nezakonitost	Ncfsg
i	i	Cc
nepravilnosti	nepravilnost	Ncfsg
.	.	Z

Izvješće	izvješće	Ncnsn
ovlaštenog	ovlašten	Agpmsgy
revizora	revizor	Ncmsg
o	o	Sl
otklanjanju	otklanjanje	Ncnsl
nepravilnosti	nepravilnost	Ncfsg

Članak	članak	Ncmsn
236.	236.	Mdo

Ako	ako	Cs
Agencija	agencija	Ncfsn
utvrdi	utvrda	Ncfpg
nezakonitosti	nezakonitost	Ncfsg
i	i	Cc
nepravilnosti	nepravilnost	Ncfpg
u	u	Sl
vođenju	vođenje	Ncnsl
poslovnih	poslovan	Agpfpgy
knjiga	knjiga	Ncfpg
,	,	Z
odnosno	odnosno	Rgp
administrativnih	administrativan	Agpmpgy
i	i	Cc
drugih	drugi	Mlofpg
evidencija	evidencija	Ncfpg
koje	koji	Pi-fpn
je	biti	Var3s
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
dužno	dužno	Rgp
voditi	voditi	Vmn
,	,	Z
odnosno	odnosno	Rgp
utvrdi	utvrditi	Vmr3s
li	li	Cs
veće	velik	Agcfsgy
nezakonitosti	nezakonitost	Ncfsg
i	i	Cc
nepravilnosti	nepravilnost	Ncfpg
u	u	Sl
poslovanju	poslovanje	Ncnsl
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
,	,	Z
može	moći	Vmr3s
društvu	društvo	Ncnsd
za	za	Sa
osiguranje	osiguranje	Ncnsa
rješenjem	rješenje	Ncnsi
naložiti	naložiti	Vmn
dostavu	dostava	Ncfsa
izvješća	izvješće	Ncnsg
s	sa	Si
pozitivnim	pozitivan	Agpnsiy
mišljenjem	mišljenje	Ncnsi
ovlaštenog	ovlašten	Agpmsgy
revizora	revizor	Ncmsg
o	o	Sl
tome	taj	Pd-nsl
da	da	Cs
su	biti	Var3p
utvrđene	utvrditi	Appfpny
nezakonitosti	nezakonitost	Ncfpn
i	i	Cc
nepravilnosti	nepravilnost	Ncfpg
otklonjene	otkloniti	Appfpny
.	.	Z

Izvješće	izvješće	Ncnsn
o	o	Sl
otklanjanju	otklanjanje	Ncnsl
nezakonitosti	nezakonitost	Ncfsg
i	i	Cc
nepravilnosti	nepravilnost	Ncfsg

Članak	članak	Ncmsn
237.	237.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
u	u	Sl
roku	rok	Ncmsl
iz	iz	Sg
članka	članak	Ncmsg
235.	235.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
otkloniti	otkloniti	Vmn
utvrđene	utvrditi	Appfsgy
nezakonitosti	nezakonitost	Ncfsg
i	i	Cc
nepravilnosti	nepravilnost	Ncfsg
te	te	Cc
Agenciji	agencija	Ncfsl
u	u	Sl
istom	isti	Agpmsly
roku	rok	Ncmsl
,	,	Z
ako	ako	Cs
rješenjem	rješenje	Ncnsi
nije	biti	Var3s
drukčije	drugačije	Rgp
određeno	odrediti	Appnsny
,	,	Z
dostaviti	dostaviti	Vmn
izvješće	izvješće	Ncnsa
u	u	Sl
kojem	koji	Pi-nsl
su	biti	Var3p
opisane	opisati	Appfpny
mjere	mjera	Ncfpn
za	za	Sa
otklanjanje	otklanjanje	Ncnsa
nezakonitosti	nezakonitost	Ncfsg
i	i	Cc
nepravilnosti	nepravilnost	Ncfsg
.	.	Z

Izvješću	izvješće	Ncnsl
moraju	morati	Vmr3p
biti	biti	Van
priloženi	priložiti	Appmpny
dokumenti	dokument	Ncmpn
i	i	Cc
drugi	drugi	Mlompn
dokazi	dokaz	Ncmpn
iz	iz	Sg
kojih	koji	Pi-mpg
proizlazi	proizlaziti	Vmr3s
da	da	Cs
su	biti	Var3p
utvrđene	utvrditi	Appfpny
nezakonitosti	nezakonitost	Ncfpn
i	i	Cc
nepravilnosti	nepravilnost	Ncfpg
otklonjene	otkloniti	Appfpny
.	.	Z

U	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
članka	članak	Ncmsg
236.	236.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
dužno	dužno	Rgp
je	biti	Var3s
izvješću	izvješće	Ncnsl
o	o	Sl
otklanjanju	otklanjanje	Ncnsl
nezakonitosti	nezakonitost	Ncfsg
i	i	Cc
nepravilnosti	nepravilnost	Ncfsg
priložiti	priložiti	Vmn
i	i	Cc
izvješće	izvješće	Ncnsa
ovlaštenog	ovlašten	Agpmsgy
revizora	revizor	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
iz	iz	Sg
izvješća	izvješće	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
i	i	Cc
priloženih	priložen	Agpmpgy
dokaza	dokaz	Ncmpg
proizlazi	proizlaziti	Vmr3s
da	da	Cs
su	biti	Var3p
nezakonitosti	nezakonitost	Ncfpn
i	i	Cc
nepravilnosti	nepravilnost	Ncfsg
otklonjene	otkloniti	Appfpny
,	,	Z
Agencija	agencija	Ncfsn
će	htjeti	Var3s
donijeti	donijeti	Vmn
rješenje	rješenje	Ncnsa
kojim	koji	Pi-nsi
utvrđuje	utvrđivati	Vmr3s
da	da	Cs
su	biti	Var3p
nezakonitosti	nezakonitost	Ncfpn
i	i	Cc
nepravilnosti	nepravilnost	Ncfpg
otklonjene	otkloniti	Appfpny
.	.	Z

Agencija	agencija	Ncfsn
može	moći	Vmr3s
prije	prije	Sg
donošenja	donošenje	Ncnsg
rješenja	rješenje	Ncnsg
obaviti	obaviti	Vmn
ponovni	ponovan	Agpmsayn
nadzor	nadzor	Ncmsan
u	u	Sl
opsegu	opseg	Ncmsl
potrebnom	potreban	Agpmsly
da	da	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
utvrdilo	utvrditi	Vmp-sn
jesu	biti	Var3p
li	li	Qq
nezakonitosti	nezakonitost	Ncfsg
i	i	Cc
nepravilnosti	nepravilnost	Ncfpg
otklonjene	otkloniti	Appfpny
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
izvješće	izvješće	Ncnsn
nepotpuno	nepotpuno	Rgp
,	,	Z
odnosno	odnosno	Rgp
iz	iz	Sg
izvješća	izvješće	Ncnsg
i	i	Cc
priloženih	priložen	Agpmpgy
dokaza	dokaz	Ncmpg
ne	ne	Qz
proizlazi	proizlaziti	Vmr3s
da	da	Cs
su	biti	Var3p
utvrđene	utvrditi	Appfpny
nezakonitosti	nezakonitost	Ncfpn
i	i	Cc
nepravilnosti	nepravilnost	Ncfsg
otklonjene	otkloniti	Appfpny
,	,	Z
Agencija	agencija	Ncfsn
će	htjeti	Var3s
društvu	društvo	Ncnsl
za	za	Sa
osiguranje	osiguranje	Ncnsa
naložiti	naložiti	Vmn
dopunu	dopuna	Ncfsa
izvješća	izvješće	Ncnsg
te	te	Cc
odrediti	odrediti	Vmn
rok	rok	Ncmsan
za	za	Sa
dopunu	dopuna	Ncfsa
.	.	Z

Agencija	agencija	Ncfsn
može	moći	Vmr3s
u	u	Sl
slučaju	slučaj	Ncmsl
opravdanih	opravdati	Agpmpgy
razloga	razlog	Ncmpg
na	na	Sl
temelju	temelj	Ncmsl
obrazloženog	obrazložiti	Agpmsgy
zahtjeva	zahtjev	Ncmsg
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
zaključkom	zaključak	Ncmsi
produžiti	produžiti	Vmn
rok	rok	Ncmsan
određen	odrediti	Appmsnn
rješenjem	rješenje	Ncnsi
za	za	Sa
otklanjanje	otklanjanje	Ncnsa
nezakonitosti	nezakonitost	Ncfsg
i	i	Cc
nepravilnosti	nepravilnost	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Agencija	agencija	Ncfsn
je	biti	Var3s
dužna	dužan	Agpfsny
rješenje	rješenje	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
donijeti	donijeti	Vmn
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
podnošenja	podnošenje	Ncnsg
izvješća	izvješće	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
u	u	Sl
protivnom	protivan	Agpmsly
se	sebe	Px--sa
smatra	smatrati	Vmr3s
da	da	Cs
su	biti	Var3p
nezakonitosti	nezakonitost	Ncfpn
i	i	Cc
nepravilnosti	nepravilnost	Ncfpg
otklonjene	otkloniti	Appfpny
.	.	Z

Ako	ako	Cs
Agencija	agencija	Ncfsn
ne	ne	Qz
naloži	naložiti	Vmr3s
dopunu	dopuna	Ncfsa
izvješća	izvješće	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
podnošenja	podnošenje	Ncnsg
izvješća	izvješće	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
smatra	smatrati	Vmr3s
se	sebe	Px--sa
da	da	Cs
su	biti	Var3p
nezakonitosti	nezakonitost	Ncfpn
i	i	Cc
nepravilnosti	nepravilnost	Ncfpg
otklonjene	otkloniti	Appfpny
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ako	ako	Cs
su	biti	Var3p
rješenjem	rješenje	Ncnsi
određene	odrediti	Appfpny
dodatne	dodatan	Agpfpny
mjere	mjera	Ncfpn
iz	iz	Sg
članka	članak	Ncmsg
238.	238.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
odredbe	odredba	Ncfpa
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
otklanjanje	otklanjanje	Ncnsa
nezakonitosti	nezakonitost	Ncfsg
i	i	Cc
nepravilnosti	nepravilnost	Ncfsg
i	i	Cc
na	na	Sa
izvješće	izvješće	Ncnsa
o	o	Sl
uklanjanju	uklanjanje	Ncnsl
nezakonitosti	nezakonitost	Ncfsg
i	i	Cc
nepravilnosti	nepravilnost	Ncfsl
,	,	Z
odnose	odnositi	Vmr3p
se	sebe	Px--sa
i	i	Qo
na	na	Sa
izvođenje	izvođenje	Ncnsa
dodatnih	dodatan	Agpfpgy
mjera	mjera	Ncfpg
te	te	Cc
na	na	Sa
obavješćivanje	obavješćivanje	Ncnsa
o	o	Sl
izvedbi	izvedba	Ncfsl
dodatnih	dodatan	Agpfpgy
mjera	mjera	Ncfpg
.	.	Z

ODJELJAK	ODJELJAK	Npmsn
IV	IV	Mrc
.	.	Z

DODATNE	dodatan	Agpfpay
NADZORNE	nadzorni	Agpfpay
MJERE	mjera	Ncfpa

Dodatne	dodatan	Agpfpny
nadzorne	nadzorni	Agpfsgy
mjere	mjera	Ncfsg
u	u	Sa
svrhu	svrha	Ncfsa
realizacije	realizacija	Ncfsg
pravila	pravilo	Ncnsg
o	o	Sl
upravljanju	upravljanje	Ncnsl
rizicima	rizik	Ncmpl

Članak	članak	Ncmsn
238.	238.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
Agencija	agencija	Ncfsn
prilikom	prilikom	Sg
obavljanja	obavljanje	Ncnsg
nadzora	nadzor	Ncmsg
utvrdi	utvrditi	Vmr3s
da	da	Cs
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
teže	teža	Ncfsg
krši	kršiti	Vmr3s
pravila	pravilo	Ncnpa
o	o	Sl
upravljanju	upravljanje	Ncnsl
rizikom	rizik	Ncmsi
,	,	Z
može	moći	Vmr3s
rješenjem	rješenje	Ncnsi
o	o	Sl
otklanjanju	otklanjanje	Ncnsl
nezakonitosti	nezakonitost	Ncfsg
i	i	Cc
nepravilnosti	nepravilnost	Ncfsg
odrediti	odrediti	Vmn
i	i	Cc
sljedeće	sljedeći	Agpfpay
dodatne	dodatan	Agpfpay
mjere	mjera	Ncfpa
:	:	Z

1.	1.	Mdo
naložiti	naložiti	Vmn
upravi	uprava	Ncfsl
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
da	da	Cs
prihvati	prihvatiti	Vmr3s
plan	plan	Ncmsan
mjera	mjera	Ncfsn
radi	radi	Sg
osiguranja	osiguranje	Ncnsg
potrebne	potreban	Agpfsgy
razine	razina	Ncfsg
prihvatljivih	prihvatljiv	Agpnpgy
vlastitih	vlastit	Agpnpgy
sredstava	sredstvo	Ncnpg
za	za	Sa
pokriće	pokriće	Ncnsa
potrebnog	potreban	Agpmsgy
solventnog	solventan	Agpmsgy
kapitala	kapital	Ncmsg
ili	ili	Cc
smanjenja	smanjenje	Ncnsg
profila	profil	Ncmsg
rizičnosti	rizičnost	Ncfsg
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
osigurala	osigurati	Vmp-sf
usklađenost	usklađenost	Ncfsn
s	sa	Si
potrebnim	potreban	Agpmsiy
solventnim	solventan	Agpmsiy
kapitalom	kapital	Ncmsi
,	,	Z
odnosno	odnosno	Rgp
radi	radi	Sg
osiguranja	osiguranje	Ncnsg
prihvatljivih	prihvatljiv	Agpnpgy
osnovnih	osnovan	Agpnpgy
vlastitih	vlastit	Agpnpgy
sredstava	sredstvo	Ncnpg
najmanje	malo	Rgs
na	na	Sa
razinu	razina	Ncfsa
minimalnog	minimalan	Agpmsgy
potrebnog	potreban	Agpmsgy
kapitala	kapital	Ncmsg
ili	ili	Cc
smanjenja	smanjenje	Ncnsg
profila	profil	Ncmsg
rizičnosti	rizičnost	Ncfsg
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
kako	kako	Cs
bi	biti	Vaa3s
