strategija	strategija	Ncfsn
za	za	Sa
provedbu	provedba	Ncfsa
Sheme	shema	Ncfsg
školskog	školski	Agpnsgy
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
za	za	Sa
razdoblje	razdoblje	Ncnsa
od	od	Sg
1.	1.	Mdo
kolovoza	kolovoz	Ncmsg
2014.	2014.	Mdo
do	do	Sg
31.	31.	Mdo
srpnja	srpanj	Ncmsg
2015.	2015.	Mdo
godine	godina	Ncfsg

35.	35.	Mdo

Uredba	uredba	Ncfsn
o	o	Sl
provedbi	provedba	Ncfsl
Uredbe	uredba	Ncfsg
Vijeća	vijeće	Ncnsg
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
3/2008	3/2008	Mdc
i	i	Cc
Uredbe	uredba	Ncfpn
Komisije	komisija	Ncfsg
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
501/2008	501/2008	Mdc
o	o	Sl
mjerama	mjera	Ncfpl
informiranja	informiranje	Ncnsg
i	i	Cc
promocije	promocija	Ncfsg
poljoprivrednih	poljoprivredni	Agpmpgy
proizvoda	proizvod	Ncmpg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
78/13.	78/13.	Mds
)	)	Z

36.	36.	Mdo

Naputak	naputak	Ncmsn
o	o	Sl
provedbi	provedba	Ncfsl
postupka	postupak	Ncmsg
ovlašćivanja	ovlašćivanje	Ncnsg
,	,	Z
uvjetima	uvjet	Ncmpi
koje	koji	Pi-fpn
moraju	morati	Vmr3p
ispunjavati	ispunjavati	Vmn
i	i	Cc
mjerilima	mjerilo	Ncnpd
uvrštenim	uvrstiti	Appnpdy
u	u	Sa
procjenu	procjena	Ncfsa
rizika	rizik	Ncmpg
ovlaštenih	ovlašten	Agpmpgy
trgovaca	trgovac	Ncmpg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
128/14.	128/14.	Mds
)	)	Z

37.	37.	Mdo

Pravilnik	pravilnik	Ncmsn
o	o	Sl
prikupljanju	prikupljanje	Ncnsl
podataka	podatak	Ncmpg
i	i	Cc
izvješćivanju	izvješćivanje	Ncnsl
o	o	Sl
cijenama	cijena	Ncfpl
poljoprivrednih	poljoprivredni	Agpmpgy
proizvoda	proizvod	Ncmpg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
145/13.	145/13.	Mds
)	)	Z
.	.	Z

Propisi	propis	Ncmpn
doneseni	donijeti	Appmpny
na	na	Sl
temelju	temelj	Ncmsl
Zakona	zakon	Ncmsg
o	o	Sl
hrani	hrana	Ncfsl

Članak	članak	Ncmsn
179.	179.	Mdo

Danom	dan	Ncmsi
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ostaju	ostajati	Vmr3p
na	na	Sl
snazi	snaga	Ncfsl
u	u	Sl
dijelu	dio	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
nisu	biti	Var3p
u	u	Sl
suprotnosti	suprotnost	Ncfsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
propisi	propis	Ncmpn
doneseni	donijeti	Appmpny
na	na	Sl
temelju	temelj	Ncmsl
Zakona	zakon	Ncmsg
o	o	Sl
hrani	hrana	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
117/03.	117/03.	Mds
,	,	Z
130/03.	130/03.	Mds
,	,	Z
48/04.	48/04.	Mds
i	i	Cc
85/06.	85/06.	Mdo
)	)	Z
,	,	Z
Zakona	zakon	Ncmsg
o	o	Sl
hrani	hrana	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
46/07.	46/07.	Mds
,	,	Z
84/08.	84/08.	Mds
i	i	Cc
55/11.	55/11.	Mdo
)	)	Z
i	i	Cc
Zakona	zakon	Ncmsg
o	o	Sl
hrani	hrana	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
81/13.	81/13.	Mds
i	i	Cc
14/14.	14/14.	Mds
)	)	Z
:	:	Z

1.	1.	Mdo
Pravilnik	pravilnik	Ncmsn
o	o	Sl
kakau	kakao	Ncmsl
i	i	Cc
čokoladnim	čokoladni	Agpmply
proizvodima	proizvod	Ncmpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
73/05.	73/05.	Mds
)	)	Z

2.	2.	Mdo
Pravilnik	pravilnik	Ncmsn
o	o	Sl
jestivim	jestiv	Agpmply
kazeinima	kazein	Ncmpl
i	i	Cc
kazeinatima	kazeinat	Ncmpl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
80/07.	80/07.	Mds
i	i	Cc
28/11.	28/11.	Mds
)	)	Z

3.	3.	Mdo
Pravilnik	pravilnik	Ncmsn
o	o	Sl
ugušćenom	ugušćen	Agpmsly
(	(	Z
kondenziranom	kondenziran	Agpnsly
)	)	Z
mlijeku	mlijeko	Ncnsl
i	i	Cc
mlijeku	mlijeko	Ncnsl
u	u	Sl
prahu	prah	Ncmsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
80/07.	80/07.	Mds
i	i	Cc
34/11.	34/11.	Mds
)	)	Z

4.	4.	Mdo
Pravilnik	pravilnik	Ncmsn
o	o	Sl
šećerima	šećer	Ncmpl
i	i	Cc
metodama	metoda	Ncfpl
analiza	analiza	Ncfpg
šećera	šećer	Ncmpg
namijenjenih	namijenjen	Agpmpgy
za	za	Sa
konzumaciju	konzumacija	Ncfsa
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
39/09.	39/09.	Mds
i	i	Cc
144/10.	144/10.	Mds
)	)	Z

5.	5.	Mdo
Pravilnik	pravilnik	Ncmsn
o	o	Sl
metodama	metoda	Ncfpl
uzorkovanja	uzorkovanje	Ncnsg
i	i	Cc
analiza	analiza	Ncfpg
jestivih	jestiv	Agpmpgy
kazeina	kazein	Ncmpg
i	i	Cc
kazeinata	kazeint	Ncmpg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
70/09.	70/09.	Mds
)	)	Z

6.	6.	Mdo
Pravilnik	pravilnik	Ncmsn
o	o	Sl
medu	med	Ncmsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
93/09.	93/09.	Mds
)	)	Z

7.	7.	Mdo
Pravilnik	pravilnik	Ncmsn
o	o	Sl
metodama	metoda	Ncfpl
uzorkovanja	uzorkovanje	Ncnsg
i	i	Cc
analiza	analiza	Ncfpg
ugušćenog	ugušćen	Agpnsgy
(	(	Z
kondenziranog	kondenziran	Agpnsgy
)	)	Z
mlijeka	mlijeko	Ncnsg
i	i	Cc
mlijeka	mlijeko	Ncnsg
u	u	Sl
prahu	prah	Ncmsl
namijenjenih	namijenjen	Agpmpgy
za	za	Sa
konzumaciju	konzumacija	Ncfsa
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
112/09.	112/09.	Mds
)	)	Z

8.	8.	Mdo
Pravilnik	pravilnik	Ncmsn
o	o	Sl
ekstraktima	ekstrakt	Ncmpl
kave	kava	Ncfsg
i	i	Cc
ekstraktima	ekstrakt	Ncmpi
cikorije	cikorija	Ncfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
81/10.	81/10.	Mds
)	)	Z

9.	9.	Mdo
Pravilnik	pravilnik	Ncmsn
o	o	Sl
prirodnim	prirodan	Agpfply
mineralnim	mineralan	Agpfply
,	,	Z
prirodnim	prirodan	Agpmply
izvorskim	izvorski	Agpmply
i	i	Cc
stolnim	stolni	Agpfply
vodama	voda	Ncfpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
81/13.	81/13.	Mds
)	)	Z

10.	10.	Mdo

Pravilnik	pravilnik	Ncmsn
o	o	Sl
voćnim	voćni	Agpmply
sokovima	sok	Ncmpl
i	i	Cc
njima	oni	Agpmpiy
sličnim	sličan	Agpmpiy
proizvodima	proizvod	Ncmpi
namijenjenim	namijenjen	Agpmpiy
za	za	Sa
konzumaciju	konzumacija	Ncfsa
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
48/13.	48/13.	Mds
)	)	Z

11.	11.	Mdo

Pravilnik	pravilnik	Ncmsn
o	o	Sl
proizvodima	proizvod	Ncmpl
sličnim	sličan	Agpmply
čokoladi	čokolada	Ncfsl
,	,	Z
krem-proizvodima	krem-proizvod	Ncmpd
i	i	Cc
bombonskim	bombonski	Agpmpiy
proizvodima	proizvod	Ncmpi
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
73/05.	73/05.	Mds
,	,	Z
69/08.	69/08.	Mds
i	i	Cc
141/13.	141/13.	Mds
)	)	Z

12.	12.	Mdo

Pravilnik	pravilnik	Ncmsn
o	o	Sl
keksima	keks	Ncmpl
i	i	Cc
keksima	keks	Ncmpl
srodnim	srodan	Agpmpiy
proizvodima	proizvod	Ncmpi
(	(	Z
