28/13.	28/13.	Mdo
i	i	Cc
47/14.	47/14.	Mds
)	)	Z

5.	5.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
službenim	služben	Agpfply
kontrolama	kontrola	Ncfpl
koje	koji	Pi-fpn
se	sebe	Px--sa
provode	provoditi	Vmr3p
sukladno	sukladno	Rgp
propisima	propis	Ncmpd
o	o	Sl
hrani	hrana	Ncfsl
,	,	Z
hrani	hrana	Ncfsl
za	za	Sa
životinje	životinja	Ncfpa
,	,	Z
o	o	Sl
zdravlju	zdravlje	Ncnsl
i	i	Cc
dobrobiti	dobrobit	Ncfsl
životinja	životinja	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
81/13.	81/13.	Mds
i	i	Cc
14/14.	14/14.	Mds
)	)	Z

6.	6.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
hrani	hrana	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
81/13.	81/13.	Mds
i	i	Cc
14/14.	14/14.	Mds
)	)	Z

7.	7.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
informiranju	informiranje	Ncnsl
potrošača	potrošač	Ncmpg
o	o	Sl
hrani	hrana	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
56/13.	56/13.	Mds
i	i	Cc
14/14.	14/14.	Mds
)	)	Z

8.	8.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
provedbi	provedba	Ncfsl
Uredbe	uredba	Ncfsg
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
1829/2003	1829/2003	Mdc
Europskog	europski	Agpmsgy
parlamenta	parlament	Ncmsg
i	i	Cc
Vijeća	vijeće	Ncnsg
od	od	Sg
22.	22.	Mdo
rujna	rujan	Ncmsg
2003.	2003.	Mdo
godine	godina	Ncfsg
o	o	Sl
genetski	genetski	Rgp
modificiranoj	modificirati	Appfsly
hrani	hrana	Ncfsl
i	i	Cc
hrani	hrana	Ncfsl
za	za	Sa
životinje	životinja	Ncfpa
i	i	Cc
Uredbe	uredba	Ncfpa
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
1830/2003	1830/2003	Mdc
Europskog	europski	Agpmsgy
parlamenta	parlament	Ncmsg
i	i	Cc
Vijeća	vijeće	Ncnsg
od	od	Sg
22.	22.	Mdo
rujna	rujan	Ncmsg
