Ivan	Ivan	Npmsn
Zelina	Zelina	Npmsn
64	64	Mdc
1.6.16.	1.6.16.	Mdo

Policijska	policijski	Agpfsny
postaja	postaja	Ncfsn
Vrbovec	Vrbovec	Npmsn
70	70	Mdc
1.6.17.	1.6.17.	Mdo

Policijska	policijski	Agpfsny
postaja	postaja	Ncfsn
Ivanić	Ivanić	Npmsn
Grad	grad	Ncmsn
72	72	Mdc
1.6.18.	1.6.18.	Mdo

I.	I.	Y
Postaja	postaja	Ncfsn
prometne	prometan	Agpfsgy
policije	policija	Ncfsg
Zagreb	Zagreb	Npmsn
218	218	Mdc
1.6.19.	1.6.19.	Mdo

II	ii	Mrc
.	.	Z

Postaja	postaja	Ncfsn
prometne	prometan	Agpfsgy
policije	policija	Ncfsg
Zagreb	Zagreb	Npmsn
213	213	Mdc
1.6.20.	1.6.20.	Mdo

Postaja	postaja	Ncfsn
granične	graničan	Agpfsgy
policije	policija	Ncfsg
Bregana	Bregan	Npmsg
163	163	Mdc
1.6.21.	1.6.21.	Mdo

Postaja	postaja	Ncfsn
aerodromske	aerodromski	Agpfsgy
policije	policija	Ncfsg
Pleso	Pleso	Npmsn
193	193	Mdc
1.7.	1.7.	Mds

Sektor	sektor	Ncmsn
pravnih	pravni	Agpmpgy
,	,	Z
financijskih	financijski	Agpfpgy
i	i	Cc
tehničkih	tehnički	Agpmpgy
poslova	posao	Ncmpg
1	1	Mdc
neposredno	neposredno	Rgp
u	u	Sl
Sektoru	sektor	Ncmsl
,	,	Z
izvan	izvan	Sg
sastava	sastav	Ncmsg
nižih	nizak	Agcfpgy
ustrojstvenih	ustrojstven	Agpfpgy
jedinica	jedinica	Ncfpg
1	1	Mdc
1.7.1.	1.7.1.	Mdo

Služba	služba	Ncfsn
za	za	Sa
pravne	pravni	Agpmpay
poslove	posao	Ncmpa
i	i	Cc
ljudske	ljudski	Agpmpay
potencijale	potencijal	Ncmpa
1	1	Mdc
neposredno	neposredno	Rgp
u	u	Sl
Službi	služba	Ncfsl
,	,	Z
izvan	izvan	Sg
sastava	sastav	Ncmsg
nižih	nizak	Agcfpgy
ustrojstvenih	ustrojstven	Agpfpgy
jedinica	jedinica	Ncfpg
1	1	Mdc
1.7.1.1.	1.7.1.1.	Mdo

Odjel	odjel	Ncmsn
pravnih	pravni	Agpmpgy
poslova	posao	Ncmpg
5	5	Mdc
1.7.1.2.	1.7.1.2.	Y

Odjel	odjel	Ncmsn
za	za	Sa
ljudske	ljudski	Agpmpay
potencijale	potencijal	Ncmpa
20	20	Mdc
1.7.2.	1.7.2.	Y

Služba	služba	Ncfsn
materijalno-financijskih	materijalno-financijski	Agpmpgy
poslova	posao	Ncmpg
1	1	Mdc
neposredno	neposredno	Rgp
u	u	Sl
Službi	služba	Ncfsl
,	,	Z
izvan	izvan	Sg
sastava	sastav	Ncmsg
nižih	nizak	Agcfpgy
ustrojstvenih	ustrojstven	Agpfpgy
jedinica	jedinica	Ncfpg
1	1	Mdc
1.7.2.1.	1.7.2.1.	Mdo

Odjel	odjel	Ncmsn
financijskih	financijski	Agpmpgy
poslova	posao	Ncmpg
13	13	Mdc
1.7.2.2.	1.7.2.2.	Y

Odjel	odjel	Ncmsn
ekonomata	ekonomat	Ncmsg
13	13	Mdc
1.7.2.3.	1.7.2.3.	Y

Odjel	odjel	Ncmsn
uslužnih	uslužan	Agpmpgy
poslova	posao	Ncmpg
239	239	Mdc
1.7.3.	1.7.3.	Y

Služba	služba	Ncfsn
za	za	Sa
tehniku	tehnika	Ncfsa
1	1	Mdc
neposredno	neposredno	Rgp
u	u	Sl
Službi	služba	Ncfsl
,	,	Z
izvan	izvan	Sg
sastava	sastav	Ncmsg
nižih	nizak	Agcfpgy
ustrojstvenih	ustrojstven	Agpfpgy
jedinica	jedinica	Ncfpg
1	1	Mdc
1.7.3.1.	1.7.3.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
informatiku	informatika	Ncfsa
i	i	Cc
komunikacije	komunikacija	Ncfpa
39	39	Mdc
1.7.3.2.	1.7.3.2.	Mdo

Odjel	odjel	Ncmsn
prometne	prometan	Agpfsgy
i	i	Cc
policijske	policijski	Agpfpay
tehnike	tehnika	Ncfpa
29	29	Mdc
1.8.	1.8.	Mdo

Sektor	sektor	Ncmsn
upravnih	upravan	Agpmpgy
i	i	Cc
inspekcijskih	inspekcijski	Agpmpgy
poslova	posao	Ncmpg
1	1	Mdc
neposredno	neposredno	Rgp
u	u	Sl
Sektoru	sektor	Ncmsl
,	,	Z
izvan	izvan	Sg
sastava	sastav	Ncmsg
nižih	nizak	Agcfpgy
ustrojstvenih	ustrojstven	Agpfpgy
jedinica	jedinica	Ncfpg
1	1	Mdc
1.8.1.	1.8.1.	Mdo

Služba	služba	Ncfsn
za	za	Sa
upravne	upravan	Agpmpay
poslove	posao	Ncmpa
1	1	Mdc
neposredno	neposredno	Rgp
u	u	Sl
Službi	služba	Ncfsl
,	,	Z
izvan	izvan	Sg
sastava	sastav	Ncmsg
nižih	nizak	Agcfpgy
ustrojstvenih	ustrojstven	Agpfpgy
jedinica	jedinica	Ncfpg
1	1	Mdc
1.8.1.1.	1.8.1.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
prijavništvo	prijavništvo	Ncnsa
i	i	Cc
osobne	osoban	Agpfpay
isprave	isprava	Ncfpa
97	97	Mdc
1.8.1.2.	1.8.1.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
prometne	prometan	Agpfpay
isprave	isprava	Ncfpa
42	42	Mdc
1.8.1.3.	1.8.1.3.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
poslove	posao	Ncmpa
oružja	oružje	Ncnsg
10	10	Mdc
1.8.2.	1.8.2.	Y

Služba	služba	Ncfsn
za	za	Sa
državljanstvo	državljanstvo	Ncnsa
i	i	Cc
statusna	statusni	Agpnpay
pitanja	pitanje	Ncnpa
stranaca	stranac	Ncmpg
1	1	Mdc
neposredno	neposredno	Rgp
u	u	Sl
Službi	služba	Ncfsl
,	,	Z
