iznosi	iznositi	Vmr3s
:	:	Z

a	a	Cc
)	)	Z
10.000,00	10.000,00	Mdc
kuna	kuna	Ncfpg
za	za	Sa
pčelare	pčelar	Ncmpa
koji	koji	Pi-mpn
imaju	imati	Vmr3p
manje	malo	Rgc
od	od	Sg
30	30	Mdc
pčelinjih	pčelinji	Agpfpgy
zajednica	zajednica	Ncfpg
;	;	Z

b	b	Npmsn
)	)	Z
20.000,00	20.000,00	Mdc
kuna	kuna	Ncfpg
za	za	Sa
pčelare	pčelar	Ncmpa
koji	koji	Pi-mpn
imaju	imati	Vmr3p
30	30	Mdc
i	i	Cc
više	mnogo	Rgc
pčelinjih	pčelinji	Agpfpgy
zajednica	zajednica	Ncfpg
i	i	Cc
za	za	Sa
organizatore	organizator	Ncmpa
edukacija	edukacija	Ncfpg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Pčelari	pčelar	Ncmpn
koji	koji	Pi-mpn
u	u	Sl
Evidenciji	evidencija	Ncfsl
nemaju	nemati	Vmr3p
evidentiranih	evidentirati	Appfpgy
pčelinjih	pčelinji	Agpfpgy
zajednica	zajednica	Ncfpg
nemaju	nemati	Vmr3p
pravo	pravo	Ncnsa
na	na	Sa
korištenje	korištenje	Ncnsa
sredstava	sredstvo	Ncnpg
za	za	Sa
sufinanciranje	sufinanciranje	Ncnsa
nabave	nabava	Ncfsg
novih	nov	Agpnpgy
pomagala	pomagalo	Ncnpg
,	,	Z
pribora	pribor	Ncmsg
i	i	Cc
opreme	oprema	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
koristi	koristiti	Vmr3s
u	u	Sl
pčelarstvu	pčelarstvo	Ncnsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Broj	broj	Ncmsn
pčelinjih	pčelinji	Agpfpgy
zajednica	zajednica	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
i	i	Cc
6.	6.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
je	biti	Var3s
broj	broj	Ncmsn
pčelinjih	pčelinji	Agpfpgy
zajednica	zajednica	Ncfpg
u	u	Sl
Evidenciji	Evidencija	Npfsl
na	na	Sa
dan	dan	Ncmsan
30.	30.	Mdo
travnja	travanj	Ncmsg
2015.	2015.	Mdo
godine	godina	Ncfsg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
mjere	mjera	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
točka	točka	Ncfsn
a	a	Cc
)	)	Z
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
voditi	voditi	Vmn
