osnivanja	osnivanje	Ncnsg
spisa	spis	Ncmsg
,	,	Z
sud	sud	Ncmsn
će	htjeti	Var3s
ostavinski	ostavinski	Agpmsny
predmet	predmet	Ncmsn
povjeriti	povjeriti	Vmn
javnom	javan	Agpmsdy
bilježniku	bilježnik	Ncmsd
prema	prema	Sl
pravilima	pravilo	Ncnpl
o	o	Sl
dodjeljivanju	dodjeljivanje	Ncnsl
ostavinskih	ostavinski	Agpmpgy
predmeta	predmet	Ncmpg
u	u	Sa
rad	rad	Ncmsan
javnim	javan	Agpmply
bilježnicima	bilježnik	Ncmpl
propisanim	propisati	Appmsiy
Zakonom	zakon	Ncmsi
o	o	Sl
nasljeđivanju	nasljeđivanje	Ncnsl
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
85.	85.	Mdo

U	u	Sl
članku	članak	Ncmsl
315.	315.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
pokretanje	pokretanje	Ncnsn
postupka	postupak	Ncmsg
stečaja	stečaj	Ncmsg
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
otvaranje	otvaranje	Ncnsa
stečajnog	stečajni	Agpmsgy
postupka	postupak	Ncmsg
«	«	Z
.	.	Z

Članak	članak	Ncmsn
86.	86.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Predmeti	predmet	Ncmpn
koji	koji	Pi-mpn
su	biti	Var3p
do	do	Sg
dana	dan	Ncmpg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovih	ovaj	Pd-fpg
Izmjena	izmjena	Ncfpg
i	i	Cc
dopuna	dopuna	Ncfsn
Sudskog	sudski	Agpmsgy
poslovnika	poslovnik	Ncmsg
upisani	upisati	Appmpny
u	u	Sa
upisnike	upisnik	Ncmpa
koji	koji	Pi-mpn
nisu	biti	Var3p
propisani	propisati	Appmpny
ovim	ovaj	Pd-fpi
Izmjenama	izmjena	Ncfpi
i	i	Cc
dopunama	dopuna	Ncfpl
Sudskog	sudski	Agpmsgy
poslovnika	poslovnik	Ncmsg
nastaviti	nastaviti	Vmn
će	htjeti	Var3s
