2.	2.	Mdo
,	,	Z
članka	članak	Ncmsg
29.	29.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
i	i	Cc
članka	članak	Ncmsg
35.	35.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
,	,	Z
a	a	Cc
na	na	Sl
temelju	temelj	Ncmsl
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
godine	godina	Ncfsg
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmpg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Provedbeni	provedbeni	Agpmpny
propisi	propis	Ncmpn
doneseni	donijeti	Appmpny
na	na	Sl
temelju	temelj	Ncmsl
Zakona	zakon	Ncmsg
o	o	Sl
nadzoru	nadzor	Ncmsl
predmeta	predmet	Ncmsg
od	od	Sg
plemenitih	plemenit	Agpfpgy
kovina	kovina	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
76/93.	76/93.	Mds
)	)	Z

–	–	Z
Naredba	naredba	Ncfsn
o	o	Sl
znaku	znak	Ncmsl
proizvođača	proizvođač	Ncmsg
predmeta	predmet	Ncmsg
od	od	Sg
plemenitih	plemenit	Agpfpgy
kovina	kovina	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
9/94.	9/94.	Mds
)	)	Z

–	–	Z
Naredba	naredba	Ncfsn
o	o	Sl
plaćanju	plaćanje	Ncnsl
naknade	naknada	Ncfsg
za	za	Sa
troškove	trošak	Ncmpa
ispitivanja	ispitivanje	Ncnsg
i	i	Cc
žigosanja	žigosanje	Ncnsg
predmeta	predmet	Ncmsg
od	od	Sg
plemenitih	plemenit	Agpfpgy
kovina	kovina	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
5/09.	5/09.	Mds
)	)	Z

–	–	Agpmsny
Pravilnik	pravilnik	Ncmsn
o	o	Sl
oblicima	oblik	Ncmpl
državnih	državni	Agpmpgy
žigova	žig	Ncmpg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
107/93.	107/93.	Mds
i	i	Cc
73/03.	73/03.	Mds
)	)	Z

–	–	Agpmsny
Pravilnik	pravilnik	Ncmsn
o	o	Sl
obliku	oblik	Ncmsl
i	i	Cc
sadržaju	sadržaj	Ncmsl
oznake	oznaka	Ncfsg
čistoće	čistoća	Ncfsg
i	i	Cc
načinu	način	Ncmsl
određivanja	određivanje	Ncnsg
i	i	Cc
obilježavanja	obilježavanje	Ncnsg
stupnjeva	stupanj	Ncmpg
čistoće	čistoća	Ncfsg
predmeta	predmet	Ncmpg
od	od	Sg
plemenitih	plemenit	Agpfpgy
kovina	kovina	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
107/93.	107/93.	Mds
)	)	Z

–	–	Agpmsny
Pravilnik	pravilnik	Ncmsn
o	o	Sl
tehničkim	tehnički	Agpmply
uvjetima	uvjet	Ncmpl
radnog	radni	Agpmsgy
prostora	prostor	Ncmsg
i	i	Cc
opreme	oprema	Ncfsg
za	za	Sa
ispitivanje	ispitivanje	Ncnsa
i	i	Cc
žigosanje	žigosanje	Ncnsa
predmeta	predmet	Ncmsg
od	od	Sg
plemenitih	plemenit	Agpfpgy
kovina	kovina	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
107/93.	107/93.	Mds
)	)	Z

–	–	Agpmsny
Pravilnik	pravilnik	Ncmsn
o	o	Sl
tehničkim	tehnički	Agpmply
uvjetima	uvjet	Ncmpl
kojima	koji	Pi-mpi
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
izradbu	izradba	Ncfsa
moraju	morati	Vmr3p
udovoljavati	udovoljavati	Vmn
predmeti	predmet	Ncmpn
od	od	Sg
plemenitih	plemenit	Agpfpgy
kovina	kovina	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
107/93.	107/93.	Mds
)	)	Z

ostaju	ostajati	Vmr3p
na	na	Sl
snazi	snaga	Ncfsl
do	do	Sg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
provedbenih	provedbeni	Agpmpgy
propisa	propis	Ncmpg
donesenih	donesen	Agpmpgy
na	na	Sl
temelju	temelj	Ncmsl
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
u	u	Sl
dijelu	dio	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
nisu	biti	Var3p
u	u	Sl
suprotnosti	suprotnost	Ncfsl
s	sa	Si
ovim	ovaj	Pd-msi
Zakonom	zakon	Ncmsi
.	.	Z

Članak	članak	Ncmsn
42.	42.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Proizvođači	proizvođač	Ncmpn
predmeta	predmet	Ncmsg
od	od	Sg
plemenitih	plemenit	Agpfpgy
kovina	kovina	Ncfpg
koji	koji	Pi-msn
na	na	Sa
dan	dan	Ncmsan
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
obavljaju	obavljati	Vmr3p
djelatnost	djelatnost	Ncfsa
proizvodnje	proizvodnja	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
popravaka	popravak	Ncmpg
predmeta	predmet	Ncmpg
od	od	Sg
plemenitih	plemenit	Agpfpgy
kovina	kovina	Ncfpg
,	,	Z
nakita	nakit	Ncmpg
i	i	Cc
srodnih	srodan	Agpmpgy
proizvoda	proizvod	Ncmpg
od	od	Sg
plemenitih	plemenit	Agpfpgy
kovina	kovina	Ncfpg
na	na	Sl
temelju	temelj	Ncmsl
Zakona	zakon	Ncmsg
o	o	Sl
nadzoru	nadzor	Ncmsl
predmeta	predmet	Ncmsg
od	od	Sg
plemenitih	plemenit	Agpfpgy
kovina	kovina	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
76/93.	76/93.	Mdo
)	)	Z
dužni	dužan	Agpmpny
su	biti	Var3p
podnijeti	podnijeti	Vmn
zahtjev	zahtjev	Ncmsan
radi	radi	Sg
donošenja	donošenje	Ncnsg
novog	nov	Agpnsgy
rješenja	rješenje	Ncnsg
o	o	Sl
znaku	znak	Ncmsl
proizvođača	proizvođač	Ncmsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
ovim	ovaj	Pd-msi
Zakonom	zakon	Ncmsi
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
tri	tri	Mlc
godine	godina	Ncfsg
od	od	Sg
dana	dan	Ncmsg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
