prikladan	prikladan	Agpmsann
način	način	Ncmsan
.	.	Z

V.	V.	Y
PRIJELAZNE	prijelazan	Agpfpny
I	i	Cc
ZAVRŠNE	završan	Agpfpay
ODREDBE	odredba	Ncfpa

Članak	članak	Ncmsn
23.	23.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Danom	dan	Ncmsi
primjene	primjena	Ncfsg
Zakona	zakon	Ncmsg
,	,	Z
Ministarstvo	ministarstvo	Ncnsn
prestaje	prestajati	Vmr3s
voditi	voditi	Vmn
Registar	registar	Ncmsan
stranih	stran	Agpfpgy
udruga	udruga	Ncfpg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
prema	prema	Sl
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
8.	8.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
udrugama	udruga	Ncfpl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
88/01	88/01	Mdc
i	i	Cc
11/02	11/02	Mds
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Registar	registar	Ncmsn
stranih	stran	Agpfpgy
udruga	udruga	Ncfpg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
koji	koji	Pi-msn
se	sebe	Px--sa
vodio	voditi	Vmp-sm
prema	prema	Sl
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
8.	8.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
udrugama	udruga	Ncfpl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
88/01	88/01	Mds
i	i	Cc
11/02	11/02	Mdc
)	)	Z
,	,	Z
danom	dan	Ncmsi
primjene	primjena	Ncfsg
Zakona	zakon	Ncmsg
,	,	Z
postaje	postajati	Vmr3s
Registar	registar	Ncmsn
stranih	stran	Agpfpgy
udruga	udruga	Ncfpg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Danom	dan	Ncmsi
primjene	primjena	Ncfsg
Zakona	zakon	Ncmsg
,	,	Z
udruge	udruga	Ncfsg
i	i	Cc
strane	strana	Ncfsg
udruge	udruga	Ncfsg
nastavljaju	nastavljati	Vmr3p
djelovati	djelovati	Vmn
pod	pod	Si
uvjetima	uvjet	Ncmpi
utvrđenim	utvrditi	Appmply
svojim	svoj	Px-msi
statutom	statut	Ncmsi
i	i	Cc
Zakonom	Zakon	Npmsi
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Preuzete	preuzet	Agpfsgy
strane	strana	Ncfsg
udruge	udruga	Ncfsg
sukladno	sukladan	Agpnsny
stavku	stavka	Ncfsa
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
postaju	postati	Vmr3p
sastavni	sastavan	Agpmsayn
dio	dio	Ncmsan
Registra	registar	Ncmsg
stranih	stran	Agpfpgy
udruga	udruga	Ncfpg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
i	i	Cc
zadržavaju	zadržavati	Vmr3p
brojeve	broj	Ncmpa
pod	pod	Si
kojima	koji	Pi-mpi
su	biti	Var3p
bile	biti	Vap-pf
upisane	upisati	Appfpny
u	u	Sa
registar	registar	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Članak	članak	Ncmsn
24.	24.	Mdo

Obrasci	obrazac	Ncmpn
broj	broj	Ncmsn
1	1	Mdc
,	,	Z
2	2	Mdc
,	,	Z
3	3	Mdc
,	,	Z
4	4	Mdc
i	i	Cc
5	5	Mdc
čiji	čiji	Pi-msn
je	biti	Var3s
oblik	oblik	Ncmsn
i	i	Cc
sadržaj	sadržaj	Ncmsn
propisan	propisati	Appmsnn
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
,	,	Z
tiskani	tiskati	Appmpny
su	biti	Var3p
uz	uz	Sa
Pravilnik	pravilnik	Ncmsan
i	i	Cc
čine	činiti	Vmr3p
njegov	njegov	Ps3msan
sastavni	sastavan	Agpmsayn
dio	dio	Ncmsan
,	,	Z
a	a	Cc
dostupni	dostupan	Agpmpny
su	biti	Var3p
na	na	Sl
internetskoj	internetski	Agpfsly
stranici	stranica	Ncfsl
nadležnog	nadležan	Agpmsgy
ureda	ured	Ncmsg
i	i	Cc
središnjeg	središnji	Agpnsgy
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležnog	nadležan	Agpmsgy
za	za	Sa
poslove	posao	Ncmpa
opće	opći	Agpfsgy
uprave	uprava	Ncfsg
.	.	Z

Članak	članak	Ncmsn
25.	25.	Mdo

Stupanjem	stupanje	Ncnsi
na	na	Sa
snagu	snaga	Ncfsa
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
Pravilnik	pravilnik	Ncmsan
o	o	Sl
obrascima	obrazac	Ncmpl
i	i	Cc
načinu	način	Ncmsl
vođenja	vođenje	Ncnsg
Registra	registar	Ncmsg
udruga	udruga	Ncfsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
i	i	Cc
Registra	registar	Ncmsg
stranih	stran	Agpfpgy
udruga	udruga	Ncfpg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
11/02	11/02	Mds
i	i	Cc
144/10	144/10	Mds
)	)	Z
.	.	Z

Članak	članak	Ncmsn
26.	26.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
prvog	prvi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
01/14	01/14	Mdc
-	-	Z
01/500	01/500	Mdc
Urbroj	urbroj	Ncmsn
:	:	Z
515	515	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/1	02/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Zagreb	Zagreb	Npmsn
,	,	Z
9.	9.	Mdo
siječnja	siječanj	Ncmsg
2015.	2015.	Mdo

Ministar	ministar	Ncmsn
Arsen	Arsen	Npmsn
Bauk	Bauk	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

OBRASCI	obrazac	Ncmpn

POPIS	popis	Ncmsn
CILJANIH	ciljati	Agpfpgy
SKUPINA	skupina	Ncfpg

CILJANA	ciljati	Appfsny
SKUPINA	skupina	Ncfsn
(	(	Z
prema	prema	Sl
abecednom	abecedni	Agpmsly
redu	red	Ncmsl
)	)	Z
Oznaka	oznaka	Ncfsn
akademska	akademski	Agpfsny
zajednica	zajednica	Ncfsn
001	001	Mdc
azilanti	azilant	Ncmpn
002	002	Mdc
beskućnici	beskućnik	Ncmpn
003	003	Mdc
branitelji	branitelj	Ncmpn
-	-	Z
veterani	veteran	Ncmpn
004	004	Mdc
civilni	civilan	Agpmpny
invalidi	invalid	Ncmpn
rata	rat	Ncmsg
005	005	Mdc
civilni	civilan	Agpmpny
stradalnici	stradalnik	Ncmpn
006	006	Mdc
darovita	darovit	Agpnpny
djeca	dijete	Ncnpn
i	i	Cc
mladi	mlad	Agpmpny
007	007	Mdc
djeca	dijete	Ncnpn
-	-	Z
opća	opći	Agpfsny
populacija	populacija	Ncfsn
008	008	Mdc
djeca	dijete	Ncnpn
bez	bez	Sg
odgovarajuće	odgovarajući	Agpfsgy
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
009	009	Mdc
djeca	dijete	Ncnpn
do	do	Sg
14	14	Mdc
godina	godina	Ncfpg
010	010	Mdc
djeca	dijete	Ncnpn
od	od	Sg
14	14	Mdc
do	do	Sg
18	18	Mdc
godina	godina	Ncfpg
011	011	Mdc
djeca	dijete	Ncnpn
iz	iz	Sg
obitelji	obitelj	Ncfsg
korisnika	korisnik	Ncmpg
sustava	sustav	Ncmsg
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
012	012	Mdc
djeca	dijete	Ncfpg
ratnih	ratni	Agpmpgy
stradalnika	stradalnik	Ncmpg
013	013	Mdc
djeca	dijete	Ncmpg
s	sa	Si
poremećajima	poremećaj	Ncmpi
u	u	Sl
ponašanju	ponašanje	Ncnsl
014	014	Mdc
djeca	dijete	Ncnpn
s	sa	Si
teškoćama	teškoća	Ncfpi
u	u	Sl
razvoju	razvoj	Ncmsl
015	015	Mdc
djeca	dijete	Ncmpg
u	u	Sl
riziku	rizik	Ncmsl
od	od	Sg
socijalne	socijalan	Agpfsgy
isključenosti	isključenost	Ncfsg
016	016	Mdc
gluhe	gluh	Agpfsgy
osobe	osoba	Ncfsg
017	017	Mdc
gluhonijeme	gluhonijem	Agpfsgy
osobe	osoba	Ncfsg
018	018	Mdc
građani	građanin	Ncmpn
–	–	Z
opća	opći	Agpfsny
populacija	populacija	Ncfsn
019	019	Mdc
ilegalni	ilegalan	Agpmpny
imigranti	imigrant	Ncmpn
020	020	Mdc
inovatori	inovator	Ncmpn
021	021	Mdc
invalidi	invalid	Ncmpn
Domovinskog	domovinski	Agpmsgy
rata	rat	Ncmsg
022	022	Mdc
invalidi	invalid	Ncmpn
rada	rad	Ncmsg
023	023	Mdc
izbjeglice	izbjeglica	Ncfpn
i	i	Cc
prognanici	prognanik	Ncmpn
024	024	Mdc
izviđači	izviđač	Ncmpn
025	025	Mdc
jedno	jedan	Mlcnsn
roditeljske	roditeljski	Agpfsgy
obitelji	obitelj	Ncfsg
026	026	Mdc
lokalna	lokalan	Agpfsny
i	i	Cc
regionalna	regionalan	Agpfsny
samouprava	samouprava	Ncfsn
027	027	Mdc
lovci	lovac	Ncmpn
028	028	Mdc
ljubitelji	ljubitelj	Ncmpn
životinja	životinja	Ncfpg
029	029	Mdc
mali	mali	Agpmsny
i	i	Cc
srednji	srednji	Agpmpny
poduzetnici	poduzetnica	Ncmpn
i	i	Cc
obrtnici	obrtnik	Ncmpn
030	030	Mdc
manjine	manjina	Ncfsg
-	-	Z
općenito	preopćenito	Rgp
031	031	Mdc
predstavnici	predstavnik	Ncmpn
medija	medij	Ncmpg
032	032	Mdc
mladi	mlad	Agpmpny
-	-	Z
opća	opći	Agpfsny
populacija	populacija	Ncfsn
033	033	Mdc
mladi	mlad	Agpmpny
s	sa	Si
poremećajima	poremećaj	Ncmpi
u	u	Sl
ponašanju	ponašanje	Ncnsl
034	034	Mdc
mladi	mlad	Agpmpny
s	sa	Si
rizičnim	rizičan	Agpmpiy
oblicima	oblik	Ncmpi
ponašanja	ponašanje	Ncnsg
035	035	Mdc
mladi	mlad	Agpmpny
s	sa	Si
teškoćama	teškoća	Ncfpi
u	u	Sl
razvoju	razvoj	Ncmsl
036	036	Mdc
nacionalne	nacionalan	Agpfsgy
manjine	manjina	Ncfsg
037	037	Mdc
navijačke	navijački	Agpfsgy
skupine	skupina	Ncfsg
038	038	Mdc
nezaposleni	nezaposlen	Agpmpny
039	039	Mdc
novorođenčad	novorođenče	Sg
040	040	Mdc
obitelji	obitelj	Ncfsg
041	041	Mdc
obitelji	obitelj	Ncfsg
branitelja	branitelj	Ncmpg
042	042	Mdc
odgojno-obrazovne	odgojno-obrazovan	Agpfsgy
ustanove	ustanova	Ncfsg
043	043	Mdc
odgojno-obrazovni	odgojno-obrazovan	Agpmpny
djelatnici	djelatnik	Ncmpn
044	044	Mdc
opća	opći	Agpfsny
populacija	populacija	Ncfsn
pacijenata	pacijent	Ncmpg
045	045	Mdc
osobe	osoba	Ncfpa
s	sa	Si
cerebralnom	cerebralni	Agpfsiy
i	i	Cc
dječjom	dječji	Agpfsiy
paralizom	paraliza	Ncfsi
046	046	Mdc
osobe	osoba	Ncfpn
s	sa	Si
mentalnom	mentalan	Agpfsiy
retardacijom	retardacija	Ncfsi
047	047	Mdc
osobe	osoba	Ncfpn
s	sa	Si
psiho-socijalnim	psiho-socijalan	Agpfpiy
teškoćama	teškoća	Ncfpi
048	048	Mdc
osobe	osoba	Ncfpa
s	sa	Si
mišićnom	mišićni	Agpfsiy
distrofijom	distrofija	Ncfsi
049	049	Mdc
osobe	osoba	Ncfpn
s	sa	Si
multiplom	multipli	Agpfsiy
sklerozom	skleroza	Ncfsi
050	050	Mdc
osobe	osoba	Ncfpn
s	sa	Si
miastenijom	miastenija	Ncfsi
gravis	gravis	Agpfsgy
051	051	Mdc
osobe	osoba	Ncfpa
s	sa	Si
amputacijom	amputacija	Ncfsi
052	052	Mdc
osobe	osoba	Ncfsg
s	sa	Si
paraplegijom	paraplegija	Ncfsi
/	/	Z
tetraplegijom	tetraplegija	Ncfsi
053	053	Mdc
osobe	osoba	Ncfpn
s	sa	Si
transplantiranim	transplantirati	Agpmpiy
organima	organ	Ncmpi
054	054	Mdc
osobe	osoba	Ncfpn
koje	koji	Pi-fpn
boluju	bolovati	Vmr3p
od	od	Sg
kroničnih	kroničan	Agpfpgy
bolesti	bolest	Ncfpg
055	055	Mdc
osobe	osoba	Ncfpa
koje	koji	Pi-fpn
boluju	bolovati	Vmr3p
od	od	Sg
malignih	maligan	Agpfpgy
bolesti	bolest	Ncfpg
056	056	Mdc
osobe	osoba	Ncfpa
koje	koji	Pi-fpn
boluju	bolovati	Vmr3p
od	od	Sg
zaraznih	zarazan	Agpfpgy
bolesti	bolest	Ncfpg
057	057	Mdc
osobe	osoba	Ncfsg
s	sa	Si
HIV	H	Npmsi
/	/	Z
AIDS-om	AIDS	Npmsi
058	058	Mdc
osobe	osoba	Ncfpa
s	sa	Si
invaliditetom	invaliditet	Ncmsi
059	059	Mdc
osobe	osoba	Ncfpa
s	sa	Si
intelektualnim	intelektualan	Agpfpiy
teškoćama	teškoća	Ncfpi
060	060	Mdc
osobe	osoba	Ncfpa
starije	star	Agcfsgy
životne	životan	Agpfsgy
dobi	dob	Ncfsg
061	061	Mdc
osobe	osoba	Ncfsg
u	u	Sl
riziku	rizik	Ncmsl
od	od	Sg
siromaštva	siromaštvo	Ncnsg
i	i	Cc
siromašne	siromašan	Agpfsgy
osobe	osoba	Ncfsg
062	062	Mdc
ovisnici	ovisnik	Ncmpn
i	i	Cc
liječeni	liječiti	Appmpny
ovisnici	ovisnik	Ncmpn
063	063	Mdc
ovisnici	ovisnik	Ncmpn
i	i	Cc
liječeni	liječiti	Appmpny
ovisnici	ovisnik	Ncmpn
o	o	Sl
alkoholu	alkohol	Ncmsl
064	064	Mdc
ovisnici	ovisnica	Ncfsl
i	i	Cc
liječeni	liječiti	Appmpny
ovisnici	ovisnik	Ncmpn
o	o	Sl
nikotinu	nikotin	Ncmsl
065	065	Mdc
ovisnici	ovisnica	Ncfsl
i	i	Cc
liječeni	liječiti	Appmpny
ovisnici	ovisnik	Ncmpn
o	o	Sl
opojnim	opojan	Agpfply
drogama	droga	Ncfpl
066	066	Mdc
policijski	policijski	Agpmpny
službenici	službenik	Ncmpn
067	067	Mdc
poljoprivrednici	poljoprivrednik	Ncmpn
i	i	Cc
ribari	ribariti	Vmr3s
068	068	Mdc
poslodavci	poslodavac	Ncmpn
069	069	Mdc
poslovne	poslovan	Agpfsgy
organizacije	organizacija	Ncfsg
070	070	Mdc
potrošači	potrošač	Ncmpn
071	071	Mdc
povratnici	povratnik	Ncmpn
u	u	Sa
poratna	poratni	Agpnpay
područja	područje	Ncnpa
072	072	Mdc
pravosudni	pravosudni	Agpmpny
djelatnici	djelatnik	Ncmpn
073	073	Mdc
regionalna	regionalan	Agpfsny
ili	ili	Cc
lokalna	lokalan	Agpfsny
samouprava	samouprava	Ncfsn
074	074	Mdc
roditelji	roditelj	Ncmpn
075	075	Mdc
roditelji	roditelj	Ncmpn
djece	dijete	Ncnpg
s	sa	Si
teškoćama	teškoća	Ncfpi
u	u	Sl
razvoju	razvoj	Ncmsl
076	076	Mdc
Romi	Roma	Npfsl
077	077	Mdc
romska	romski	Agpnpny
