predloženih	predložen	Agpfpgy
izmjena	izmjena	Ncfpg
i	i	Cc
dopuna	dopuna	Ncfsn
radi	radi	Sg
usklađenja	usklađenje	Ncnsg
s	sa	Si
pravilima	pravilo	Ncnpi
o	o	Sl
državnim	državni	Agpfply
potporama	potpora	Ncfpl
,	,	Z
Ministarstvo	ministarstvo	Ncnsn
će	htjeti	Var3s
postupiti	postupiti	Vmn
po	po	Sl
zahtjevu	zahtjev	Ncmsl
davatelja	davatelj	Ncmpg
državne	državni	Agpfsgy
potpore	potpora	Ncfsg
i	i	Cc
neispravljeni	neispravljen	Agpmsayn
prijedlog	prijedlog	Ncmsan
prijaviti	prijaviti	Vmn
Europskoj	europski	Agpfsdy
komisiji	komisija	Ncfsd
bez	bez	Sg
odgode	odgoda	Ncfsg
te	te	Cc
o	o	Sl
istome	isti	Ncfpl
obavijestiti	obavijestiti	Vmn
davatelja	davatelj	Ncmpg
državne	državni	Agpfsgy
potpore	potpora	Ncfsg
.	.	Z

(	(	Z
12	12	Mdc
)	)	Z
Ako	ako	Cs
davatelj	davatelj	Ncmsn
državne	državni	Agpfsgy
potpore	potpora	Ncfsg
koju	koji	Pi-fsa
je	biti	Var3s
Ministarstvo	ministarstvo	Ncnsn
prijavilo	prijaviti	Vmp-sn
Europskoj	europski	Agpfsdy
komisiji	komisija	Ncfsd
odustane	odustati	Vmr3s
od	od	Sg
namjere	namjera	Ncfsg
dodjele	dodjela	Ncfsg
državne	državni	Agpfsgy
potpore	potpora	Ncfsg
,	,	Z
o	o	Sl
tome	taj	Pd-nsl
će	htjeti	Var3s
bez	bez	Sg
odgode	odgoda	Ncfsg
izvijestiti	izvijestiti	Vmn
Ministarstvo	ministarstvo	Ncnsa
,	,	Z
te	te	Cc
će	htjeti	Var3s
Ministarstvo	ministarstvo	Ncnsn
povući	povući	Vmn
već	već	Rgp
podnesenu	podnesen	Agpfsay
prijavu	prijava	Ncfsa
,	,	Z
osim	osim	Cs
ako	ako	Cs
Europska	europski	Agpfsny
komisija	komisija	Ncfsn
već	već	Rgp
nije	biti	Var3s
donijela	donijeti	Vmp-sf
odluku	odluka	Ncfsa
o	o	Sl
prijavljenoj	prijaviti	Ncfsl
državnoj	državni	Agpfsly
potpori	potpora	Ncfsl
.	.	Z

(	(	Z
13	13	Mdc
)	)	Z
Davatelj	davatelj	Ncmsn
državne	državni	Agpfsgy
potpore	potpora	Ncfsg
ne	ne	Qz
može	moći	Vmr3s
dodijeliti	dodijeliti	Vmn
državnu	državni	Agpfsay
potporu	potpora	Ncfsa
prije	prije	Sg
odobrenja	odobrenje	Ncnsg
Europske	europski	Agpfsgy
komisije	komisija	Ncfsg
.	.	Z

(	(	Z
14	14	Mdc
)	)	Z
Mišljenje	mišljenje	Ncnsn
Ministarstva	ministarstvo	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
o	o	Sl
usklađenosti	usklađenost	Ncfsl
prijedloga	prijedlog	Ncmsg
državne	državni	Agpfsgy
potpore	potpora	Ncfsg
s	sa	Si
pravilima	pravilo	Ncmpi
o	o	Sl
državnim	državni	Agpfply
potporama	potpora	Ncfpl
savjetodavne	savjetodavan	Agpfsgy
su	biti	Var3p
prirode	priroda	Ncfsg
i	i	Cc
ne	ne	Qz
dovode	dovoditi	Vmr3p
u	u	Sa
pitanje	pitanje	Ncnsa
isključivu	isključiv	Agpfsay
ovlast	ovlast	Ncfsa
Europske	europski	Agpfsgy
komisije	komisija	Ncfsg
odobravati	odobravati	Vmn
državne	državni	Agpfpay
potpore	potpora	Ncfpa
.	.	Z

III	III	Mrc
.	.	Z

POSTUPAK	postupak	Ncmsn
DODJELE	dodjela	Ncfsg
DRŽAVNE	državni	Agpfsgy
POTPORE	potpora	Ncfsg
IZUZETE	izuzeti	Vmr2p
OD	od	Sg
PRIJAVE	prijava	Ncfsg
–	–	Z
POTPORE	potpora	Ncfsg
O	o	Sl
SKUPNOM	skupni	Agpnsly
IZUZEĆU	izuzeće	Ncnsl
I	i	Cc
POTPORE	potpora	Ncfpn
MALE	mali	Agpfsgy
VRIJEDNOSTI	vrijednost	Ncfsg

a	a	Cc
)	)	Z
Prijava	prijava	Ncfsn
prijedloga	prijedlog	Ncmsg
državne	državni	Agpfsgy
potpore	potpora	Ncfsg
o	o	Sl
skupnom	skupni	Agpnsly
izuzeću	izuzeće	Ncnsl
i	i	Cc
davanje	davanje	Ncnsa
mišljenja	mišljenje	Ncnsg

Članak	članak	Ncmsn
5.	5.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Davatelj	davatelj	Ncmsn
državne	državni	Agpfsgy
potpore	potpora	Ncfsg
dostavlja	dostavljati	Vmr3s
Ministarstvu	ministarstvo	Ncnsl
prijedlog	prijedlog	Ncmsn
državne	državni	Agpfsgy
potpore	potpora	Ncfsg
–	i	Agpfsgy
potpore	potpora	Ncfsg
o	o	Sl
skupnom	skupni	Agpnsly
izuzeću	izuzeće	Ncnsl
radi	radi	Sg
davanja	davanje	Ncnsg
mišljenja	mišljenje	Ncnsg
o	o	Sl
usklađenosti	usklađenost	Ncfsl
sadržaja	sadržaj	Ncmsg
prijedloga	prijedlog	Ncmsg
s	sa	Si
Uredbom	uredba	Ncfsi
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1388/2014	1388/2014	Mdc
,	,	Z
osim	osim	Cs
u	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
je	biti	Var3s
davatelj	davatelj	Ncmsn
državne	državni	Agpfsgy
potpore	potpora	Ncfsg
Ministarstvo	ministarstvo	Ncnsn
koje	koji	Pi-nsn
će	htjeti	Var3s
izraditi	izraditi	Vmn
prijedlog	prijedlog	Ncmsan
državne	državni	Agpfsgy
potpore	potpora	Ncfsg
o	o	Sl
skupnom	skupni	Agpnsly
izuzeću	izuzeće	Ncnsl
i	i	Cc
uputiti	uputiti	Vmn
ga	on	Pp3msa
čelniku	čelnik	Ncmsd
tijela	tijelo	Ncnsg
na	na	Sa
odobrenje	odobrenje	Ncnsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Uz	uz	Sa
prijedlog	prijedlog	Ncmsan
državne	državni	Agpfsgy
potpore	potpora	Ncfsg
o	o	Sl
skupnom	skupni	Agpnsly
izuzeću	izuzeće	Ncnsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
davatelj	davatelj	Ncmsn
državne	državni	Agpfsgy
potpore	potpora	Ncfsg
dužan	dužan	Agpmsnn
je	biti	Var3s
Ministarstvu	ministarstvo	Ncnsd
dostaviti	dostaviti	Vmn
i	i	Cc
popunjeni	popuniti	Agpmsayn
Obrazac	obrazac	Ncmsan
prijave	prijava	Ncfsg
potpore	potpora	Ncfsg
o	o	Sl
skupnom	skupni	Agpnsly
izuzeću	izuzeće	Ncnsl
