intersticija	interstican	Agpnpgy
pluća	pluća	Ncnpg
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
KK		Ncmsi
1,04	1,04	Mdc
19.500,00	19.500,00	Mdc
E74B	E74B	Pi-fsn
Bolest	bolest	Ncfsn
intersticija	intersticij	Ncmpg
pluća	pluća	Ncnpg
s	sa	Si
teškim	težak	Agpmpiy
KK	k	Ncmpi
0,87	0,87	Mdc
16.312,50	16.312,50	Mdc
E74C	E74C	Pi-fsn
Bolest	bolest	Ncfsn
intersticija	intersticija	Ncfpg
pluća	pluća	Ncnpg
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,86	0,86	Mdc
16.125,00	16.125,00	Mdc
E75A	E75A	Pd-mpn
Ostali	ostali	Agpmpny
poremećaji	poremećaj	Ncmpn
dišnog	dišni	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
dob	dob	Ncfsn
>	>	Z
64	64	Mdc
godine	godina	Ncfsg
s	sa	Si
KK		Npmsi
0,91	0,91	Mdc
17.062,50	17.062,50	Mdc
E75B	E75B	Pd-mpn
Ostali	ostali	Agpmpny
poremećaji	poremećaj	Ncmpn
dišnog	dišni	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
dob	dob	Ncfsn
>	>	Z
64	64	Mdc
godine	godina	Ncfsg
,	,	Z
ili	ili	Cc
s	sa	Si
KK		Npmsi
0,68	0,68	Mdc
12.750,00	12.750,00	Mdc
E75C	E75C	Pd-mpn
Ostali	ostali	Agpmpny
poremećaji	poremećaj	Ncmpn
dišnog	dišni	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
dob	dob	Ncfsn
<	<	Z
65	65	Mdc
godina	godina	Ncfpg
bez	bez	Sg
KK	K	Npmsg
0,49	0,49	Mdc
9.187,50	9.187,50	Mdc
F01A	f01i	Agpnsny
Umetanje	umetanje	Ncnsn
ili	ili	Cc
zamjena	zamjena	Ncfsn
automatskog	automatski	Agpmsgy
kardioverter-defibrilatora	kardioverter-defibrilator	Ncmsg
,	,	Z
potpuni	potpun	Agpmsny
sustav	sustav	Ncmsn
,	,	Z
