G07B	g07i	Agpfsny
Apendektomija	apendektomija	Ncfsn
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,65	0,65	Mdc
12.187,50	12.187,50	Mdc
G08A	g08	Ncmpg
Abdominalni	abdominalan	Agpmpny
i	i	Cc
ostali	ostali	Agpmpny
postupci	postupak	Ncmpn
zbog	zbog	Sg
hernija	hernija	Ncfpg
,	,	Z
dob	dob	Ncfsn
>	>	Z
59	59	Mdc
godina	godina	Ncfpg
,	,	Z
ili	ili	Cc
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
0,71	0,71	Mdc
13.312,50	13.312,50	Mdc
G08B	G08B	Mdo
Abdominalni	abdominalan	Agpmpny
i	i	Cc
ostali	ostali	Agpmpny
postupci	postupak	Ncmpn
zbog	zbog	Sg
hernija	hernija	Ncfpg
,	,	Z
dob	dob	Ncfsn
1	1	Mdc
-	-	Z
59	59	Mdc
godina	godina	Ncfpg
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,54	0,54	Mdc
10.125,00	10.125,00	Mdc
G09Z	g09z	Agpmpny
Postupci	postupak	Ncmpn
zbog	zbog	Sg
ingvinalne	ingvinalni	Agpfsgy
i	i	Cc
femoralne	femoralni	Agpfsgy
hernije	hernija	Ncfsg
,	,	Z
dob	dob	Ncfsn
>	>	Z
0	0	Mdc
godina	godina	Ncfpg
0,49	0,49	Mdc
9.187,50	9.187,50	Mdc
G10Z	g10z	Agpmpny
Postupci	postupak	Ncmpn
zbog	zbog	Sg
hernije	hernija	Ncfsg
,	,	Z
dob	dob	Ncfsn
<	<	Z
1	1	Mdc
godine	godina	Ncfsg
0,45	0,45	Mdc
8.437,50	8.437,50	Mdc
G11A	g11a	Mlompn
Postupci	postupak	Ncmpn
na	na	Sl
anusu	anus	Ncmsl
i	i	Cc
stome	stom	Ncmpa
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
1,96	1,96	Mdc
36.750,00	36.750,00	Mdc
G11B	g11b	Agpmpny
Postupci	postupak	Ncmpn
na	na	Sl
anusu	anus	Ncmsl
i	i	Cc
stome	stom	Ncmpa
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,89	0,89	Mdc
16.687,50	16.687,50	Mdc
G12A	G12	Npmsg
Ostali	ostali	Agpmpny
operativni	operativan	Agpmpny
postupci	postupak	Ncmpn
na	na	Sl
probavnom	probavni	Agpmsly
sustavu	sustav	Ncmsl
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
2,51	2,51	Mdc
47.062,50	47.062,50	Mdc
G12B	G12B	Pd-mpn
Ostali	ostali	Agpmpny
operativni	operativan	Agpmpny
postupci	postupak	Ncmpn
na	na	Sl
probavnom	probavni	Agpmsly
sustavu	sustav	Ncmsl
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
1,22	1,22	Mdc
22.875,00	22.875,00	Mdc
G42A	G42	Npmsg
Ostali	ostali	Agpmpny
gastroskopski	gastroskopski	Agpmpny
postupci	postupak	Ncmpn
zbog	zbog	Sg
velike	velik	Agpfsgy
bolesti	bolest	Ncfsg
probavnog	probavni	Agpmsgy
sustava	sustav	Ncmsg
0,75	0,75	Mdc
14.062,50	14.062,50	Mdc
G42B	G42B	Pd-mpn
Ostali	ostali	Agpmpny
gastroskopski	gastroskopski	Agpmpny
postupci	postupak	Ncmpn
zbog	zbog	Sg
velike	velik	Agpfsgy
bolesti	bolest	Ncfsg
probavnog	probavni	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
isti	isti	Agpmsayn
dan	dan	Ncmsan
0,17	0,17	Mdc
3.187,50	3.187,50	Mdc
G43Z	G43Z	Sa
Složena	složiti	Appfsny
kolonoskopija	kolonoskopija	Ncfsn
0,21	0,21	Mdc
3.937,50	3.937,50	Mdc
G44A	G44	Npmsg
Ostali	ostali	Agpmpny
kolonoskopski	kolonoskopski	Agpmpny
postupci	postupak	Ncmpn
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
1,09	1,09	Mdc
20.437,50	20.437,50	Mdc
G44B	G44B	Pd-mpn
Ostali	ostali	Agpmpny
kolonoskopski	kolonoskopski	Agpmpny
postupci	postupak	Ncmpn
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,51	0,51	Mdc
9.562,50	9.562,50	Mdc
G44C	g44i	Agpnsny
Ostalo	ostali	Agpnsny
kolonoskopski	kolonoskopski	Agpmpny
postupci	postupak	Ncmpn
,	,	Z
isti	isti	Agpmsayn
dan	dan	Ncmsan
0,15	0,15	Mdc
2.812,50	2.812,50	Mdc
G45A	g45	Ncmpg
Ostali	ostali	Agpmpny
gastroskopski	gastroskopski	Agpmpny
postupci	postupak	Ncmpn
zbog	zbog	Sg
manje	mali	Agcfsgy
bolesti	bolest	Ncfsg
probavnog	probavni	Agpmsgy
sustava	sustav	Ncmsg
0,6	0,6	Mdc
11.250,00	11.250,00	Mdc
G45B	G45B	Pd-mpn
Ostali	ostali	Agpmpny
gastroskopski	gastroskopski	Agpmpny
postupci	postupak	Ncmpn
zbog	zbog	Sg
manje	mali	Agcfsgy
bolesti	bolest	Ncfsg
probavnog	probavni	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
isti	isti	Agpmsayn
dan	dan	Ncmsan
0,18	0,18	Mdc
3.375,00	3.375,00	Mdc
G46A	g46	Ncmpg
Složena	složiti	Appfsny
gastroskopija	gastroskopija	Ncfsn
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
0,88	0,88	Mdc
16.500,00	16.500,00	Mdc
G46B	g46	Ncmpg
Složena	složiti	Appfsny
gastroskopija	gastroskopija	Ncfsn
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,7	0,7	Mdc
13.125,00	13.125,00	Mdc
G46C	G46C	Pi-fsn
Složena	složen	Agpfsny
gastroskopija	gastroskopija	Ncfsn
,	,	Z
isti	isti	Agpmsayn
dan	dan	Ncmsan
0,15	0,15	Mdc
2.812,50	2.812,50	Mdc
G60A	G60A	Sa
Maligna	maligan	Agpfsny
bolest	bolest	Ncfsn
probavnog	probavni	Agpmsgy
sustava	sustav	Ncmsg
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
2,15	2,15	Mdc
40.312,50	40.312,50	Mdc
G60B	G60B	Y
Maligna	maligan	Agpfsny
bolest	bolest	Ncfsn
probavnog	probavni	Agpmsgy
