šest	šest	Mlc
mjeseci	mjesec	Ncmpg
od	od	Sg
dana	dan	Ncmpg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
donijeti	donijeti	Vmn
uredbu	uredba	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
11.	11.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Članak	članak	Ncmsn
23.	23.	Mdo

Državni	državni	Agpmsny
zavod	zavod	Ncmsn
za	za	Sa
radiološku	radiološki	Agpfsay
i	i	Cc
nuklearnu	nuklearan	Agpfsay
sigurnost	sigurnost	Ncfsa
će	htjeti	Var3s
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
dvije	dva	Agpfsgy
godine	godina	Ncfsg
od	od	Sg
dana	dan	Ncmpg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
donijeti	donijeti	Vmn
pravilnik	pravilnik	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
6.	6.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Članak	članak	Ncmsn
24.	24.	Mdo

Vijeće	vijeće	Ncnsn
za	za	Sa
nuklearnu	nuklearan	Agpfsay
sigurnost	sigurnost	Ncfsa
osnovano	osnovati	Appnsny
na	na	Sl
temelju	temelj	Ncmsl
članka	članak	Ncmsg
25.	25.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
nuklearnoj	nuklearan	Agpfsly
sigurnosti	sigurnost	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
173/03.	173/03.	Mds
)	)	Z
prestaje	prestajati	Vmr3s
s	sa	Si
radom	rad	Ncmsi
na	na	Sa
dan	dan	Ncmsan
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Članak	članak	Ncmsn
25.	25.	Mdo

Ovaj	ovaj	Pd-msn
Zakon	zakon	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmoga	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
022	022	Mdc
-	-	Z
03/15	03/15	Mdc
-	-	Z
01/33	01/33	Mdc
Zagreb	Zagreb	Npmsn
,	,	Z
27.	27.	Mdo
ožujka	ožujak	Ncmsg
2015.	2015.	Mdo

HRVATSKI	hrvatski	Agpmsny
SABOR	sabor	Ncmsn

Predsjednik	predsjednik	Ncmsn
Hrvatskoga	hrvatski	Agpmsgy
sabora	sabor	Ncmsg
Josip	Josip	Npmsn
Leko	Leko	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

