HZMO	HZMO	Npmsn
)	)	Z
ili	ili	Cc
potvrdu	potvrda	Ncfsa
poslodavca	poslodavac	Ncmsg
o	o	Sl
radnom	radni	Agpnsly
iskustvu	iskustvo	Ncnsl
u	u	Sl
struci	struka	Ncfsl
;	;	Z

3.	3.	Mdo
opis	opis	Ncmsan
radnog	radni	Agpnsgy
iskustva	iskustvo	Ncnsg
na	na	Sl
poslovima	posao	Ncmpl
u	u	Sl
struci	struka	Ncfsl
.	.	Z

Svrha	svrha	Ncfsn
Programa	program	Ncmsg
izobrazbe	izobrazba	Ncfsg

Članak	članak	Ncmsn
28.	28.	Mdo

Certificirani	certificiran	Agpmpny
instalateri	instalater	Ncmpn
nakon	nakon	Sg
uspješno	uspješno	Rgp
završenog	završen	Agpmsgy
Programa	program	Ncmsg
izobrazbe	izobrazba	Ncfsg
moraju	morati	Vmr3p
:	:	Z

1.	1.	Mdo
vladati	vladati	Vmn
vještinama	vještina	Ncfpi
i	i	Cc
znanjem	znanje	Ncnsi
potrebnim	potreban	Agpnsiy
za	za	Sa
ugradnju	ugradnja	Ncfsa
manjih	mali	Agcmpgy
kotlova	kotao	Ncmpg
i	i	Cc
peći	peći	Vmn
na	na	Sa
biomasu	biomasa	Ncfsa
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
ispunio	ispuniti	Vmp-sm
zahtjev	zahtjev	Ncmsn
kvalitete	kvaliteta	Ncfsg
koju	koji	Pi-fsa
traži	tražiti	Vmr3s
naručitelj	naručitelj	Ncmsn
uz	uz	Sa
uvažavanje	uvažavanje	Ncnsa
pravila	pravilo	Ncnsg
struke	struka	Ncfsg
,	,	Z
uputa	uputa	Ncfsn
proizvođača	proizvođač	Ncmsg
i	i	Cc
propisa	propis	Ncmpg
iz	iz	Sg
područja	područje	Ncnsg
energetske	energetski	Agpfsgy
učinkovitosti	učinkovitost	Ncfsg
i	i	Cc
zaštite	zaštita	Ncfsg
okoliša	okoliš	Ncmsg
;	;	Z

2.	2.	Mdo
biti	biti	Van
osposobljeni	osposobiti	Appmpny
za	za	Sa
siguran	siguran	Agpmsann
rad	rad	Ncmsan
koristeći	koristiti	Rr
potrebne	potreban	Agpmpay
alate	alat	Ncmpa
i	i	Cc
opremu	oprema	Ncfsa
,	,	Z
uz	uz	Sa
uvažavanja	uvažavanje	Ncnpa
propisa	propis	Ncmpg
i	i	Cc
normi	norma	Ncfpg
za	za	Sa
zaštitu	zaštita	Ncfsa
na	na	Sl
radu	rad	Ncmsl
te	te	Cc
prepoznavati	prepoznavati	Vmn
potencijalne	potencijalan	Agpmpay
izvore	izvor	Ncmpa
opasnosti	opasnost	Ncfsg
povezane	povezan	Agpfsgy
s	sa	Si
ugradnjom	ugradnja	Ncfsi
manjih	mali	Agcmpgy
kotlova	kotao	Ncmpg
