zastupnička	zastupnički	Agpnpny
pitanja	pitanje	Ncnpn
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
Sektora	sektor	Ncmsg
.	.	Z

Sektor	sektor	Ncmsn
obavlja	obavljati	Vmr3s
stručne	stručan	Agpmpay
poslove	posao	Ncmpa
vezane	vezan	Agpmpay
za	za	Sa
davanje	davanje	Ncnsa
preporuka	preporuka	Ncfpg
za	za	Sa
prijam	prijam	Ncmsan
u	u	Sa
hrvatsko	hrvatski	Agpnsay
državljanstvo	državljanstvo	Ncnsa
hrvatskim	hrvatski	Agpmpiy
braniteljima	branitelj	Ncmpi
iz	iz	Sg
Domovinskog	domovinski	Agpmsgy
rata	rat	Ncmsg
i	i	Cc
članovima	član	Ncmpd
obitelji	obitelj	Ncfsg
smrtno	smrtno	Rgp
stradalog	stradali	Agpnsgy
,	,	Z
zatočenog	zatočiti	Appnsgy
ili	ili	Cc
nestalog	nestali	Agpmsgy
hrvatskog	hrvatski	Agpmsgy
branitelja	branitelj	Ncmsg
iz	iz	Sg
Domovinskog	domovinski	Agpmsgy
rata	rat	Ncmsg
.	.	Z

Sektor	sektor	Ncmsn
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
izradi	izrada	Ncfsl
strateškog	strateški	Agpmsgy
plana	plan	Ncmsg
Ministarstva	ministarstvo	Ncnsg
u	u	Sl
dijelu	dio	Ncmsl
definiranja	definiranje	Ncnsg
ciljeva	cilj	Ncmpg
,	,	Z
načina	način	Ncmpg
ostvarenja	ostvarenje	Ncnsg
i	i	Cc
pokazatelja	pokazatelj	Ncmpg
uspješnosti	uspješnost	Ncfsg
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
njegovo	njegov	Agpnsay
područje	područje	Ncnsa
rada	rad	Ncmsg
,	,	Z
prati	pratiti	Vmr3s
ispunjavanje	ispunjavanje	Ncnsa
postavljenih	postavljen	Agpmpgy
ciljeva	cilj	Ncmpg
te	te	Cc
osigurava	osiguravati	Vmr3s
informacije	informacija	Ncfpa
za	za	Sa
redovito	redovito	Rgp
polugodišnje	polugodišnji	Agpfsgy
i	i	Cc
godišnje	godišnji	Agpnsay
izvještavanje	izvještavanje	Ncnsa
o	o	Sl
postignutim	postignuti	Agpmply
rezultatima	rezultat	Ncmpl
iz	iz	Sg
svog	svoj	Px-nsg
područja	područje	Ncnsg
rada	rad	Ncmsg
,	,	Z
utvrđuje	utvrđivati	Vmr3s
rizike	rizik	Ncmpa
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
definirane	definirati	Agpmpay
ciljeve	cilj	Ncmpa
,	,	Z
procjenjuje	procjenjivati	Vmr3s
učinak	učinak	Ncmsan
i	i	Cc
vjerojatnost	vjerojatnost	Ncfsn
rizika	rizik	Ncmsg
,	,	Z
postupa	postupati	Vmr3s
po	po	Sl
rizicima	rizik	Ncmpl
,	,	Z
prati	pratiti	Vmr3s
ih	oni	Pp3-pa
i	i	Cc
izvješćuje	izvješćivati	Vmr3s
o	o	Sl
njima	oni	Pp3-pl
voditelja	voditelj	Ncmpg
za	za	Sa
FMC	FMC	Npmsan
u	u	Sl
Ministarstvu	ministarstvo	Ncnsl
.	.	Z

Analizira	analizirati	Vmr3s
postojeće	postojeći	Agpnsay
stanje	stanje	Ncnsa
u	u	Sl
području	područje	Ncnsl
priznavanja	priznavanje	Ncnsg
statusa	status	Ncmsg
i	i	Cc
prava	pravo	Ncnsg
navedenog	naveden	Agpmsgy
kruga	krug	Ncmsg
korisnika	korisnik	Ncmpg
prava	pravo	Ncnsg
kako	kako	Cs
bi	biti	Vaa3p
programi	program	Ncmpn
utvrđeni	utvrditi	Appmpny
državnim	državni	Agpmsiy
proračunom	proračun	Ncmsi
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
odražavali	odražavati	Vmp-pm
utvrđene	utvrditi	Agpmpay
posebne	poseban	Agpmpay
ciljeve	cilj	Ncmpa
iz	iz	Sg
Strateškog	strateški	Agpmsgy
plana	plan	Ncmsg
,	,	Z
a	a	Cc
načini	način	Ncmpn
ostvarivanja	ostvarivanje	Ncnsg
proračunske	proračunski	Agpfsgy
aktivnosti	aktivnost	Ncfsg
te	te	Cc
postigla	postići	Vmp-sf
međusobna	međusoban	Agpfsny
povezanost	povezanost	Ncfsn
strateškog	strateški	Agpmsgy
i	i	Cc
proračunskog	proračunski	Agpnsgy
planiranja	planiranje	Ncnsg
.	.	Z

Odgovoran	odgovoran	Agpmsnn
je	biti	Var3s
za	za	Sa
ispunjavanje	ispunjavanje	Ncnsa
postavljenih	postavljen	Agpmpgy
ciljeva	cilj	Ncmpg
,	,	Z
za	za	Sa
pravovremeno	pravovremen	Agpnsay
i	i	Cc
točno	točan	Agpnsay
informiranje	informiranje	Ncnsa
o	o	Sl
postignutim	postignuti	Agpmply
rezultatima	rezultat	Ncmpl
procjenu	procjena	Ncfsa
učinka	učinak	Ncmsg
i	i	Cc
vjerojatnosti	vjerojatnost	Ncfsg
rizika	rizik	Ncmsg
,	,	Z
praćenje	praćenje	Ncnsa
rizika	rizik	Ncmsg
i	i	Cc
pravovremeno	pravovremeno	Rgp
i	i	Cc
točno	točan	Agpnsay
izvješćivanje	izvješćivanje	Ncnsa
o	o	Sl
njima	oni	Pp3-pl
.	.	Z

Sektor	sektor	Ncmsn
predlaže	predlagati	Vmr3s
Godišnji	godišnji	Agpmsny
plan	plan	Ncmsn
rada	rad	Ncmsg
Sektora	sektor	Ncmsg
s	sa	Si
programima	program	Ncmpi
iz	iz	Sg
djelokruga	djelokrug	Ncmsg
rada	rad	Ncmsg
Sektora	sektor	Ncmsg
koji	koji	Pi-mpn
se	sebe	Px--sa
planiraju	planirati	Vmr3p
izvršiti	izvršiti	Vmn
u	u	Sl
idućoj	idući	Agpfsly
godini	godina	Ncfsl
te	te	Cc
je	biti	Var3s
odgovoran	odgovoran	Agpmsnn
za	za	Sa
efikasno	efikasan	Agpnsay
,	,	Z
ekonomično	ekonomičan	Agpnsny
i	i	Cc
efektivno	efektivan	Agpnsay
izvršavanje	izvršavanje	Ncnsa
toga	taj	Pd-nsg
plana	plan	Ncmsg
.	.	Z

Sudjeluje	sudjelovati	Vmr3s
u	u	Sl
izradi	izrada	Ncfsl
Financijskog	financijski	Agpmsgy
plana	plan	Ncmsg
Ministarstva	ministarstvo	Ncnsg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
realizacijom	realizacija	Ncfsi
općeg	opći	Agpmsgy
i	i	Cc
posebnog	poseban	Agpmsgy
cilja	cilj	Ncmsg
(	(	Z
Skrb	skrb	Ncfsn
za	za	Sa
hrvatske	hrvatski	Agpmpay
branitelje	branitelj	Ncmpa
iz	iz	Sg
Domovinskog	domovinski	Agpmsgy
rata	rat	Ncmsg
i	i	Cc
članove	član	Ncmpa
njihovih	njihov	Ps3fpg
obitelji	obitelj	Ncfpg
i	i	Cc
općim	opći	Agpmsiy
ciljem	cilj	Ncmsi
–	–	Z
Primjereno	primjeren	Agpnsny
zadovoljavanje	zadovoljavanje	Ncnsn
potreba	potreba	Ncfpg
invalida	invalid	Ncmpg
Drugog	drugi	Mlomsg
svjetskog	svjetski	Agpmsgy
rata	rat	Ncmsg
i	i	Cc
njihovih	njihov	Ps3fpg
obitelji	obitelj	Ncfpg
)	)	Z
utvrđenog	utvrditi	Appmsgy
Strateškim	strateški	Agpmsiy
planom	plan	Ncmsi
Ministarstva	ministarstvo	Ncnsg
.	.	Z

Prati	pratiti	Vmr3s
provedbu	provedba	Ncfsa
programa	program	Ncmsg
iz	iz	Sg
Financijskog	financijski	Agpmsgy
