prava	pravo	Ncnpg
«	«	Z
.	.	Z

S	sa	Sg
druge	drugi	Mlofsg
strane	strana	Ncfsg
,	,	Z
legitimna	legitiman	Agpnpny
očekivanja	očekivanje	Ncnpn
zaštićena	zaštititi	Appnpny
su	biti	Var3p
samo	samo	Rgp
za	za	Sa
vrijeme	vrijeme	Ncnsa
dok	dok	Cs
postoji	postojati	Vmr3s
valjana	valjan	Agpfsny
pravna	pravni	Agpfsny
osnova	osnova	Ncfsn
na	na	Sl
kojoj	koji	Pi-fsl
su	biti	Var3p
ta	taj	Pd-npn
očekivanja	očekivanje	Ncnpn
utemeljena	utemeljiti	Appfsny
.	.	Z

Stupanjem	stupanje	Ncnsi
na	na	Sa
snagu	snaga	Ncfsa
ZUPUP-a	ZUPUP	Npmsg
i	i	Cc
Uredbe	uredba	Ncfpn
/	/	Z
I-ZUPUP-a	I-ZUPUP	Npmsg
privremeno	privremen	Agpnsny
je	biti	Var3s
prestalo	prestati	Vmp-sn
djelovanje	djelovanje	Ncnsn
pravne	pravni	Agpfsgy
osnove	osnova	Ncfsg
na	na	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
temeljila	temeljiti	Vmp-sf
navedena	navesti	Appfsny
povlastica	povlastica	Ncfsn
.	.	Z

74.	74.	Mdo

Prigovore	prigovoriti	Vmr3p
o	o	Sl
povredama	povreda	Ncfpl
načela	načeti	Vmp-sf
socijalne	socijalan	Agpfsgy
pravde	pravda	Ncfsg
te	te	Cc
prava	prav	Agpfsny
na	na	Sa
socijalnu	socijalan	Agpfsay
sigurnost	sigurnost	Ncfsa
i	i	Cc
socijalno	socijalan	Agpnsay
osiguranje	osiguranje	Ncnsa
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
nije	biti	Var3s
razmatrao	razmatrati	Vmp-sm
s	sa	Si
obzirom	obzir	Ncmsi
da	da	Cs
u	u	Sl
konkretnom	konkretan	Agpmsly
slučaju	slučaj	Ncmsl
nisu	biti	Var3p
mjerodavni	mjerodavan	Agpmsny
(	(	Z
v.	v.	Cc
opširnija	opširan	Agcnpay
stajališta	stajalište	Ncnpa
Ustavnog	ustavan	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
odluci	odluka	Ncfsl
i	i	Cc
rješenju	rješenje	Ncnsl
broj	broj	Ncmsn
:	:	Z
U-IP-3820	U-IP-3820	X
/	/	Z
2009	2009	Mdc
,	,	Z
U-IP-3826	U-IP-3826	X
/	/	Z
2009	2009	Mdc
i	i	Cc
dr.	dr.	Y
od	od	Sg
17.	17.	Mdo
studenoga	studeni	Ncmsg
2009.	2009.	Mdo
)	)	Z
.	.	Z

VII	vii	Mrc
.	.	Z

IZREKA	izreka	Ncfsn
ODLUKE	odluka	Ncfsg

75.	75.	Mdo

Završna	završan	Agpfsny
je	biti	Var3s
ocjena	ocjena	Ncfsn
Ustavnog	ustavan	Agpmsgy
suda	sud	Ncmsg
da	da	Cs
podnositelji	podnositelj	Ncmpn
svojim	svoj	Px-mpi
prijedlozima	prijedlog	Ncmpi
nisu	biti	Var3p
doveli	dovesti	Vmp-pm
u	u	Sa
sumnju	sumnja	Ncfsa
materijalnu	materijalan	Agpfsay
suglasnost	suglasnost	Ncfsa
ZUPUP-a	ZUPUP	Npmsg
i	i	Cc
Uredbe	uredba	Ncfpn
/	/	Z
I-ZUPUP-a	i-zupup-	Ncmsg
ni	ni	Qz
s	sa	Si
jednom	jednom	Rgp
mjerodavnom	mjerodavan	Agpfsiy
odredbom	odredba	Ncfsi
Ustava	ustav	Ncmsg
.	.	Z

Kad	kad	Cs
je	biti	Var3s
riječ	riječ	Ncfsn
o	o	Sl
formalnoj	formalan	Agpfsly
(	(	Ncfsl
ne	ne	Qz
)	)	Z
suglasnosti	suglasnost	Ncfpa
ZUPUP-a	ZUPUP	Npmsg
i	i	Cc
Uredbe	uredba	Ncfpn
/	/	Z
I-ZUPUP-a	i-zupup-	Ncmsg
s	sa	Si
Ustavom	ustava	Ncfsi
,	,	Z
u	u	Sl
postupanju	postupanje	Ncnsl
Vlade	vlada	Ncfsg
u	u	Sl
konkretnom	konkretan	Agpmsly
slučaju	slučaj	Ncmsl
utvrđeno	utvrditi	Appnsny
je	biti	Var3s
odstupanje	odstupanje	Ncnsn
od	od	Sg
punog	pun	Agpnsgy
poštovanja	poštovanje	Ncnsg
pravila	pravilo	Ncnsg
demokratske	demokratski	Agpfsgy
procedure	procedura	Ncfsg
