uvjetom	uvjet	Ncmsi
da	da	Cs
se	sebe	Px--sa
te	taj	Pd-fpn
potrebe	potreba	Ncfpn
navedu	navesti	Vmr3p
u	u	Sl
poslovnom	poslovan	Agpmsly
planu	plan	Ncmsl
,	,	Z
korisnik	korisnik	Ncmsn
mora	morati	Vmr3s
realizirati	realizirati	Vmn
zahtjeve	zahtjev	Ncmpa
iz	iz	Sg
stavka	stavak	Ncmsg
12.	12.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ukoliko	ukoliko	Cs
iste	isti	Agpfsgy
ne	ne	Qz
ispunjava	ispunjavati	Vmr3s
u	u	Sl
trenutku	trenutak	Ncmsl
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

n	n	Npmsn
)	)	Z
Korisnik	korisnik	Ncmsn
treba	trebati	Vmr3s
biti	biti	Van
registriran	registrirati	Appmsnn
u	u	Sl
Registru	Registr	Npmsl
poreznih	porezni	Agpmpgy
obveznika	obveznik	Ncmpg
kao	kao	Cs
porezni	porezni	Agpmsny
obveznik	obveznik	Ncmsn
po	po	Sl
osnovi	osnova	Ncfsl
plaćanja	plaćanje	Ncnsg
poreza	porez	Ncmsg
na	na	Sa
dobit	dobit	Ncfsa
ili	ili	Cc
dohodak	dohodak	Ncmsan
i	i	Cc
obveznik	obveznik	Ncmsn
socijalnih	socijalan	Agpmpgy
doprinosa	doprinos	Ncmpg
(	(	Z
mirovinsko	mirovinski	Agpnsny
i	i	Cc
zdravstveno	zdravstven	Agpnsny
osiguranje	osiguranje	Ncnsn
)	)	Z
po	po	Sl
osnovi	osnova	Ncfsl
poljoprivrede	poljoprivreda	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
nacionalnim	nacionalan	Agpnsiy
zakonodavstvom	zakonodavstvo	Ncnsi
najkasnije	kasno	Rgs
prilikom	prilikom	Sg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
treće	treći	Mlofsg
rate	rata	Ncfsg
.	.	Z

o	o	Sl
)	)	Z
Korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
ostati	ostati	Agpmsny
nositelj	nositelj	Ncmsn
poljoprivrednog	poljoprivredni	Agpnsgy
gospodarstva	gospodarstvo	Ncnsg
i	i	Cc
biti	biti	Van
registriran	registrirati	Appmsnn
u	u	Sl
Registru	Registr	Npmsl
poreznih	porezni	Agpmpgy
obveznika	obveznik	Ncmpg
kao	kao	Cs
porezni	porezni	Agpmsny
obveznik	obveznik	Ncmsn
po	po	Sl
osnovi	osnova	Ncfsl
plaćanja	plaćanje	Ncnsg
poreza	porez	Ncmsg
na	na	Sa
dobit	dobit	Ncfsa
ili	ili	Cc
dohodak	dohodak	Ncmsan
i	i	Cc
obveznik	obveznik	Ncmsn
socijalnih	socijalan	Agpmpgy
doprinosa	doprinos	Ncmpg
(	(	Z
