premještanja	premještanje	Ncnsg
sufinancirane	sufinancirati	Agpfsgy
aktivnosti	aktivnost	Ncfsg
od	od	Sg
dana	dan	Ncmpg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
odluke	odluka	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
i	i	Cc
tijekom	tijekom	Sg
sljedećih	sljedeći	Agpfpgy
pet	pet	Mlc
godina	godina	Ncfpg
od	od	Sg
dana	dan	Ncmpg
konačne	konačan	Agpfsgy
isplate	isplata	Ncfsg
potpore	potpora	Ncfsg
,	,	Z

–	–	Sg
zabrana	zabran	Ncmsg
promjene	promjena	Ncfsg
namjene	namjena	Ncfsg
i	i	Cc
vrste	vrsta	Ncfsg
aktivnosti	aktivnost	Ncfpg
za	za	Sa
koje	koji	Pi-fpa
se	sebe	Px--sa
korisniku	korisnik	Ncmsd
odobravaju	odobravati	Vmr3p
sredstva	sredstvo	Ncnpn
sljedećih	sljedeći	Agpfpgy
pet	pet	Mlc
godina	godina	Ncfpg
od	od	Sg
dana	dan	Ncmpg
konačne	konačan	Agpfsgy
isplate	isplata	Ncfsg
potpore	potpora	Ncfsg
,	,	Z

–		Agcnsay
informiranje	informiranje	Ncnsa
javnosti	javnost	Ncfsg
o	o	Sl
potpori	potpora	Ncfsl
sukladno	sukladno	Rgp
EU	E	Npmsd
zakonodavstvu	zakonodavstvo	Ncnsd
,	,	Z

–	–	Pi-fsn
dokumentacija	dokumentacija	Ncfsn
koja	koji	Pi-fsn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
plaćanje	plaćanje	Ncnsa
prihvatljivih	prihvatljiv	Agpnpgy
troškova	trošak	Ncmpg
mora	morati	Vmr3s
biti	biti	Van
datirana	datirati	Appfsny
nakon	nakon	Sg
dana	dan	Ncmsg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
,	,	Z

–	i	Agpnsny
u	u	Sl
svakom	svaki	Pi-msl
trenutku	trenutak	Ncmsl
osigurati	osigurati	Vmn
nesmetani	nesmetan	Agpmsayn
pristup	pristup	Ncmsan
i	i	Cc
kontrolu	kontrola	Ncfsa
na	na	Sl
terenu	teren	Ncmsl
koja	koji	Pi-fsn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
potporu	potpora	Ncfsa
te	te	Cc
dati	dati	Vmn
na	na	Sa
uvid	uvid	Ncmsan
cjelokupnu	cjelokupan	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
vezanu	vezati	Appfsay
za	za	Sa
sufinancirane	sufinancirati	Agpmpay
troškove	trošak	Ncmpa
predstavnicima	predstavnik	Ncmpi
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
,	,	Z
Ministarstva	ministarstvo	Ncnsg
,	,	Z
Agencije	agencija	Ncfpn
za	za	Sa
reviziju	revizija	Ncfsa
sustava	sustav	Ncmsg
provedbe	provedba	Ncfsg
programa	program	Ncmsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
ARPA	arp	Ncmsg
)	)	Z
,	,	Z
Europske	europski	Agpfsgy
komisije	komisija	Ncfsg
,	,	Z
Europskog	europski	Agpmsgy
revizorskog	revizorski	Agpmsgy
suda	sud	Ncmsg
i	i	Cc
Europskog	europski	Agpmsgy
ureda	ured	Ncmsg
za	za	Sa
borbu	borba	Ncfsa
protiv	protiv	Sg
prijevara	prijevara	Ncfpg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
OLAF	OLAF	Npmsn
)	)	Z
,	,	Z

–	–	Z
zabrana	zabrana	Ncfsn
prekoračenja	prekoračenje	Ncnsg
najvećeg	velik	Ncfpg
dozvoljenog	dozvoljen	Agpmsgy
iznosa	iznos	Ncmsg
javne	javan	Agpfsgy
potpore	potpora	Ncfsg
,	,	Z

–	i	Agpnsny
izvještavanje	izvještavanje	Ncnsn
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
u	u	Sl
pisanom	pisan	Agpmsly
obliku	oblik	Ncmsl
o	o	Sl
bilo	bilo	Qo
kojoj	koji	Pi-fsl
situaciji	situacija	Ncfsl
postojanja	postojanje	Ncnsg
sukoba	sukob	Ncmsg
interesa	interes	Ncmsg
između	između	Sg
korisnika	korisnik	Ncmpg
s	sa	Sg
jedne	jedan	Mlcfsg
strane	strana	Ncfsg
i	i	Cc
ponuditelja	ponuditelj	Ncmpg
s	sa	Sg
druge	drugi	Mlofsg
