Ustavom	ustav	Ncmsi
dopuštena	dopustiti	Appfsny
mogućnost	mogućnost	Ncfsn
povjeravanja	povjeravanje	Ncnsg
određenih	određen	Agpmpgy
poslova	posao	Ncmpg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
tijelima	tijelo	Ncnpi
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfsgy
)	)	Z
samouprave	samouprava	Ncfsg
i	i	Cc
pravnim	pravni	Agpfply
osobama	osoba	Ncfpl
koje	koji	Pi-fpn
imaju	imati	Vmr3p
javne	javan	Agpfpay
ovlasti	ovlast	Ncfpa
,	,	Z
na	na	Sa
ovaj	ovaj	Pd-msan
način	način	Ncmsan
zapravo	zapravo	Rgp
u	u	Sl
potpunosti	potpunost	Ncfsl
isključena	isključiti	Appfsny
.	.	Z
«	«	Z

b	b	Npmsn
)	)	Z
Odgovor	odgovor	Ncmsan
Organizacijskog	organizacijski	Agpmsgy
odbora	odbor	Ncmsg
na	na	Sa
prijedlog	prijedlog	Ncmsan
Odluke	odluka	Ncfsg
HS-a	HS	Npmsg

32.	32.	Mdo

Organizacijski	organizacijski	Agpmsny
odbor	odbor	Ncmsn
u	u	Sl
svom	svoj	Px-msl
je	biti	Var3s
odgovoru	odgovor	Ncmsl
na	na	Sa
prijedlog	prijedlog	Ncmsan
Odluke	odluka	Ncfsg
HS-a	HS	Npmsg
iznio	iznijeti	Vmp-sm
sljedeća	sljedeći	Agpnpay
stajališta	stajalište	Ncnpa
:	:	Z

»	»	Z
U	u	Sl
Odluci	odluka	Ncfsl
Odbora	odbor	Ncmsg
...	...	Z
se	sebe	Px--sa
neosnovano	neosnovan	Agpnsny
i	i	Cc
neargumentirano	neargumentirano	Rgp
tvrdi	tvrditi	Vmr3s
da	da	Cs
bi	biti	Vaa3s
usvajanje	usvajanje	Ncnsa
predloženog	predložen	Agpnsgy
referendumskog	referendumski	Agpnsgy
pitanja	pitanje	Ncnsg
odnosno	odnosni	Agpnsay
usvajanje	usvajanje	Ncnsa
predloženog	predložen	Agpmsgy
Zakona	zakon	Ncmsg
dovelo	dovesti	Vmp-sn
u	u	Sa
pitanje	pitanje	Ncnsa
poduzetničku	poduzetnički	Agpfsay
i	i	Cc
tržišnu	tržišni	Agpfsay
slobodu	sloboda	Ncfsa
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
,	,	Z
odnosno	odnosno	Rgp
da	da	Cs
bi	biti	Vaa3s
dovelo	dovesti	Vmp-sn
u	u	Sa
pitanje	pitanje	Ncnsa
jednak	jednak	Agpmsnn
pravni	pravni	Agpmsny
položaj	položaj	Ncmsn
poduzetnika	poduzetnik	Ncmpg
na	na	Sl
tržištu	tržište	Ncnsl
.	.	Z

Prije	prije	Sg
svega	sav	Pi-nsg
,	,	Z
u	u	Sl
Odluci	odluka	Ncfsl
nije	biti	Var3s
obrazloženo	obrazložiti	Appnsny
iz	iz	Sg
kojih	koji	Pi-mpg
razloga	razlog	Ncmpg
i	i	Cc
na	na	Sa
koji	koji	Pi-msan
način	način	Ncmsan
bi	biti	Vaa3s
usvajanje	usvajanje	Ncnsa
predmetnog	predmetni	Agpmsgy
Zakona	zakon	Ncmsg
predstavljalo	predstavljati	Vmp-sn
povredu	povreda	Ncfsa
poduzetničkih	poduzetnički	Agpmpgy
i	i	Cc
tržišnih	tržišni	Agpfpgy
sloboda	sloboda	Ncfpg
.	.	Z

S	sa	Sg
druge	drugi	Mlofsg
strane	strana	Ncfsg
,	,	Z
radi	raditi	Vmr3s
se	sebe	Px--sa
o	o	Sl
poslovima	posao	Ncmpl
u	u	Sl
javnim	javan	Agpmply
i	i	Cc
državnim	državni	Agpfply
službama	služba	Ncfpl
kao	kao	Cs
službama	služba	Ncfpd
od	od	Sg
posebnog	poseban	Agpmsgy
interesa	interes	Ncmsg
za	za	Sa
Republiku	republika	Ncfsa
Hrvatsku	Hrvatska	Npfsa
,	,	Z
a	a	Cc
samim	sam	Agpnsiy
time	taj	Pd-nsi
i	i	Qo
za	za	Sa
njene	njen	Agpmpay
građane	građanin	Ncmpa
.	.	Z

Navedene	naveden	Agpfpny
javne	javan	Agpfpny
i	i	Cc
državne	državni	Agpfpny
službe	služba	Ncfpn
financiraju	financirati	Vmr3p
građani	građanin	Ncmpn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
putem	put	Sg
proračunskih	proračunski	Agpnpgy
sredstava	sredstvo	Ncnpg
,	,	Z
nužno	nužno	Rgp
koriste	koristiti	Vmr3p
usluge	usluga	Ncfpa
javnog	javan	Agpmsgy
sektora	sektor	Ncmsg
i	i	Cc
imaju	imati	Vmr3p
pravo	pravo	Ncnsa
odlučiti	odlučiti	Vmn
(	(	Z
pa	pa	Cc
i	i	Qo
na	na	Sl
referendumu	referendum	Ncmsl
)	)	Z
o	o	Sl
tome	taj	Pd-nsl
kakav	kakav	Pi-msan
model	model	Ncmsn
funkcioniranja	funkcioniranje	Ncnsg
javnog	javan	Agpmsgy
sektora	sektor	Ncmsg
žele	željeti	Vmr3p
.	.	Z

Država	država	Ncfsn
je	biti	Var3s
dužna	dužan	Agpfsny
osigurati	osigurati	Vmn
poduzetnicima	poduzetnik	Ncmpd
jednak	jednak	Agpmsann
pravni	pravni	Agpmsayn
položaj	položaj	Ncmsan
na	na	Sl
tržištu	tržište	Ncnsl
tamo	tamo	Rgp
gdje	gdje	Cs
su	biti	Var3p
tržišna	tržišni	Agpfpny
i	i	Cc
poduzetnička	poduzetnički	Agpfsny
sloboda	sloboda	Ncfsn
temelj	temelj	Ncmsn
funkcioniranja	funkcioniranje	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
tamo	tamo	Rgp
gdje	gdje	Cs
je	biti	Var3s
takav	takav	Pd-msn
model	model	Ncmsn
poželjan	poželjan	Agpmsnn
.	.	Z

Javni	javan	Agpmsny
sektor	sektor	Ncmsn
u	u	Sl
RH	ra	Ncfsl
ne	ne	Qz
počiva	počivati	Vmr3s
na	na	Sl
tom	taj	Pd-msl
principu	princip	Ncmsl
pa	pa	Cc
se	sebe	Px--sa
ne	ne	Qz
može	moći	Vmr3s
niti	niti	Qo
govoriti	govoriti	Vmn
o	o	Sl
ograničavanju	ograničavanje	Ncnsl
poduzetničkih	poduzetnički	Agpfpgy
i	i	Cc
tržišnih	tržišni	Agpfpgy
sloboda	sloboda	Ncfpg
u	u	Sl
tom	taj	Pd-msl
sektoru	sektor	Ncmsl
.	.	Z

Primarni	primaran	Agpmsny
cilj	cilj	Ncmsn
javnog	javan	Agpmsgy
sektora	sektor	Ncmsg
je	biti	Var3s
omogućiti	omogućiti	Vmn
svojim	svoj	Px-mpd
korisnicima	korisnik	Ncmpd
,	,	Z
odnosno	odnosno	Rgp
građanima	građanin	Ncmpd
RH	RH	Npfsg
,	,	Z
potpunu	potpun	Agpfsay
i	i	Cc
kvalitetnu	kvalitetan	Agpfsay
uslugu	usluga	Ncfsa
,	,	Z
za	za	Sa
koju	koji	Pi-fsa
jamči	jamčiti	Vmr3s
država	država	Ncfsn
.	.	Z

Suština	suština	Ncfsn
europskog	europski	Agpmsgy
socijalnog	socijalan	Agpmsgy
modela	model	Ncmsg
jest	biti	Var3s
da	da	Cs
je	biti	Var3s
tržišna	tržišni	Agpfsny
ekonomija	ekonomija	Ncfsn
prihvatljiva	prihvatljiv	Agpfsny
,	,	Z
ali	ali	Cc
da	da	Cs
tržišno	tržišni	Agpnsny
društvo	društvo	Ncnsn
nije	biti	Var3s
prihvatljivo	prihvatljiv	Agpnsny
.	.	Z

Javni	javan	Agpmsny
sektor	sektor	Ncmsn
,	,	Z
kao	kao	Cs
jedan	jedan	Mlcmsan
od	od	Sg
najvažnijih	važan	Agsmpgy
sektora	sektor	Ncmpg
društva	društvo	Ncnsg
,	,	Z
ne	ne	Qz
mora	morati	Vmr3s
počivati	počivati	Vmn
na	na	Sl
tržišnom	tržišni	Agpmsly
modelu	model	Ncmsl
i	i	Cc
konkurenciji	konkurencija	Ncfsl
ako	ako	Cs
takav	takav	Pd-msn
model	model	Ncmsn
nije	biti	Var3s
prihvatljiv	prihvatljiv	Agpmsnn
građanima	građanin	Ncmpd
.	.	Z

Raspisivanjem	raspisivanje	Ncnsi
predmetnog	predmetni	Agpmsgy
referenduma	referendum	Ncmsg
građanima	građanin	Ncmpd
RH	RH	Npfsg
se	sebe	Px--sa
daje	davati	Vmr3s
mogućnost	mogućnost	Ncfsn
da	da	Cs
se	sebe	Px--sa
izjasne	izjasniti	Vmr3p
o	o	Sl
tome	taj	Pd-nsl
kakav	kakav	Pi-msan
javni	javan	Agpmsayn
sektor	sektor	Ncmsan
žele	željeti	Vmr3p
,	,	Z
ne	ne	Qz
uskraćuje	uskraćivati	Vmr3s
im	oni	Pp3-pd
se	sebe	Px--sa
,	,	Z
pod	pod	Si
izlikom	izlika	Ncfsi
navodnog	navodni	Agpnsgy
ograničavanja	ograničavanje	Ncnsg
poduzetničkih	poduzetnički	Agpfpgy
i	i	Cc
tržišnih	tržišni	Agpfpgy
sloboda	sloboda	Ncfpg
,	,	Z
pravo	pravo	Ncnsa
na	na	Sa
taj	taj	Pd-msan
