pokretnine	pokretnina	Ncfpa
–	–	Z
umjetničke	umjetnički	Agpfsgy
slike	slika	Ncfsg
i	i	Cc
skulpture	skulptura	Ncfsg
iz	iz	Sg
točke	točka	Ncfsg
I.	ia	Ncfsg
A	a	Cc
)	)	Z
pohranjene	pohraniti	Appfpny
na	na	Sl
adresi	adresa	Ncfsl
Zagreb	Zagreb	Npmsn
,	,	Z
Hermana	Herman	Npmsg
Bužana	Bužan	Npmsg
4	4	Mdc
,	,	Z
i	i	Cc
iz	iz	Sg
točke	točka	Ncfsg
I.	I.	Mro
B.	B.	Y
)	)	Z
pohranjene	pohraniti	Appfpny
na	na	Sl
adresi	adresa	Ncfsl
Samobor	Samobor	Npmsn
,	,	Z
Slava	slava	Ncfsn
Gora	Gora	Npfsn
,	,	Z
Slavogorska	Slavogorska	Npfsn
bb	bb	Ncnsv
,	,	Z
preda	predati	Vmr3s
u	u	Sa
posjed	posjed	Ncmsan
i	i	Cc
na	na	Sa
privremeno	privremen	Agpnsay
upravljanje	upravljanje	Ncnsa
Državnom	državni	Agpmsly
uredu	ured	Ncmsl
za	za	Sa
upravljanje	upravljanje	Ncnsa
državnom	državni	Agpfsiy
imovinom	imovina	Ncfsi
,	,	Z
Zagreb	Zagreb	Npmsn
,	,	Z
Dežmanova	dežmanov	Aspfsny
10	10	Mdc
,	,	Z
koja	koji	Pi-fsn
predaje	predavati	Vmr3s
se	sebe	Px--sa
određuje	određivati	Vmr3s
za	za	Sa
dan	dan	Ncmsan
29.	29.	Mdo
prosinca	prosinac	Ncmsg
2014.	2014.	Mdo
s	sa	Si
početkom	početak	Ncmsi
u	u	Sa
9,00	9,00	Mdc
sati	sat	Ncmpg
na	na	Sl
lokaciji	lokacija	Ncfsl
Samobor	Samobor	Npmsn
,	,	Z
Slava	slava	Ncfsn
Gora	Gora	Npfsn
,	,	Z
Slavogorska	Slavogorska	Npfsn
bb	bbti	Vmr3s
,	,	Z
a	a	Cc
odmah	odmah	Rgp
nakon	nakon	Sg
toga	taj	Pd-nsg
na	na	Sl
lokaciji	lokacija	Ncfsl
Zagreb	Zagreb	Npmsn
,	,	Z
Hermana	Herman	Npmsg
Bužana	Bužan	Npmsg
4	4	Mdc
,	,	Z
u	u	Sl
protivnom	protivan	Agpmsly
se	sebe	Px--sa
provedba	provedba	Ncfsn
ovog	ovaj	Pd-nsg
rješenja	rješenje	Ncnsg
povjerava	povjeravati	Vmr3s
ovlaštenim	ovlašten	Agpmpdy
predstavnicima	predstavnik	Ncmpd
Državnog	državni	Agpmsgy
ureda	ured	Ncmsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
državnom	državni	Agpfsiy
imovinom	imovina	Ncfsi
i	i	Cc
Ministarstva	ministarstvo	Ncnsg
unutarnjih	unutarnji	Agpmpgy
poslova	posao	Ncmpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z
«	«	Z

Prema	prema	Sl
točki	točka	Ncfsl
V.	vi	Agpfsgy
izreke	izreka	Ncfsg
rješenja	rješenje	Ncnsg
»	»	Z
privremena	privremen	Agpfsny
mjera	mjera	Ncfsn
će	htjeti	Var3s
