tekućim	tekući	Agpmpiy
mliječnim	mliječan	Agpmpiy
proizvodima	proizvod	Ncmpi
pomoću	pomoć	Sg
AAS-a	AAS	Npmsg
SOP	SO	Npmsg
Z-I-2-AM59	Z-I-2-AM5	Npmsg
Rev	Re	Npmsg
.	.	Z
00	00	Mdc
2012	2012	Mdc
-	-	Z
08	08	Mdc
-	-	Z
08	08	Mdc
Hrana	hrana	Ncfpg
za	za	Sa
životinje	životinja	Ncfpa
Određivanje	određivanje	Ncnsa
Cd	ca	Ncfsg
,	,	Z
Pb	Pb	Npmsn
,	,	Z
As	as	Ncmsan
,	,	Z
Cu	C	Npmsl
i	i	Cc
Zn	ZN	Npmsn
u	u	Sl
hrani	hrana	Ncfsl
za	za	Sa
životinje	životinja	Ncfpa
pomoću	pomoć	Sg
ICP-OES	ICP-OES	Npfsg
SOP	SOP	Npfsg
Z-I-2-AM60	Z-I-2-AM60	Npfsg
Rev	Rev	Npfsg
.	.	Z
00	00	Mdc
2012	2012	Mdc
-	-	Z
02	02	Mdc
-	-	Z
28	28	Mdc

Transmisivne	transmisivan	Agpfpny
spongiformne	spongiformni	Agpfsgy
encefalopatije	encefalopatija	Ncfsg
(	(	Z
TSE	TSE	Npmsn
)	)	Z

Laboratorij	laboratorij	Ncmsn
za	za	Sa
patologiju	patologija	Ncfsa
preživača	preživač	Ncmpg
i	i	Cc
transmisivne	transmisivan	Agpfsgy
spongiformne	spongiformni	Agpfsgy
encefalopatije	encefalopatija	Ncfsg
,	,	Z
HVI	HVI	Npmsn
Zagreb	Zagreb	Npmsn
–	–	Z
goveđe	goveđi	Agpfsgy
spongiformne	spongiformni	Agpfsgy
encefalopatije	encefalopatija	Ncfsg

Područje	područje	Ncnsn
ispitivanja	ispitivanje	Ncnsg
Vrsta	vrsta	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Metoda	metoda	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Moždano	moždan	Agpnsny
tkivo	tkivo	Ncnsn
goveda	govedo	Ncnsg
Određivanje	određivanje	Ncnsn
goveđe	goveđi	Agpfsgy
spongiformne	spongiformni	Agpfsgy
encefalopatije	encefalopatija	Ncfsg
(	(	Z
GSE	GSE	Npmsn
)	)	Z
testom	test	Ncmsi
Prionics	Prionics	Npmsn
Check	Check	Npmsn
WESTERN	WESTERN	Npmsn
SOP	SOP	Npmsn
Z-IV-2	Z-IV-2	Npmsn
MT	MT	Npmsn
01	01	Mdc
Rev	rev	Aspmsnn
04	04	Mdc
2010	2010	Mdc
-	-	Z
12	12	Mdc
-	-	Z
14	14	Mdc
Određivanje	određivanje	Ncnsn
goveđe	goveđi	Agpfsgy
spongiformne	spongiformni	Agpfsgy
encefalopatije	encefalopatija	Ncfsg
(	(	Z
GSE	GSE	Npmsn
)	)	Z
testom	test	Ncmsi
Prionics	Prionics	Npmsn
Check	Check	Npmsn
PRIOSTRIP	PRIOSTRIP	Npmsn
SOP	SOP	Npmsn
Z-IV-2	Z-IV-2	Npmsn
MT	MT	Npmsn
02	02	Mdc
Rev	rev	Aspmsnn
04	04	Mdc
2010	2010	Mdc
-	-	Z
12	12	Mdc
-	-	Z
14	14	Mdc
Moždano	moždan	Agpnsny
tkivo	tkivo	Ncnsn
goveda	govedo	Ncnsg
i	i	Cc
malih	mali	Agpmpgy
preživača	preživač	Ncmpg
Određivanje	određivanje	Ncnsn
goveđe	goveđi	Agpfsgy
spongioformne	spongioforman	Agpfsgy
encefalopatije	encefalopatija	Ncfsg
(	(	Z
GSE	GSE	Npmsn
)	)	Z
i	i	Cc
grebeža	grebeža	Ncfsn
ovaca	ovca	Ncfpg
u	u	Sl
moždanom	moždan	Agpnsly
tkivu	tkivo	Ncnsl
testom	test	Ncmsi
IDEXX	IDEXX	Npmsn
HerdCheck	HerdCheck	Npmsn
BSE-Scrapie	bse-scrapie	Agpmsny
Antigen	antigen	Ncmsn
Test	test	Agpmsny
Kit	kit	Ncmsn
,	,	Z
EIA	EIA	Npfsn
SOP	SOP	Npfsn
Z-IV-2	Z-IV-2	Mdc
MT	MT	Y
03	03	Mdc
Rev	rev	Aspmsnn
01	01	Mdc
2013	2013	Mdc
-	-	Z
03	03	Mdc
-	-	Z
12	12	Mdc

Analiziranje	analiziranje	Ncnsn
i	i	Cc
testiranje	testiranje	Ncnsa
zoonoza	zoonoze	Ncfpg

Laboratorij	laboratorij	Ncmsn
za	za	Sa
mikrobiologiju	mikrobiologija	Ncfsa
hrane	hrana	Ncfsg
,	,	Z
HVI	HVI	Npmsn
Zagreb	Zagreb	Npmsn

Područje	područje	Ncnsn
ispitivanja	ispitivanje	Ncnsg
Vrsta	vrsta	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Metoda	metoda	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Hrana	hrana	Ncfsn
i	i	Cc
hrana	hrana	Ncfsn
za	za	Sa
životinje	životinja	Ncfpa
Horizontalna	horizontalan	Agpfsny
metoda	metoda	Ncfsn
za	za	Sa
dokazivanje	dokazivanje	Ncnsa
prisutnosti	prisutnost	Ncfsg
Salmonella	Salmonell	Npmsg
spp	spp	Pi-fsa
HRN	HRN	Npmsn
EN	EN	Npmsn
ISO	ISO	Npmsn
6579:2003	6579:2003	Mdc
/	/	Z
Ispr	Ispr	Npmsn
.	.	Z
1:2008	1:2008	Mds
Horizontalna	horizontalan	Agpfsny
metoda	metoda	Ncfsn
za	za	Sa
dokazivanje	dokazivanje	Ncnsa
prisutnosti	prisutnost	Ncfsg
,	,	Z
brojenje	brojenje	Ncnsn
i	i	Cc
serotipizaciju	serotipizacija	Ncfsa
Salmonella	Salmonella	Npfsn
–	–	Z
dio	dio	Ncmsn
3.	3.	Mdo
Smjernice	smjernica	Ncfsg
za	za	Sa
serotipizaciju	serotipizacija	Ncfsa
Salmonella	Salmonella	Xf
spp	spp	Xf
ISO	ISO	Npmsn
/	/	Z
TR	TR	Npmsn
6579	6579	Mdc
-	-	Z
3:2012	3:2012	Mdc

Antimikrobna	antimikroban	Agpfsny
rezistencija	rezistencija	Ncfsn

Laboratorij	laboratorij	Ncmsn
za	za	Sa
opću	opći	Agpfsay
bakteriologiju	bakteriologija	Ncfsa
i	i	Cc
mikologiju	mikologija	Ncfsa
,	,	Z
HVI	HVI	Npmsn
Zagreb	Zagreb	Npmsn

Područje	područje	Ncnsn
ispitivanja	ispitivanje	Ncnsg
Vrsta	vrsta	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Metoda	metoda	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Izolati	izolat	Ncfsg
bakterija	bakterija	Ncfpg
Određivanje	određivanje	Ncnsn
osjetljivosti	osjetljivost	Ncfsg
gram	gram	Ncmsn
–	–	Z
negativnih	negativan	Agpfpgy
bakterija	bakterija	Ncfpg
prema	prema	Sl
antimikrobnim	antimikroban	Agpmply
lijekovima	lijek	Ncmpl
disk	disk	Ncmsn
difuzijskom	difuzijski	Agpfsiy
metodom	metoda	Ncfsi
CSLI	CSL	Npmsl
M31	M31	X
A3	A3	X
:	:	Z
2008	2008	Mdc
Performance	performanca	Xf
standards	standards	Xf
for	for	Xf
antimicrobial	antimicrobial	Xf
disk	disk	Ncmsn
and	and	Xf
dilution	dilution	Xf
susceptibility	susceptibility	Xf
tests	tests	Xf
for	for	Xf
bacteria	bacteria	Xf
isolated	isolated	Xf
from	from	Xf
animals	animals	Xf
;	;	Z
approved	approved	Xf
standards	standards	Xf
Izolati	Izolata	Npfsl
gram-negativnih	gram-negativan	Agpfpgy
bakterija	bakterija	Ncfpg
Određivanje	određivanje	Ncnsn
minimalnih	minimalan	Agpfpgy
inhibicijskih	inhibicijski	Agpfpgy
koncentracija	koncentracija	Ncfpg
gram-negativnih	gram-negativan	Agpfpgy
bakterija	bakterija	Ncfpg
mikrodilucijskom	mikrodilucijski	Agpfsiy
metodom	metoda	Ncfsi
SOP	SOP	Npfsg
Z-II-2-35	Z-II-2-35	Npfsg
