(	(	Z
područne	područni	Agpfpny
,	,	Z
stručne	stručan	Agpfsgy
nadzorne	nadzorni	Agpfsgy
službe	služba	Ncfsg
,	,	Z
projektante	projektant	Ncmpa
i	i	Cc
izvoditelje	izvoditelj	Ncmpa
radova	rad	Ncmpg
)	)	Z
;	;	Z
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
primanja	primanje	Ncnsg
,	,	Z
upisa	upis	Ncmsg
i	i	Cc
praćenja	praćenje	Ncnsg
obračunskih	obračunski	Agpfpgy
situacija	situacija	Ncfpg
,	,	Z
prati	pratiti	Vmr3s
financijsku	financijski	Agpfsay
realizaciju	realizacija	Ncfsa
ugovora	ugovor	Ncmsg
;	;	Z
inicira	inicirati	Vmr3s
pokretanje	pokretanje	Ncnsa
postupaka	postupak	Ncmpg
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
za	za	Sa
ustupanje	ustupanje	Ncnsa
radova	rad	Ncmpg
,	,	Z
usluga	usluga	Ncfpg
i	i	Cc
roba	roba	Ncfpg
,	,	Z
inicira	inicirati	Vmr3s
postupke	postupak	Ncmpa
raskida	raskid	Ncmsg
ugovora	ugovor	Ncmsg
sa	sa	Si
gospodarskim	gospodarski	Agpmpiy
subjektima	subjekt	Ncmpi
zbog	zbog	Sg
neizvršenja	neizvršenje	Ncnsg
ugovornih	ugovoran	Agpfpgy
obveza	obveza	Ncfpg
,	,	Z
vodi	voditi	Vmr3s
očevidnike	očevidnik	Ncmpa
vezane	vezan	Agpmpay
za	za	Sa
pripremu	priprema	Ncfsa
i	i	Cc
provedbu	provedba	Ncfsa
programa	program	Ncmsg
,	,	Z
te	te	Cc
izrađuje	izrađivati	Vmr3s
pisana	pisan	Agpnpay
izvješća	izvješće	Ncnpa
o	o	Sl
provedbi	provedba	Ncfsl
programa	program	Ncmsg
sanacije	sanacija	Ncfsg
i	i	Cc
izgradnje	izgradnja	Ncfsg
;	;	Z
vodi	voditi	Vmr3s
pisanu	pisan	Agpfsay
komunikaciju	komunikacija	Ncfsa
s	sa	Si
gospodarskim	gospodarski	Agpmpiy
subjektima	subjekt	Ncmpi
i	i	Cc
drugim	drugi	Mlonpl
tijelima	tijelo	Ncnpl
državne	državni	Agpfsgy
i	i	Cc
javne	javan	Agpfsgy
uprave	uprava	Ncfsg
;	;	Z
izdaje	izdaja	Ncfsg
uvjerenja	uvjerenje	Ncnsg
i	i	Cc
potvrde	potvrditi	Vmr3p
na	na	Sa
zahtjev	zahtjev	Ncmsan
stranaka	stranka	Ncfpg
za	za	Sa
podatke	podatak	Ncmpa
iz	iz	Sg
svoje	svoj	Px-fsg
nadležnosti	nadležnost	Ncfsg
;	;	Z
odgovara	odgovarati	Vmr3s
na	na	Sa
primjedbe	primjedba	Ncfpa
,	,	Z
zamolbe	zamolba	Ncfpa
i	i	Cc
dopise	dopis	Ncmpa
stranaka	stranka	Ncfpg
,	,	Z
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
i	i	Cc
drugih	drugi	Mlonpg
tijela	tijelo	Ncnpg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
poslovima	posao	Ncmpi
iz	iz	Sg
svoje	svoj	Px-fsg
nadležnosti	nadležnost	Ncfsg
te	te	Cc
obavlja	obavljati	Vmr3s
druge	drugi	Mlompa
poslove	posao	Ncmpa
iz	iz	Sg
svoje	svoj	Px-fsg
nadležnosti	nadležnost	Ncfsg
.	.	Z

2.1.2.	2.1.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
obnovu	obnova	Ncfsa
,	,	Z
opremanje	opremanje	Ncnsa
stambenih	stambeni	Agpfpgy
jedinica	jedinica	Ncfpg
i	i	Cc
elektroenergetske	elektroenergetski	Agpmpay
priključke	priključak	Ncmpa

Članak	članak	Ncmsn
7.	7.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
obnovu	obnova	Ncfsa
,	,	Z
opremanje	opremanje	Ncnsa
stambenih	stambeni	Agpfpgy
jedinica	jedinica	Ncfpg
i	i	Cc
elektroenergetske	elektroenergetski	Agpmpay
priključke	priključak	Ncmpa
provodi	provoditi	Vmr3s
poslove	posao	Ncmpa
obnove	obnova	Ncfsg
ratom	rat	Ncmsi
oštećenih	oštetiti	Agpfpgy
obiteljskih	obiteljski	Agpfpgy
kuća	kuća	Ncfpg
od	od	Sg
I-III	i-iii	Ncfpg
i	i	Cc
od	od	Sg
IV-VI	iv-va	Ncfsg
stupnja	stupanj	Ncmsg
oštećenja	oštećenje	Ncnsg
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
Zakonom	zakon	Ncmsi
o	o	Sl
obnovi	obnova	Ncfsl
i	i	Cc
drugim	drugi	Mlompl
važećim	važeći	Agpmpiy
propisima	propis	Ncmpi
;	;	Z
inicira	inicirati	Vmr3s
pokretanje	pokretanje	Ncnsa
postupaka	postupak	Ncmpg
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
za	za	Sa
ustupanje	ustupanje	Ncnsa
radova	rad	Ncmpg
,	,	Z
usluga	usluga	Ncfpg
i	i	Cc
roba	roba	Ncfpg
u	u	Sa
svrhu	svrha	Ncfsa
obnove	obnova	Ncfsg
;	;	Z
inicira	inicirati	Vmr3s
postupke	postupak	Ncmpa
raskida	raskid	Ncmsg
ugovora	ugovor	Ncmsg
sa	sa	Si
gospodarskim	gospodarski	Agpmpiy
subjektima	subjekt	Ncmpi
zbog	zbog	Sg
neizvršenja	neizvršenje	Ncnsg
ugovornih	ugovoran	Agpfpgy
obveza	obveza	Ncfpg
;	;	Z
organizira	organizirati	Vmr3s
opremanje	opremanje	Ncnsa
obnovljenih	obnoviti	Agpfpgy
stambenih	stambeni	Agpfpgy
jedinica	jedinica	Ncfpg
namještajem	namještaj	Ncmsi
i	i	Cc
bijelom	bijel	Agpfsiy
tehnikom	tehnika	Ncfsi
i	i	Cc
poduzima	poduzimati	Vmr3s
sve	sav	Agpfpay
radnje	radnja	Ncfpa
potrebne	potreban	Agpfpny
za	za	Sa
priključenje	priključenje	Ncnsa
obnovljenih	obnoviti	Agpfpgy
kuća	kuća	Ncfpg
na	na	Sa
elektroenergetsku	elektroenergetski	Agpfsay
mrežu	mreža	Ncfsa
;	;	Z
prati	pratiti	Vmr3s
provedbu	provedba	Ncfsa
tehničkih	tehnički	Agpmpgy
pregleda	pregled	Ncmpg
i	i	Cc
primopredaju	primopredaja	Ncfsa
obnovljenih	obnoviti	Appmpgy
i	i	Cc
izgrađenih	izgraditi	Agpfpgy
kuća	kuća	Ncfpg
;	;	Z
priprema	pripremati	Vmr3s
ugovore	ugovor	Ncmpa
s	sa	Si
javnim	javan	Agpnpiy
poduzećima	poduzeće	Ncnpi
za	za	Sa
uvođenje	uvođenje	Ncnsa
priključaka	priključak	Ncmpg
;	;	Z
usmjerava	usmjeravati	Vmr3s
i	i	Cc
koordinira	koordinirati	Vmr3s
dobavljače	dobavljač	Ncmpa
namještaja	namještaj	Ncmsg
i	i	Cc
bijele	bijel	Agpfsgy
tehnike	tehnika	Ncfsg
;	;	Z
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
primanja	primanje	Ncnsg
,	,	Z
upisa	upis	Ncmsg
i	i	Cc
praćenja	praćenje	Ncnsg
obračunskih	obračunski	Agpfpgy
situacija	situacija	Ncfpg
,	,	Z
praćenja	praćenje	Ncnsg
financijske	financijski	Agpfsgy
realizacije	realizacija	Ncfsg
ugovora	ugovor	Ncmsg
vezano	vezan	Agpnsny
za	za	Sa
obnovu	obnova	Ncfsa
i	i	Cc
opremanje	opremanje	Ncnsa
obnovljenih	obnoviti	Agpfpgy
obiteljskih	obiteljski	Agpfpgy
kuća	kuća	Ncfpg
,	,	Z
vodi	voditi	Vmr3s
očevidnike	očevidnik	Ncmpa
vezane	vezan	Agpmpay
za	za	Sa
pripremu	priprema	Ncfsa
i	i	Cc
provedbu	provedba	Ncfsa
programa	program	Ncmsg
,	,	Z
te	te	Cc
izrađuje	izrađivati	Vmr3s
pisana	pisan	Agpnpay
izvješća	izvješće	Ncnpa
o	o	Sl
provedbi	provedba	Ncfsl
programa	program	Ncmpg
opremanja	opremanje	Ncnsg
obnovljenih	obnoviti	Agpfpgy
stambenih	stambeni	Agpfpgy
jedinica	jedinica	Ncfpg
i	i	Cc
električnih	električan	Agpmpgy
priključka	priključak	Ncmpg
;	;	Z
vodi	voditi	Vmr3s
pisanu	pisan	Agpfsay
komunikaciju	komunikacija	Ncfsa
s	sa	Si
korisnicima	korisnik	Ncmpi
prava	pravo	Ncnsg
i	i	Cc
drugim	drugi	Mlonpl
tijelima	tijelo	Ncnpl
državne	državni	Agpfsgy
i	i	Cc
javne	javan	Agpfsgy
uprave	uprava	Ncfsg
;	;	Z
izdaje	izdaja	Ncfsg
uvjerenja	uvjerenje	Ncnsg
i	i	Cc
potvrde	potvrditi	Vmr3p
na	na	Sa
zahtjev	zahtjev	Ncmsan
stranaka	stranka	Ncfpg
za	za	Sa
podatke	podatak	Ncmpa
iz	iz	Sg
svoje	svoj	Px-fsg
nadležnosti	nadležnost	Ncfsg
;	;	Z
odgovara	odgovarati	Vmr3s
na	na	Sa
primjedbe	primjedba	Ncfpa
,	,	Z
zamolbe	zamolba	Ncfpa
i	i	Cc
dopise	dopis	Ncmpa
stranaka	stranka	Ncfpg
,	,	Z
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
i	i	Cc
drugih	drugi	Mlonpg
tijela	tijelo	Ncnpg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
poslovima	posao	Ncmpi
iz	iz	Sg
svoje	svoj	Px-fsg
nadležnosti	nadležnost	Ncfsg
te	te	Cc
obavlja	obavljati	Vmr3s
druge	drugi	Mlompa
poslove	posao	Ncmpa
iz	iz	Sg
svoje	svoj	Px-fsg
nadležnosti	nadležnost	Ncfsg
.	.	Z

2.2.	2.2.	Mdo

Služba	služba	Ncfsn
za	za	Sa
programe	program	Ncmpa
stambenog	stambeni	Agpnsgy
zbrinjavanja	zbrinjavanje	Ncnsg

Članak	članak	Ncmsn
8.	8.	Mdo

Služba	služba	Ncfsn
za	za	Sa
programe	program	Ncmpa
stambenog	stambeni	Agpnsgy
zbrinjavanja	zbrinjavanje	Ncnsg
planira	planirati	Vmr3s
,	,	Z
koordinira	koordinirati	Vmr3s
,	,	Z
provodi	provoditi	Vmr3s
i	i	Cc
prati	pratiti	Vmr3s
programe	program	Ncmpa
stambenog	stambeni	Agpnsgy
zbrinjavanja	zbrinjavanje	Ncnsg
,	,	Z
te	te	Cc
vezano	vezan	Agpnsny
za	za	Sa
pomoć	pomoć	Ncfsa
Vlade	vlada	Ncfsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
za	za	Sa
povratak	povratak	Ncmsan
Hrvata	Hrvat	Npmpg
u	u	Sa
Bosnu	Bosna	Npfsa
i	i	Cc
Hercegovinu	Hercegovina	Npfsa
dodjelom	dodjela	Ncfsi
građevinskog	građevinski	Agpmsgy
materijala	materijal	Ncmsg
;	;	Z
obavlja	obavljati	Vmr3s
stručne	stručan	Agpmpay
poslove	posao	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
provođenje	provođenje	Ncnsa
propisa	propis	Ncmpg
o	o	Sl
stambenom	stambeni	Agpnsly
zbrinjavanju	zbrinjavanje	Ncnsl
;	;	Z
surađuje	surađivati	Vmr3s
s	sa	Si
domaćim	domaći	Agpmpiy
i	i	Cc
stranim	stran	Agpnsiy
vladinim	vladin	Ncnsi
i	i	Cc
nevladinim	nevladin	Agpfpiy
institucijama	institucija	Ncfpi
i	i	Cc
organizacijama	organizacija	Ncfpl
u	u	Sl
svezi	sveza	Ncfsl
s	sa	Si
programom	program	Ncmsi
stambenog	stambeni	Agpnsgy
zbrinjavanja	zbrinjavanje	Ncnsg
;	;	Z
priprema	pripremati	Vmr3s
i	i	Cc
izrađuje	izrađivati	Vmr3s
ugovore	ugovor	Ncmpa
o	o	Sl
darovanju	darovanje	Ncnsl
građevinskog	građevinski	Agpmsgy
materijala	materijal	Ncmsg
;	;	Z
obavlja	obavljati	Vmr3s
stručne	stručan	Agpmpay
poslove	posao	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
planiranje	planiranje	Ncnsa
,	,	Z
pripremu	priprema	Ncfsa
,	,	Z
organizaciju	organizacija	Ncfsa
,	,	Z
provođenje	provođenje	Ncnsa
i	i	Cc
nadzor	nadzor	Ncmsan
nad	nad	Si
provođenjem	provođenje	Ncnsi
programa	program	Ncmsg
stambenog	stambeni	Agpnsgy
zbrinjavanja	zbrinjavanje	Ncnsg
korisnika	korisnik	Ncmpg
;	;	Z
inicira	inicirati	Vmr3s
pokretanje	pokretanje	Ncnsa
postupaka	postupak	Ncmpg
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
za	za	Sa
ustupanje	ustupanje	Ncnsa
radova	rad	Ncmpg
,	,	Z
usluga	usluga	Ncfpg
i	i	Cc
roba	roba	Ncfsn
;	;	Z
inicira	inicirati	Vmr3s
raskide	raskid	Ncmpa
ugovora	ugovor	Ncmsg
sa	sa	Si
gospodarskim	gospodarski	Agpmpiy
subjektima	subjekt	Ncmpi
zbog	zbog	Sg
neizvršenja	neizvršenje	Ncnsg
ugovornih	ugovoran	Agpfpgy
obveza	obveza	Ncfpg
;	;	Z
prati	pratiti	Vmr3s
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
pripreme	priprema	Ncfsg
i	i	Cc
organizacije	organizacija	Ncfsg
nabave	nabava	Ncfsg
,	,	Z
isporuke	isporuka	Ncfpa
i	i	Cc
ugradnje	ugradnja	Ncfsg
građevinskog	građevinski	Agpmsgy
materijala	materijal	Ncmsg
za	za	Sa
izgradnju	izgradnja	Ncfsa
obiteljskih	obiteljski	Agpfpgy
kuća	kuća	Ncfpg
u	u	Sl
privatnom	privatan	Agpnsly
vlasništvu	vlasništvo	Ncnsl
ili	ili	Cc
u	u	Sl
naseljima	naselje	Ncnpl
u	u	Sl
državnom	državni	Agpnsly
vlasništvu	vlasništvo	Ncnsl
;	;	Z
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
pripreme	priprema	Ncfsg
i	i	Cc
provedbe	provedba	Ncfsg
organizirane	organiziran	Agpfsgy
izgradnje	izgradnja	Ncfsg
kuća	kuća	Ncfpg
i	i	Cc
stanova	stan	Ncmpg
u	u	Sl
privatnom	privatan	Agpnsly
vlasništvu	vlasništvo	Ncnsl
;	;	Z
prikuplja	prikupljati	Vmr3s
i	i	Cc
obrađuje	obrađivati	Vmr3s
stručnu	stručan	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
i	i	Cc
ostale	ostali	Agpmpay
podatke	podatak	Ncmpa
vezane	vezan	Agpmpay
za	za	Sa
realizaciju	realizacija	Ncfsa
programa	program	Ncmsg
;	;	Z
postupa	postupati	Vmr3s
u	u	Sl
predmetima	predmet	Ncmpl
radi	radi	Sg
uknjižbe	uknjižba	Ncfsg
zabrane	zabrana	Ncfsg
otuđenja	otuđenje	Ncnsg
,	,	Z
raskida	raskid	Ncmsg
ugovore	ugovor	Ncmpa
u	u	Sl
slučajevima	slučaj	Ncmpl
neizvršavanja	neizvršavanje	Ncnsg
obveza	obveza	Ncfpg
koje	koji	Pi-fpn
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
potpisanih	potpisan	Agpmpgy
ugovora	ugovor	Ncmpg
s	sa	Si
korisnikom	korisnik	Ncmsi
;	;	Z
usklađuje	usklađivati	Vmr3s
i	i	Cc
koordinira	koordinirati	Vmr3s
rad	rad	Ncmsan
svih	sav	Agpmpgy
sudionika	sudionik	Ncmpg
u	u	Sl
pripremi	priprema	Ncfsl
i	i	Cc
realizaciji	realizacija	Ncfsl
programa	program	Ncmsg
;	;	Z
vodi	voditi	Vmr3s
poslove	posao	Ncmpa
upisa	upis	Ncmsg
i	i	Cc
praćenja	praćenje	Ncnsg
obračunskih	obračunski	Agpfpgy
situacija	situacija	Ncfpg
,	,	Z
prati	pratiti	Vmr3s
financijsku	financijski	Agpfsay
realizaciju	realizacija	Ncfsa
ugovora	ugovor	Ncmsg
;	;	Z
prati	pratiti	Vmr3s

