godine	godina	Ncfsg
.	.	Z

Članak	članak	Ncmsn
20.	20.	Mdo

Obvezna	obvezan	Agpfsny
dokumentacija	dokumentacija	Ncfsn
pri	pri	Sl
izvođenju	izvođenje	Ncnsl
letačkih	letački	Agpfpgy
operacija	operacija	Ncfpg

Prilikom	prilikom	Sg
izvođenja	izvođenje	Ncnsg
letačkih	letački	Agpfpgy
operacija	operacija	Ncfpg
rukovatelj	rukovatelj	Ncmsn
je	biti	Var3s
odgovoran	odgovoran	Agpmsnn
da	da	Cs
sa	sa	Si
sobom	sebe	Px--si
ima	imati	Vmr3s
sljedeće	sljedeći	Agpmpay
dokumente	dokument	Ncmpa
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
letački	letački	Agpmsny
priručnik	priručnik	Ncmsn
ili	ili	Cc
upute	uputa	Ncfpn
za	za	Sa
upotrebu	upotreba	Ncfsa
sustava	sustav	Ncmsg
bespilotnog	bespilotan	Agpmsgy
zrakoplova	zrakoplov	Ncmsg
,	,	Z

(	(	Z
b	b	X
)	)	Z
izvornik	izvornik	Ncmsn
ili	ili	Cc
ovjerenu	ovjeriti	Appfsay
presliku	preslika	Ncfsa
odobrenja	odobrenje	Ncnsg
za	za	Sa
izvođenje	izvođenje	Ncnsa
letačkih	letački	Agpfpgy
operacija	operacija	Ncfpg
,	,	Z
ako	ako	Cs
je	biti	Var3s
primjenjivo	primjenjiv	Agpnsny
,	,	Z

(	(	Z
c	C	Npmsn
)	)	Z
policu	polica	Ncfsa
osiguranja	osiguranje	Ncnsg
,	,	Z
kada	kada	Cs
je	biti	Var3s
primjenjivo	primjenjiv	Agpnsny
,	,	Z

(	(	Z
d	d	Npmsn
)	)	Z
dodatno	dodatno	Rgp
uz	uz	Sa
dokumente	dokument	Ncmpa
iz	iz	Sg
točaka	točka	Ncfpg
(	(	Z
a	a	Cc
)	)	Z
do	do	Sg
(	(	Z
c	C	X
)	)	Z
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
za	za	Sa
kategorije	kategorija	Ncfpa
A	a	Cc
i	i	Cc
B	b	X
letačkih	letački	Agpfpgy
operacija	operacija	Ncfpg
,	,	Z
dokaz	dokaz	Ncmsn
o	o	Sl
poznavanju	poznavanje	Ncnsl
primjenjivih	primjenjiv	Agpmpgy
zrakoplovnih	zrakoplovan	Agpmpgy
propisa	propis	Ncmpg
,	,	Z
psihofizičkoj	psihofizički	Agpfsly
sposobnosti	sposobnost	Ncfsl
i	i	Cc
osposobljenosti	osposobljenost	Ncfsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
tipom	tip	Ncmsi
/	/	Z
modelom	model	Ncmsi
sustava	sustav	Ncmsg
bespilotnog	bespilotan	Agpmsgy
zrakoplova	zrakoplov	Ncmsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
