najkasnije	kasan	Agsnsny
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
nakon	nakon	Sg
donošenja	donošenje	Ncnsg
zaključka	zaključak	Ncmsg
o	o	Sl
prigovorima	prigovor	Ncmpl
iz	iz	Sg
članka	članak	Ncmsg
57.	57.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
izraditi	izraditi	Vmn
tehnički	tehnički	Agpmsayn
elaborat	elaborat	Ncmsan
sa	sa	Si
svim	sav	Agpmpiy
potrebnim	potreban	Agpmpiy
podacima	podatak	Ncmpi
za	za	Sa
donošenje	donošenje	Ncnsa
rješenja	rješenje	Ncnsg
o	o	Sl
komasaciji	komasacija	Ncfsl
.	.	Z

Rješenje	rješenje	Ncnsn
o	o	Sl
komasaciji	komasacija	Ncfsl

Članak	članak	Ncmsn
59.	59.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
rezultatom	rezultat	Ncmsi
usmene	usmen	Agpfsgy
rasprave	rasprava	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
zemljišta	zemljište	Ncnsg
i	i	Cc
zaključku	zaključak	Ncmsl
donesenom	donijeti	Appmsly
povodom	povod	Sg
prigovora	prigovor	Ncmsg
na	na	Sa
dodjelu	dodjela	Ncfsa
zemljišta	zemljište	Ncnsg
te	te	Cc
izrađenom	izraditi	Appmsdy
tehničkom	tehnički	Agpmsly
elaboratu	elaborat	Ncmsl
,	,	Z
županijsko	županijski	Agpnsny
komasacijsko	komasacijski	Agpnsny
povjerenstvo	povjerenstvo	Ncnsn
donosi	donositi	Vmr3s
rješenje	rješenje	Ncnsa
o	o	Sl
komasaciji	komasacija	Ncfsl
,	,	Z
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
60	60	Mdc
dana	dan	Ncmpg
od	od	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
58.	58.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Izreka	izreka	Ncfsn
rješenja	rješenje	Ncnsg
o	o	Sl
komasaciji	komasacija	Ncfsl
sadržava	sadržavati	Vmr3s
:	:	Z

−	i	Agpnsay
ime	ime	Ncnsa
,	,	Z
prezime	prezime	Ncnsa
,	,	Z
prebivalište	prebivalište	Ncnsn
,	,	Z
odnosno	odnosno	Rgp
naziv	naziv	Ncmsn
,	,	Z
sjedište	sjedište	Ncnsn
i	i	Cc
OIB	oi	Agpmpgy
sudionika	sudionik	Ncmpg
komasacije	komasacija	Ncfsg
i	i	Cc
drugih	drugi	Mlofpg
stranaka	stranka	Ncfpg

−	i	Agpmpay
podatke	podatak	Ncmpa
o	o	Sl
zemljištu	zemljište	Ncnsl
koje	koji	Pi-nsn
je	biti	Var3s
svaki	svaki	Pi-msn
sudionik	sudionik	Ncmsn
komasacije	komasacija	Ncfsg
unio	unijeti	Vmp-sm
u	u	Sa
komasacijsku	komasacijski	Agpfsay
gromadu	gromada	Ncfsa
i	i	Cc
koje	koji	Pi-nsn
ima	imati	Vmr3s
na	na	Sl
komasacijskom	komasacijski	Agpnsly
području	područje	Ncnsl
te	te	Cc
podatke	podatak	Ncmpa
o	o	Sl
dodijeljenom	dodijeljen	Agpnsly
zemljištu	zemljište	Ncnsl

−	i	Agpfpay
odredbe	odredba	Ncfpa
o	o	Sl
naknadi	naknada	Ncfsl
u	u	Sl
novcu	novac	Ncmsl

−	−	Sg
odredbe	odredba	Ncfsg
da	da	Cs
se	sebe	Px--sa
kod	kod	Sg
isplate	isplata	Ncfsg
naknade	naknada	Ncfsg
u	u	Sl
novcu	novac	Ncmsl
umjesto	umjesto	Sg
dodijeljenih	dodijeljen	Agpfpgy
nekretnina	nekretnina	Ncfpg
iz	iz	Sg
komasacijske	komasacijski	Agpfsgy
gromade	gromada	Ncfsg
za	za	Sa
nekretnine	nekretnina	Ncfpa
koje	koji	Pi-fpn
su	biti	Var3p
